k,cum_lower_iters,cum_ad_iters,cum_runtime,lower_iters,ad_iters,L,mu,upper_obj,lower_obj,norm_upper_grad
0,1147,6,31.948122,1147,6,44.79380798339844,0.002,0.56885826587677,0.4510193169116974,0.002300715073943138
1,1214,12,34.118569,67,6,44.7938346862793,0.002,0.5688327550888062,0.450978547334671,0.0023007094860076904
2,1286,18,36.580094,72,6,44.793853759765625,0.002,0.5687934160232544,0.4509377181529999,0.002300702966749668
3,1359,24,38.900062,73,6,44.79387283325195,0.002,0.5687502026557922,0.4508969187736511,0.0023006913252174854
4,1433,30,41.502153,74,6,44.79389190673828,0.002,0.5687041878700256,0.4508560299873352,0.002300674095749855
5,1507,36,44.138537,74,6,44.79391860961914,0.002,0.5686574578285217,0.45081523060798645,0.0023006454575806856
6,1582,42,46.759219,75,6,44.79393768310547,0.002,0.5686089396476746,0.4507744312286377,0.0023006205447018147
7,1658,48,49.314353,76,6,44.7939567565918,0.002,0.5685592889785767,0.4507335126399994,0.002300586551427841
8,1734,54,51.860152,76,6,44.793975830078125,0.002,0.5685096979141235,0.4506925642490387,0.0023005567491054535
9,1810,60,54.352806,76,6,44.79399108886719,0.002,0.5684599280357361,0.4506516754627228,0.0023005197290331125
10,1886,66,56.902987,76,6,44.79401397705078,0.002,0.56840980052948,0.450610876083374,0.00230048643425107
11,1963,72,59.507553,77,6,44.794036865234375,0.002,0.5683585405349731,0.45056989789009094,0.0023004505783319473
12,2040,78,62.071676,77,6,44.79405212402344,0.002,0.5683078169822693,0.450529009103775,0.002300411695614457
13,2117,84,64.584542,77,6,44.794071197509766,0.002,0.5682567954063416,0.4504880905151367,0.0023003718815743923
14,2195,90,67.051452,78,6,44.794090270996094,0.002,0.568204939365387,0.450447142124176,0.0023003302048891783
15,2273,96,69.520338,78,6,44.79410934448242,0.002,0.5681536197662354,0.4504062235355377,0.002300289925187826
16,2352,102,72.071612,79,6,44.794124603271484,0.002,0.5681012868881226,0.450365275144577,0.00230024172924459
17,2431,108,74.634455,79,6,44.79413986206055,0.002,0.5680494904518127,0.45032432675361633,0.0023002014495432377
18,2510,114,77.216286,79,6,44.79415512084961,0.002,0.5679978728294373,0.45028334856033325,0.002300156047567725
19,2590,120,79.817096,80,6,44.79417037963867,0.002,0.5679453015327454,0.45024240016937256,0.0023001099471002817
20,2670,126,82.434919,80,6,44.794185638427734,0.002,0.5678934454917908,0.45020145177841187,0.002300065942108631
21,2750,132,85.089202,80,6,44.79420471191406,0.002,0.5678415298461914,0.45016050338745117,0.0023000219371169806
22,2831,138,87.757249,81,6,44.794219970703125,0.002,0.5677887797355652,0.4501194953918457,0.002299974672496319
23,2912,144,90.47643,81,6,44.79423141479492,0.002,0.5677367448806763,0.45007839798927307,0.002299924846738577
24,2993,150,93.142581,81,6,44.794254302978516,0.002,0.5676845908164978,0.4500373899936676,0.002299877116456628
25,3075,156,95.89092,82,6,44.79426574707031,0.002,0.567631721496582,0.4499964118003845,0.0022998275235295296
26,3157,162,98.745403,82,6,44.794281005859375,0.002,0.5675796270370483,0.4499553442001343,0.002299777464941144
27,3239,168,101.549038,82,6,44.79429626464844,0.002,0.5675274133682251,0.4499143362045288,0.0022997306659817696
28,3322,174,104.37094,83,6,44.794307708740234,0.002,0.5674744844436646,0.44987326860427856,0.0022996808402240276
29,3405,180,107.131377,83,6,44.7943229675293,0.002,0.5674222707748413,0.4498322308063507,0.0022996277548372746
30,3488,186,109.85873,83,6,44.79433822631836,0.002,0.5673699975013733,0.44979119300842285,0.002299575600773096
31,3572,192,112.511834,84,6,44.794349670410156,0.002,0.567317008972168,0.44975006580352783,0.002299526007845998
32,3656,198,115.143515,84,6,44.79436492919922,0.002,0.5672648549079895,0.44970911741256714,0.0022994731552898884
33,3740,204,117.764905,84,6,44.79437255859375,0.002,0.5672124624252319,0.4496679902076721,0.0022994226310402155
34,3825,210,120.444588,85,6,44.79438781738281,0.002,0.5671594738960266,0.4496268033981323,0.002299367915838957
35,3910,216,123.169004,85,6,44.794395446777344,0.002,0.5671071410179138,0.4495857059955597,0.002299315994605422
36,3995,222,125.918977,85,6,44.794410705566406,0.002,0.5670548677444458,0.4495445191860199,0.0022992633748799562
37,4080,228,128.681055,85,6,44.7944221496582,0.002,0.5670027136802673,0.44950348138809204,0.002299209823831916
38,4165,234,131.441352,85,6,44.79443359375,0.002,0.5669505596160889,0.44946229457855225,0.002299155108630657
39,4251,240,134.257747,86,6,44.79444122314453,0.002,0.5668976306915283,0.4494211673736572,0.0022990985307842493
40,4337,246,137.113633,86,6,44.794456481933594,0.002,0.5668454170227051,0.4493800401687622,0.0022990452125668526
41,4423,252,139.981172,86,6,44.79446792602539,0.002,0.5667931437492371,0.4493389129638672,0.0022989872377365828
42,4509,258,142.862656,86,6,44.79447555541992,0.002,0.5667409300804138,0.4492977261543274,0.0022989334538578987
43,4595,264,145.573838,86,6,44.79448318481445,0.002,0.5666886568069458,0.44925656914711,0.0022988752461969852
44,4681,270,148.25211,86,6,44.794490814208984,0.002,0.5666365623474121,0.4492153823375702,0.002298818901181221
45,4768,276,150.985368,87,6,44.794498443603516,0.002,0.5665836930274963,0.4491742253303528,0.0022987639531493187
46,4855,282,153.751407,87,6,44.79451370239258,0.002,0.5665314793586731,0.44913288950920105,0.002298709936439991
47,4942,288,156.569796,87,6,44.79452133178711,0.002,0.5664792060852051,0.44909176230430603,0.0022986512631177902
48,5029,294,159.384457,87,6,44.794532775878906,0.002,0.5664269924163818,0.44905054569244385,0.002298592822626233
49,5116,300,162.24383,87,6,44.79453659057617,0.002,0.5663748383522034,0.44900932908058167,0.002298536244779825
50,5203,306,165.212007,87,6,44.79454040527344,0.002,0.5663226842880249,0.4489680826663971,0.002298477105796337
51,5290,312,168.146216,87,6,44.7945556640625,0.002,0.5662705898284912,0.4489268660545349,0.0022984177339822054
52,5377,318,171.047716,87,6,44.79456329345703,0.002,0.5662185549736023,0.44888561964035034,0.0022983618546277285
53,5465,324,173.930012,88,6,44.7945671081543,0.002,0.5661657452583313,0.44884437322616577,0.0022983017843216658
54,5553,330,176.693039,88,6,44.79457092285156,0.002,0.5661135911941528,0.4488030970096588,0.0022982386872172356
55,5640,336,179.452745,87,6,44.794578552246094,0.002,0.5660620331764221,0.4487617611885071,0.002298181876540184
56,5728,342,182.221546,88,6,44.794586181640625,0.002,0.5660092830657959,0.4487205445766449,0.0022981171496212482
57,5816,348,185.030173,88,6,44.794593811035156,0.002,0.565957248210907,0.4486792981624603,0.002298058243468404
58,5904,354,187.856725,88,6,44.79459762573242,0.002,0.5659051537513733,0.4486379623413086,0.002297996310517192
59,5992,360,190.698164,88,6,44.79460525512695,0.002,0.5658529996871948,0.44859662652015686,0.0022979341447353363
60,6080,366,193.548288,88,6,44.79460525512695,0.002,0.5658010244369507,0.4485553205013275,0.0022978740744292736
61,6168,372,196.451351,88,6,44.794612884521484,0.002,0.565748929977417,0.4485139846801758,0.002297807252034545
62,6256,378,199.318847,88,6,44.79461669921875,0.002,0.5656967759132385,0.44847261905670166,0.002297741360962391
63,6344,384,202.15152,88,6,44.79462432861328,0.002,0.5656447410583496,0.4484313428401947,0.0022976810578256845
64,6432,390,205.015564,88,6,44.79462814331055,0.002,0.5655928254127502,0.44839003682136536,0.002297616098076105
65,6520,396,207.970589,88,6,44.79463577270508,0.002,0.5655407905578613,0.44834867119789124,0.002297555096447468
66,6609,402,210.963107,89,6,44.79463577270508,0.002,0.5654881000518799,0.4483072757720947,0.002297487109899521
67,6698,408,213.952351,89,6,44.79464340209961,0.002,0.565436065196991,0.4482659101486206,0.0022974221501499414
68,6786,414,216.738206,88,6,44.794639587402344,0.002,0.5653847455978394,0.44822457432746887,0.002297360450029373
69,6874,420,219.627804,88,6,44.79464340209961,0.002,0.5653326511383057,0.44818317890167236,0.0022972896695137024
70,6963,426,222.633437,89,6,44.794647216796875,0.002,0.5652801394462585,0.44814181327819824,0.002297226106747985
71,7052,432,225.595403,89,6,44.79465103149414,0.002,0.5652281045913696,0.44810041785240173,0.002297166734933853
72,7141,438,228.457869,89,6,44.79465103149414,0.002,0.5651760697364807,0.44805896282196045,0.0022970950230956078
73,7229,444,231.233386,88,6,44.794654846191406,0.002,0.5651247501373291,0.4480176270008087,0.0022970293648540974
74,7318,450,234.076807,89,6,44.794654846191406,0.002,0.5650720596313477,0.4479760527610779,0.002296965103596449
75,7407,456,236.882999,89,6,44.794654846191406,0.002,0.5650201439857483,0.44793468713760376,0.0022968952544033527
76,7496,462,239.658865,89,6,44.794654846191406,0.002,0.5649682283401489,0.44789332151412964,0.0022968286648392677
77,7585,468,242.450042,89,6,44.794654846191406,0.002,0.56491619348526,0.4478518068790436,0.0022967560216784477
78,7674,474,245.368118,89,6,44.79466247558594,0.002,0.5648642778396606,0.44781044125556946,0.0022966889664530754
79,7763,480,248.484816,89,6,44.794654846191406,0.002,0.564812183380127,0.447768896818161,0.00229661725461483
80,7852,486,251.366,89,6,44.79465866088867,0.002,0.5647604465484619,0.4477274417877197,0.0022965490352362394
81,7941,492,254.183846,89,6,44.79465866088867,0.002,0.564708411693573,0.44768598675727844,0.002296479418873787
82,8030,498,257.069325,89,6,44.79465866088867,0.002,0.5646566152572632,0.44764453172683716,0.0022964098025113344
83,8119,504,259.935539,89,6,44.794654846191406,0.002,0.5646045804023743,0.4476030170917511,0.0022963376250118017
84,8208,510,262.816504,89,6,44.79465866088867,0.002,0.5645528435707092,0.44756150245666504,0.0022962642833590508
85,8297,516,265.766094,89,6,44.794654846191406,0.002,0.5645008087158203,0.447519987821579,0.0022961911745369434
86,8386,522,268.706777,89,6,44.794654846191406,0.002,0.5644489526748657,0.44747838377952576,0.002296120161190629
87,8475,528,271.666045,89,6,44.794647216796875,0.002,0.5643970370292664,0.44743701815605164,0.002296047518029809
88,8564,534,274.61203,89,6,44.794647216796875,0.002,0.5643452405929565,0.4473954439163208,0.0022959792986512184
89,8653,540,277.502574,89,6,44.794647216796875,0.002,0.5642933249473572,0.44735392928123474,0.0022959033958613873
90,8742,546,280.557223,89,6,44.794647216796875,0.002,0.5642414689064026,0.4473124146461487,0.0022958279587328434
91,8831,552,283.724052,89,6,44.794639587402344,0.002,0.5641894936561584,0.44727081060409546,0.0022957560140639544
92,8920,558,286.909821,89,6,44.79463577270508,0.002,0.5641377568244934,0.4472292959690094,0.0022956787142902613
93,9009,564,290.027398,89,6,44.79463577270508,0.002,0.5640857815742493,0.44718778133392334,0.002295604208484292
94,9098,570,293.089736,89,6,44.79463195800781,0.002,0.5640339851379395,0.44714611768722534,0.00229553016833961
95,9187,576,295.991949,89,6,44.79462814331055,0.002,0.5639821290969849,0.4471045732498169,0.002295454265549779
96,9276,582,298.928945,89,6,44.79462432861328,0.002,0.563930332660675,0.4470629096031189,0.002295377664268017
97,9365,588,301.797471,89,6,44.794620513916016,0.002,0.5638784170150757,0.44702136516571045,0.002295299433171749
98,9455,594,304.703633,90,6,44.79461669921875,0.002,0.5638260841369629,0.44697973132133484,0.002295220270752907
99,9544,600,307.488515,89,6,44.79460906982422,0.002,0.5637748837471008,0.4469381272792816,0.0022951478604227304
100,9633,606,310.254681,89,6,44.79460144042969,0.002,0.5637228488922119,0.4468965232372284,0.002295067999511957
101,9722,612,313.103334,89,6,44.79459762573242,0.002,0.5636711716651917,0.44685497879981995,0.0022949909325689077
102,9812,618,315.899701,90,6,44.794593811035156,0.002,0.5636186599731445,0.4468132555484772,0.002294911304488778
103,9902,624,318.679433,90,6,44.794586181640625,0.002,0.5635669827461243,0.44677168130874634,0.002294832607731223
104,9991,630,321.4714,89,6,44.79458236694336,0.002,0.5635157227516174,0.44673001766204834,0.0022947504185140133
105,10080,636,324.225913,89,6,44.79457473754883,0.002,0.5634637475013733,0.4466884136199951,0.0022946661338210106
106,10170,642,327.06101,90,6,44.7945671081543,0.002,0.5634114742279053,0.4466467499732971,0.0022945916280150414
107,10260,648,329.924509,90,6,44.79456329345703,0.002,0.5633598566055298,0.44660502672195435,0.0022945101372897625
108,10349,654,332.795299,89,6,44.794559478759766,0.002,0.563308596611023,0.4465634524822235,0.002294429810717702
109,10438,660,335.725451,89,6,44.79454803466797,0.002,0.5632568001747131,0.44652169942855835,0.002294347621500492
110,10528,666,338.659022,90,6,44.79454040527344,0.002,0.5632044076919556,0.44648006558418274,0.0022942647337913513
111,10617,672,341.70336,89,6,44.79452896118164,0.002,0.5631533861160278,0.4464383125305176,0.002294184174388647
112,10706,678,344.685675,89,6,44.794525146484375,0.002,0.563101589679718,0.44639667868614197,0.0022940996568650007
113,10796,684,347.583958,90,6,44.79451370239258,0.002,0.5630491971969604,0.4463549554347992,0.0022940158378332853
114,10886,690,350.450632,90,6,44.79450607299805,0.002,0.562997579574585,0.4463132619857788,0.0022939317859709263
115,10975,696,353.236625,89,6,44.79449462890625,0.002,0.5629462599754333,0.44627153873443604,0.002293849131092429
116,11065,702,356.080903,90,6,44.794490814208984,0.002,0.5628938674926758,0.4462297558784485,0.0022937669418752193
117,11155,708,358.913063,90,6,44.79447937011719,0.002,0.5628423094749451,0.4461880028247833,0.0022936814930289984
118,11244,714,361.730439,89,6,44.79446792602539,0.002,0.5627911686897278,0.44614627957344055,0.0022935972083359957
119,11333,720,364.48582,89,6,44.794456481933594,0.002,0.5627393126487732,0.4461045563220978,0.002293512225151062
120,11423,726,367.289853,90,6,44.79445266723633,0.002,0.5626869797706604,0.4460628032684326,0.0022934263106435537
121,11513,732,370.124427,90,6,44.794437408447266,0.002,0.5626354813575745,0.44602108001708984,0.0022933389991521835
122,11603,738,372.940923,90,6,44.794429779052734,0.002,0.5625836253166199,0.4459792971611023,0.0022932500578463078
123,11692,744,375.796373,89,6,44.79441833496094,0.002,0.5625326037406921,0.44593751430511475,0.0022931653074920177
124,11782,750,378.739098,90,6,44.79440689086914,0.002,0.5624801516532898,0.44589582085609436,0.002293079625815153
125,11872,756,381.592474,90,6,44.794395446777344,0.002,0.5624285936355591,0.44585397839546204,0.0022929927799850702
126,11962,762,384.512147,90,6,44.79438400268555,0.002,0.5623769760131836,0.4458122253417969,0.0022929038386791945
127,12051,768,387.435867,89,6,44.79437255859375,0.002,0.5623258948326111,0.44577041268348694,0.002292816760018468
128,12141,774,390.421567,90,6,44.79436111450195,0.002,0.5622735619544983,0.445728600025177,0.0022927250247448683
129,12231,780,393.350717,90,6,44.79435348510742,0.002,0.5622219443321228,0.4456867575645447,0.0022926360834389925
130,12321,786,396.302879,90,6,44.79433822631836,0.002,0.5621702671051025,0.44564497470855713,0.0022925473749637604
131,12411,792,399.348643,90,6,44.7943229675293,0.002,0.5621185302734375,0.44560307264328003,0.0022924577351659536
132,12501,798,402.347986,90,6,44.794315338134766,0.002,0.5620669722557068,0.4455612301826477,0.0022923669312149286
133,12590,804,405.352185,89,6,44.79429626464844,0.002,0.5620158910751343,0.44551950693130493,0.002292279154062271
134,12680,810,408.326373,90,6,44.79428482055664,0.002,0.5619635581970215,0.44547760486602783,0.0022921874187886715
135,12770,816,411.217055,90,6,44.79426956176758,0.002,0.5619120597839355,0.4454357922077179,0.0022920931223779917
136,12860,822,414.117066,90,6,44.794254302978516,0.002,0.5618603825569153,0.4453938603401184,0.0022920025512576103
137,12950,828,416.943849,90,6,44.794246673583984,0.002,0.5618087649345398,0.4453519582748413,0.0022919110488146544
138,13040,834,419.740335,90,6,44.79423141479492,0.002,0.5617571473121643,0.44531017541885376,0.002291817218065262
139,13130,840,422.530892,90,6,44.79421615600586,0.002,0.561705470085144,0.4452682435512543,0.0022917205933481455
140,13220,846,425.415644,90,6,44.7942008972168,0.002,0.5616538524627686,0.44522640109062195,0.0022916265297681093
141,13310,852,428.351422,90,6,44.79418182373047,0.002,0.5616022348403931,0.44518449902534485,0.0022915329318493605
142,13400,858,431.20313,90,6,44.794166564941406,0.002,0.5615506768226624,0.44514262676239014,0.0022914388682693243
143,13490,864,434.134335,90,6,44.79415512084961,0.002,0.5614990592002869,0.44510066509246826,0.002291344804689288
144,13580,870,437.076235,90,6,44.79413604736328,0.002,0.5614475607872009,0.44505879282951355,0.0022912519052624702
145,13670,876,440.133152,90,6,44.79412078857422,0.002,0.5613958835601807,0.44501689076423645,0.0022911576088517904
146,13760,882,443.083141,90,6,44.794105529785156,0.002,0.5613442659378052,0.4449748992919922,0.0022910574916750193
147,13850,888,445.912522,90,6,44.794090270996094,0.002,0.5612927675247192,0.44493305683135986,0.00229095877148211
148,13940,894,448.699714,90,6,44.794071197509766,0.002,0.5612411499023438,0.4448911249637604,0.002290859119966626
149,14030,900,451.510774,90,6,44.7940559387207,0.002,0.561189591884613,0.4448492228984833,0.0022907659877091646
150,14120,906,454.342598,90,6,44.794044494628906,0.002,0.5611381530761719,0.444807231426239,0.0022906672675162554
151,14210,912,457.133124,90,6,44.79401779174805,0.002,0.5610865950584412,0.4447652995586395,0.00229057134129107
152,14300,918,460.010955,90,6,44.794002532958984,0.002,0.5610350966453552,0.44472336769104004,0.002290471689775586
153,14390,924,462.837737,90,6,44.79398727416992,0.002,0.560983419418335,0.444681316614151,0.0022903720382601023
154,14480,930,465.876442,90,6,44.793968200683594,0.002,0.5609318614006042,0.4446393847465515,0.002290270524099469
155,14570,936,468.788722,90,6,44.79395294189453,0.002,0.5608802437782288,0.44459742307662964,0.002290175063535571
156,14660,942,471.692175,90,6,44.79393005371094,0.002,0.5608288049697876,0.44455546140670776,0.0022900730837136507
157,14750,948,474.569159,90,6,44.793914794921875,0.002,0.5607772469520569,0.4445134401321411,0.0022899729665368795
158,14840,954,477.430296,90,6,44.79389190673828,0.002,0.5607258081436157,0.44447141885757446,0.002289872383698821
159,14930,960,480.251751,90,6,44.79387283325195,0.002,0.560674250125885,0.444429486989975,0.0022897699382156134
160,15020,966,483.071434,90,6,44.793853759765625,0.002,0.5606228113174438,0.4443874657154083,0.0022896691225469112
161,15110,972,485.952873,90,6,44.7938346862793,0.002,0.5605713129043579,0.44434550404548645,0.002289567142724991
162,15200,978,488.893797,90,6,44.793819427490234,0.002,0.560519814491272,0.444303423166275,0.002289463998749852
163,15290,984,491.874752,90,6,44.79379653930664,0.002,0.560468316078186,0.444261372089386,0.002289361087605357
164,15380,990,494.786581,90,6,44.79377746582031,0.002,0.5604168176651001,0.4442194104194641,0.002289258176460862
165,15470,996,497.744461,90,6,44.79375457763672,0.002,0.5603654980659485,0.4441773295402527,0.0022891557309776545
166,15560,1002,500.720317,90,6,44.793731689453125,0.002,0.5603139996528625,0.4441353678703308,0.0022890493273735046
167,15650,1008,503.642959,90,6,44.79371643066406,0.002,0.5602625608444214,0.4440932273864746,0.00228895153850317
168,15740,1014,506.461933,90,6,44.79369354248047,0.002,0.560211181640625,0.44405117630958557,0.0022888481616973877
169,15830,1020,509.315489,90,6,44.79367446899414,0.002,0.5601596832275391,0.4440091550350189,0.002288740361109376
170,15920,1026,512.131984,90,6,44.79364776611328,0.002,0.5601082444190979,0.4439670145511627,0.0022886348888278008
171,16010,1032,514.954864,90,6,44.79362869262695,0.002,0.5600568652153015,0.44392499327659607,0.002288529882207513
172,16100,1038,517.83545,90,6,44.79360580444336,0.002,0.5600054264068604,0.4438829720020294,0.0022884244099259377
173,16190,1044,520.715628,90,6,44.7935791015625,0.002,0.559954047203064,0.44384080171585083,0.002288317307829857
174,16280,1050,523.667277,90,6,44.79356002807617,0.002,0.5599026679992676,0.4437987208366394,0.0022882078774273396
175,16370,1056,526.630127,90,6,44.793540954589844,0.002,0.5598512887954712,0.443756639957428,0.0022881035692989826
176,16460,1062,529.508949,90,6,44.793514251708984,0.002,0.5597999095916748,0.44371452927589417,0.0022879948373883963
177,16550,1068,532.302981,90,6,44.79349136352539,0.002,0.5597484707832336,0.4436724781990051,0.0022878849413245916
178,16640,1074,535.07759,90,6,44.793460845947266,0.002,0.5596970915794373,0.4436304271221161,0.0022877792362123728
179,16730,1080,537.919946,90,6,44.7934455871582,0.002,0.5596457719802856,0.4435882568359375,0.002287668874487281
180,16820,1086,540.711014,90,6,44.793418884277344,0.002,0.5595945119857788,0.4435461163520813,0.002287557814270258
181,16910,1092,543.571192,90,6,44.793392181396484,0.002,0.5595430135726929,0.4435040056705475,0.0022874469868838787
182,17000,1098,546.435036,90,6,44.79336929321289,0.002,0.5594918131828308,0.4434618353843689,0.002287339186295867
183,17090,1104,549.351289,90,6,44.79334259033203,0.002,0.5594403743743896,0.44341975450515747,0.0022872297558933496
184,17180,1110,552.259111,90,6,44.79331970214844,0.002,0.5593891143798828,0.4433775246143341,0.0022871200926601887
185,17270,1116,555.158484,90,6,44.793296813964844,0.002,0.5593376755714417,0.4433354437351227,0.002287008333951235
186,17360,1122,558.095754,90,6,44.79326629638672,0.002,0.5592864751815796,0.4432932734489441,0.0022868940141052008
187,17450,1128,561.031028,90,6,44.793243408203125,0.002,0.5592350363731384,0.4432510435581207,0.002286783652380109
188,17540,1134,564.001038,90,6,44.793216705322266,0.002,0.5591838359832764,0.4432089328765869,0.0022866707295179367
189,17630,1140,566.999191,90,6,44.79319381713867,0.002,0.55913245677948,0.44316673278808594,0.002286560134962201
190,17721,1146,570.06743,91,6,44.79317092895508,0.002,0.5590806603431702,0.44312456250190735,0.002286446513608098
191,17811,1152,573.078902,90,6,44.79314422607422,0.002,0.5590299963951111,0.44308236241340637,0.0022863331250846386
192,17901,1158,575.987251,90,6,44.793113708496094,0.002,0.5589785575866699,0.4430401921272278,0.0022862169425934553
193,17991,1164,578.836009,90,6,44.793087005615234,0.002,0.5589272975921631,0.44299811124801636,0.002286104019731283
194,18081,1170,581.730037,90,6,44.793060302734375,0.002,0.558876097202301,0.4429559111595154,0.0022859894670546055
195,18171,1176,584.649711,90,6,44.79302978515625,0.002,0.5588246583938599,0.442913681268692,0.002285876078531146
196,18261,1182,587.592242,90,6,44.793006896972656,0.002,0.5587735772132874,0.44287145137786865,0.0022857573349028826
197,18351,1188,590.431816,90,6,44.7929801940918,0.002,0.558722198009491,0.4428291618824005,0.0022856416180729866
198,18442,1194,593.30906,91,6,44.79295349121094,0.002,0.5586704015731812,0.4427869915962219,0.0022855259012430906
199,18532,1200,596.194158,90,6,44.79291915893555,0.002,0.5586199164390564,0.44274479150772095,0.0022854111157357693
