k,cum_lower_iters,cum_ad_iters,cum_runtime,lower_iters,ad_iters,L,mu,upper_obj,lower_obj,norm_upper_grad
0,798,6660,220.695248,798,6660,44.79380798339844,0.002,0.5688230395317078,0.4510262906551361,0.0023350289557129145
1,799,13320,417.710575,1,6660,44.793888092041016,0.002,0.568822979927063,0.45098721981048584,0.002334993565455079
2,802,19980,614.541655,3,6660,44.79396438598633,0.002,0.5688226819038391,0.45094820857048035,0.002334957243874669
3,818,26640,812.783445,16,6660,44.794036865234375,0.002,0.5688158869743347,0.4509090781211853,0.002334911609068513
4,838,33300,1009.750819,20,6660,44.79411315917969,0.002,0.5688035488128662,0.45086997747421265,0.0023348566610366106
5,860,39960,1209.529291,22,6660,44.794185638427734,0.002,0.5687866806983948,0.4508308172225952,0.0023347996175289154
6,883,46620,1408.813972,23,6660,44.79425811767578,0.002,0.5687661170959473,0.45079171657562256,0.002334736054763198
7,907,53280,1607.306176,24,6660,44.79433822631836,0.002,0.5687416791915894,0.4507525861263275,0.0023346729576587677
8,931,59940,1806.05212,24,6660,44.79440689086914,0.002,0.5687152743339539,0.45071345567703247,0.0023346049711108208
9,956,66599,2002.895948,25,6659,44.79448318481445,0.002,0.5686852335929871,0.4506743252277374,0.002334513468667865
10,980,73258,2199.420133,24,6659,44.794559478759766,0.002,0.5686559677124023,0.4506351351737976,0.0023344431538134813
11,1005,79917,2397.110783,25,6659,44.79463195800781,0.002,0.5686228275299072,0.4505959153175354,0.0023343649227172136
12,1030,86576,2599.761653,25,6659,44.794700622558594,0.002,0.5685886740684509,0.45055678486824036,0.0023342848289757967
13,1055,93235,2799.034582,25,6659,44.794776916503906,0.002,0.5685532689094543,0.4505175054073334,0.0023342047352343798
14,1080,98920,2969.246371,25,5685,44.79484939575195,0.002,0.5685171484947205,0.4504784941673279,0.0023124932777136564
