k,cum_lower_iters,cum_ad_iters,cum_runtime,lower_iters,ad_iters,L,mu,upper_obj,lower_obj,norm_upper_grad
0,798,188,27.258689,798,188,44.79380798339844,0.002,0.5688230395317078,0.4510262906551361,0.002407568972557783
1,799,376,32.720822,1,188,44.79390335083008,0.002,0.568822979927063,0.4509873688220978,0.0024075282271951437
2,801,564,38.226112,2,188,44.794002532958984,0.002,0.5688228607177734,0.4509483873844147,0.0024074886459857225
3,817,752,44.164161,16,188,44.794097900390625,0.002,0.5688158869743347,0.4509093761444092,0.0024074334651231766
4,837,940,50.237643,20,188,44.79419708251953,0.002,0.5688035488128662,0.4508703351020813,0.002407367806881666
5,859,1128,56.447211,22,188,44.79428482055664,0.002,0.5687865018844604,0.45083126425743103,0.002407284453511238
6,882,1316,62.946543,23,188,44.79438400268555,0.002,0.5687656402587891,0.45079225301742554,0.0024072006344795227
7,906,1504,69.445014,24,188,44.79447937011719,0.002,0.5687408447265625,0.45075321197509766,0.0024071140214800835
8,930,1692,75.937862,24,188,44.794578552246094,0.002,0.5687142610549927,0.4507141709327698,0.0024070125073194504
9,955,1880,82.584221,25,188,44.79467010498047,0.002,0.5686838626861572,0.45067501068115234,0.0024069135542958975
10,980,2068,89.354743,25,188,44.794769287109375,0.002,0.5686521530151367,0.45063599944114685,0.002406804356724024
11,1005,2256,95.79285,25,188,44.794857025146484,0.002,0.568618893623352,0.4505968689918518,0.0024066928308457136
12,1030,2444,102.022085,25,188,44.794952392578125,0.002,0.5685845613479614,0.4505578577518463,0.0024065773468464613
13,1055,2632,108.183599,25,188,44.795047760009766,0.002,0.5685490369796753,0.45051872730255127,0.0024064634926617146
14,1081,2820,114.457326,26,188,44.79513931274414,0.002,0.5685098767280579,0.4504796266555786,0.0024063405580818653
15,1106,3008,120.905804,25,188,44.79523468017578,0.002,0.5684728622436523,0.45044052600860596,0.002406222280114889
16,1132,3196,127.429434,26,188,44.79532241821289,0.002,0.5684321522712708,0.4504014551639557,0.0024060960859060287
