k,cum_lower_iters,cum_ad_iters,cum_runtime,lower_iters,ad_iters,L,mu,upper_obj,lower_obj,norm_upper_grad
0,52561,6,1543.7669,52561,6,44.79380798339844,0.002,0.5688663125038147,0.45101937651634216,0.0023007795680314302
1,52926,12,1554.811099,365,6,44.7938346862793,0.002,0.5688398480415344,0.45097848773002625,0.0023007604759186506
2,53328,18,1567.289804,402,6,44.793853759765625,0.002,0.5688004493713379,0.4509376585483551,0.0023007469717413187
3,53724,24,1579.131283,396,6,44.79387283325195,0.002,0.5687572956085205,0.45089682936668396,0.002300725784152746
4,54115,30,1591.293332,391,6,44.79389190673828,0.002,0.5687119364738464,0.4508560001850128,0.0023007027339190245
5,54502,36,1603.177111,387,6,44.79391860961914,0.002,0.568665087223053,0.4508151113986969,0.002300677355378866
6,54886,42,1614.539957,384,6,44.79393768310547,0.002,0.5686174035072327,0.45077431201934814,0.0023006447590887547
7,55269,48,1625.907935,383,6,44.7939567565918,0.002,0.5685688257217407,0.45073339343070984,0.0023006093688309193
8,55651,54,1637.185939,382,6,44.793975830078125,0.002,0.5685195922851562,0.45069262385368347,0.0023005760740488768
9,56034,60,1648.785491,383,6,44.79399108886719,0.002,0.5684698224067688,0.4506516754627228,0.002300543012097478
10,56417,66,1660.857621,383,6,44.79401397705078,0.002,0.5684195756912231,0.45061081647872925,0.0023005029652267694
11,56802,72,1672.693062,385,6,44.794036865234375,0.002,0.5683689713478088,0.4505699574947357,0.0023004666436463594
12,57188,78,1684.101664,386,6,44.79405212402344,0.002,0.5683181881904602,0.450529009103775,0.0023004261311143637
13,57577,84,1695.513778,389,6,44.794071197509766,0.002,0.5682668685913086,0.45048806071281433,0.00230038701556623
14,57967,90,1707.156509,390,6,44.79408645629883,0.002,0.568215548992157,0.4504472017288208,0.0023003462702035904
15,58360,96,1718.778946,393,6,44.79410934448242,0.002,0.5681639313697815,0.4504062235355377,0.0023003036621958017
16,58755,102,1730.6553,395,6,44.794124603271484,0.002,0.5681121945381165,0.4503653049468994,0.0023002575617283583
17,59153,108,1742.876035,398,6,44.79413986206055,0.002,0.5680602192878723,0.4503243565559387,0.002300214720889926
18,59554,114,1755.167124,401,6,44.79415512084961,0.002,0.5680082440376282,0.450283408164978,0.0023001697845757008
19,59958,120,1767.186506,404,6,44.79417419433594,0.002,0.5679560303688049,0.45024242997169495,0.0023001248482614756
20,60365,126,1779.309446,407,6,44.794193267822266,0.002,0.5679038166999817,0.4502014219760895,0.002300076186656952
21,60775,132,1791.801264,410,6,44.79420852661133,0.002,0.5678515434265137,0.4501604437828064,0.0023000300861895084
22,61189,138,1803.852037,414,6,44.794219970703125,0.002,0.5677990913391113,0.4501194655895233,0.0022999863140285015
23,61606,144,1815.971246,417,6,44.79423522949219,0.002,0.5677465796470642,0.45007839798927307,0.002299936255440116
24,62026,150,1828.565508,420,6,44.79425048828125,0.002,0.5676940679550171,0.45003741979599,0.002299885032698512
