k,cum_lower_iters,cum_ad_iters,cum_runtime,lower_iters,ad_iters,L,mu,upper_obj,lower_obj,norm_upper_grad
0,29998,236,1641.934469,29998,236,44.79380798339844,0.002,0.5690273642539978,0.4510277509689331,0.0008891584002412856
1,29999,472,1648.791299,1,236,44.79381561279297,0.002,0.569027304649353,0.4510123133659363,0.0008891572942957282
2,30005,708,1656.149858,6,236,44.793819427490234,0.002,0.5690264701843262,0.45099690556526184,0.0008891523466445506
3,30017,944,1663.51858,12,236,44.7938232421875,0.002,0.569024384021759,0.45098140835762024,0.0008891421020962298
4,30033,1180,1670.870502,16,236,44.793819427490234,0.002,0.5690208673477173,0.4509659707546234,0.0008891262114048004
5,30052,1416,1678.105395,19,236,44.7938232421875,0.002,0.5690160989761353,0.450950562953949,0.0008891059551388025
6,30073,1652,1685.425407,21,236,44.7938232421875,0.002,0.569010317325592,0.45093509554862976,0.0008890816825442016
7,30095,1888,1693.071906,22,236,44.79383087158203,0.002,0.5690036416053772,0.45091956853866577,0.0008890542085282505
8,30118,2124,1700.49803,23,236,44.79383087158203,0.002,0.5689961910247803,0.45090416073799133,0.0008890241733752191
9,30142,2360,1709.064803,24,236,44.79383087158203,0.002,0.5689877867698669,0.4508886933326721,0.0008889912278391421
10,30166,2596,1716.503373,24,236,44.7938346862793,0.002,0.5689787864685059,0.4508732557296753,0.0008889563614502549
11,30190,2832,1724.256877,24,236,44.7938346862793,0.002,0.5689693689346313,0.4508577287197113,0.0008889191667549312
12,30214,3068,11573.351874,24,236,44.7938346862793,0.002,0.5689595937728882,0.4508422315120697,0.000888880982529372
13,30238,3304,11581.37474,24,236,44.7938346862793,0.002,0.568949282169342,0.45082682371139526,0.0008888415759429336
14,30262,3540,11589.768964,24,236,44.79384231567383,0.002,0.5689385533332825,0.4508112967014313,0.0008887987933121622
15,30286,3776,11597.564612,24,236,44.79384231567383,0.002,0.5689274668693542,0.45079588890075684,0.0008887569420039654
16,30310,4012,11605.598026,24,236,44.793846130371094,0.002,0.5689160823822021,0.45078039169311523,0.0008887134026736021
17,30334,4248,11616.966186,24,236,44.793846130371094,0.002,0.5689042806625366,0.45076486468315125,0.0008886680006980896
18,30357,4484,11628.368215,23,236,44.793853759765625,0.002,0.5688925981521606,0.4507494568824768,0.0008886239374987781
19,30380,4720,11636.796404,23,236,44.79384994506836,0.002,0.5688807368278503,0.45073404908180237,0.0008885794086381793
20,30404,4956,11645.495404,24,236,44.793853759765625,0.002,0.568868100643158,0.4507185220718384,0.0008885310962796211
21,30427,5192,11653.013976,23,236,44.793853759765625,0.002,0.5688555240631104,0.45070308446884155,0.0008884842391125858
22,30450,5428,11660.464561,23,236,44.793853759765625,0.002,0.5688428282737732,0.45068761706352234,0.0008884351700544357
23,30473,5664,11668.068494,23,236,44.793861389160156,0.002,0.5688297748565674,0.4506721496582031,0.0008883867412805557
24,30495,5900,11675.237826,22,236,44.793861389160156,0.002,0.568817138671875,0.4506566524505615,0.0008883386617526412
25,30518,6136,11682.582224,23,236,44.793861389160156,0.002,0.568803608417511,0.4506411552429199,0.0008882875554263592
26,30540,6372,11689.877229,22,236,44.793861389160156,0.002,0.5687905550003052,0.45062577724456787,0.0008882389520294964
27,30562,6608,11697.204413,22,236,44.79386901855469,0.002,0.5687770843505859,0.45061030983924866,0.0008881888934411108
28,30584,6844,11704.400427,22,236,44.79386901855469,0.002,0.5687635540962219,0.45059484243392944,0.0008881384856067598
29,30606,7080,11711.565261,22,236,44.79386901855469,0.002,0.568749725818634,0.4505794048309326,0.0008880860405042768
30,30628,7316,11718.742244,22,236,44.79386901855469,0.002,0.5687358379364014,0.450563907623291,0.0008880330133251846
31,30650,7552,11725.975418,22,236,44.79386901855469,0.002,0.5687216520309448,0.4505484700202942,0.0008879796951077878
32,30672,7788,11733.153476,22,236,44.79386901855469,0.002,0.568707287311554,0.4505329728126526,0.0008879257366061211
33,30693,8024,11740.355023,21,236,44.79387283325195,0.002,0.5686934590339661,0.45051753520965576,0.0008878744556568563
34,30714,8260,11747.673516,21,236,44.79387283325195,0.002,0.5686795115470886,0.45050203800201416,0.0008878220105543733
35,30736,8496,11755.936001,22,236,44.79387283325195,0.002,0.5686646103858948,0.45048660039901733,0.0008877668296918273
36,30757,8732,11763.148809,21,236,44.79387664794922,0.002,0.5686502456665039,0.45047107338905334,0.0008877126383595169
37,30778,8968,11770.398293,21,236,44.793880462646484,0.002,0.5686356425285339,0.4504556357860565,0.0008876594947651029
38,30799,9204,11777.614968,21,236,44.793880462646484,0.002,0.568621039390564,0.4504401683807373,0.0008876050123944879
39,30820,9440,11784.843206,21,236,44.793880462646484,0.002,0.5686063170433044,0.4504246711730957,0.0008875492494553328
40,30841,9676,11792.072877,21,236,44.793880462646484,0.002,0.5685913562774658,0.4504092335700989,0.0008874940103851259
41,30861,9912,11799.22358,20,236,44.793888092041016,0.002,0.5685769319534302,0.4503937065601349,0.0008874418563209474
42,30882,10148,11806.500986,21,236,44.79388427734375,0.002,0.5685617923736572,0.45037832856178284,0.000887384929228574
43,30903,10384,11814.020558,21,236,44.79388427734375,0.002,0.5685463547706604,0.450362890958786,0.000887328467797488
44,30923,10620,11821.238338,20,236,44.793888092041016,0.002,0.5685315132141113,0.4503474235534668,0.0008872734615579247
45,30943,10856,11828.927794,20,236,44.793888092041016,0.002,0.568516731262207,0.4503319561481476,0.000887218106072396
46,30964,11092,11836.259346,21,236,44.793888092041016,0.002,0.5685009360313416,0.45031654834747314,0.0008871593163348734
47,30984,11328,11843.666766,20,236,44.793888092041016,0.002,0.5684857964515686,0.45030105113983154,0.0008871033205650747
48,31004,11564,11850.946244,20,236,44.793888092041016,0.002,0.5684705972671509,0.45028552412986755,0.0008870480814948678
49,31024,11800,19759.814592,20,236,44.793888092041016,0.002,0.5684552788734436,0.4502701163291931,0.0008869910379871726
