k,cum_lower_iters,cum_ad_iters,cum_runtime,lower_iters,ad_iters,L,mu,upper_obj,lower_obj,norm_upper_grad
0,29998,15,927.157035,29998,15,44.79380798339844,0.002,0.5690273642539978,0.4510277509689331,0.000985603081062436
1,29999,30,927.775539,1,15,44.79381561279297,0.002,0.569027304649353,0.4510110318660736,0.0009856020333245397
2,30009,45,928.675258,10,15,44.7938117980957,0.002,0.5690257549285889,0.4509943127632141,0.000985591672360897
3,30024,60,929.721586,15,15,44.79381561279297,0.002,0.5690229535102844,0.45097753405570984,0.0009855709504336119
4,30042,75,930.859911,18,15,44.79381561279297,0.002,0.5690187215805054,0.45096081495285034,0.000985543243587017
5,30064,90,932.17113,22,15,44.79381561279297,0.002,0.5690129399299622,0.4509440064430237,0.000985506922006607
6,30088,105,933.525931,24,15,44.793819427490234,0.002,0.5690058469772339,0.4509272873401642,0.0009854636155068874
7,30113,120,934.890143,25,15,44.793819427490234,0.002,0.568997859954834,0.4509105086326599,0.000985418097116053
8,30138,135,936.29829,25,15,44.793819427490234,0.002,0.5689890384674072,0.45089372992515564,0.0009853692026808858
9,30164,150,937.712104,26,15,44.793819427490234,0.002,0.5689793229103088,0.45087701082229614,0.000985315185971558
10,30191,165,939.172076,27,15,44.793819427490234,0.002,0.5689687132835388,0.4508601725101471,0.00098525604698807
11,30217,180,940.603179,26,15,44.793819427490234,0.002,0.5689579844474792,0.4508434236049652,0.0009851976064965129
12,30243,195,942.02028,26,15,44.793819427490234,0.002,0.5689467191696167,0.45082664489746094,0.0009851357899606228
13,30269,210,943.455035,26,15,44.793819427490234,0.002,0.5689349174499512,0.45080989599227905,0.0009850726928561926
14,30295,225,944.905443,26,15,44.793819427490234,0.002,0.568922758102417,0.45079305768013,0.0009850070346146822
15,30321,240,946.370629,26,15,44.793819427490234,0.002,0.5689100623130798,0.4507763385772705,0.0009849404450505972
16,30347,255,947.857451,26,15,44.793819427490234,0.002,0.5688970685005188,0.4507596492767334,0.0009848696645349264
17,30372,270,949.300444,25,15,44.7938232421875,0.002,0.5688841938972473,0.4507429003715515,0.0009848021436482668
18,30397,285,950.744775,25,15,44.793819427490234,0.002,0.5688709020614624,0.45072609186172485,0.0009847322944551706
19,30422,300,952.188198,25,15,44.793819427490234,0.002,0.5688573122024536,0.4507093131542206,0.000984660815447569
20,30447,315,953.643876,25,15,44.793819427490234,0.002,0.568843424320221,0.4506925344467163,0.000984588055871427
21,30472,330,955.09178,25,15,44.793819427490234,0.002,0.5688291788101196,0.45067575573921204,0.0009845135500654578
22,30496,345,956.437821,24,15,44.793819427490234,0.002,0.5688152313232422,0.45065897703170776,0.0009844405576586723
23,30521,360,957.809091,25,15,44.793819427490234,0.002,0.5688004493713379,0.45064228773117065,0.000984364072792232
24,30545,375,959.150182,24,15,44.793819427490234,0.002,0.5687859654426575,0.4506254494190216,0.000984288053587079
25,30569,390,960.476029,24,15,44.793819427490234,0.002,0.5687713623046875,0.4506087601184845,0.0009842122672125697
26,30593,405,961.804139,24,15,44.793819427490234,0.002,0.5687562823295593,0.450592041015625,0.0009841342689469457
27,30617,420,963.162598,24,15,44.793819427490234,0.002,0.5687411427497864,0.45057523250579834,0.0009840541752055287
28,30640,435,964.509298,23,15,44.793819427490234,0.002,0.5687263607978821,0.45055845379829407,0.0009839768754318357
29,30664,450,965.847703,24,15,44.7938232421875,0.002,0.5687106847763062,0.45054173469543457,0.0009838973637670279
30,30687,465,967.098597,23,15,44.793819427490234,0.002,0.5686954259872437,0.4505248963832855,0.000983820529654622
31,30710,480,968.361433,23,15,44.793819427490234,0.002,0.5686801075935364,0.4505082070827484,0.0009837410179898143
32,30733,495,969.642327,23,15,44.793819427490234,0.002,0.5686643719673157,0.45049142837524414,0.00098366045858711
33,30756,510,970.891564,23,15,44.793819427490234,0.002,0.5686485767364502,0.45047464966773987,0.0009835786186158657
34,30779,525,972.153978,23,15,44.79381561279297,0.002,0.5686326026916504,0.450457900762558,0.0009834964293986559
35,30802,540,973.375602,23,15,44.79381561279297,0.002,0.5686163902282715,0.4504411518573761,0.0009834155207499862
36,30824,555,974.57446,22,15,44.79381561279297,0.002,0.5686007738113403,0.4504243731498718,0.0009833343792706728
37,30847,570,975.857571,23,15,44.79381561279297,0.002,0.5685843229293823,0.45040765404701233,0.0009832504438236356
38,30869,585,977.079165,22,15,44.793819427490234,0.002,0.5685683488845825,0.4503908157348633,0.0009831697680056095
39,30891,600,978.32384,22,15,44.79381561279297,0.002,0.5685521364212036,0.45037412643432617,0.000983086763881147
40,30913,615,979.556597,22,15,44.79381561279297,0.002,0.5685359239578247,0.4503573775291443,0.0009830034105107188
41,30935,630,980.772748,22,15,44.79381561279297,0.002,0.5685194730758667,0.45034059882164,0.0009829207556322217
42,30957,645,982.001858,22,15,44.7938117980957,0.002,0.5685029625892639,0.4503238797187805,0.0009828370530158281
43,30979,660,983.210133,22,15,44.7938117980957,0.002,0.568486213684082,0.45030713081359863,0.0009827512549236417
44,31001,675,984.419681,22,15,44.7938117980957,0.002,0.5684693455696106,0.45029035210609436,0.0009826653404161334
45,31023,690,985.630147,22,15,44.79380798339844,0.002,0.5684524774551392,0.4502736032009125,0.0009825804736465216
46,31044,705,986.860389,21,15,44.79380416870117,0.002,0.5684360861778259,0.450256884098053,0.0009824966546148062
