k,cum_lower_iters,cum_ad_iters,cum_runtime,lower_iters,ad_iters,L,mu,upper_obj,lower_obj,norm_upper_grad
0,685,6,19.907176,685,6,44.79380798339844,0.002,0.5688523054122925,0.4510192573070526,0.0023007162380963564
1,696,12,20.507324,11,6,44.7938346862793,0.002,0.5688386559486389,0.45097848773002625,0.002300695748999715
2,709,18,21.161563,13,6,44.793853759765625,0.002,0.5688121914863586,0.4509377181529999,0.0023006820119917393
3,724,24,21.88247,15,6,44.793880462646484,0.002,0.5687699913978577,0.45089685916900635,0.002300678053870797
4,739,30,22.558197,15,6,44.79389190673828,0.002,0.5687280893325806,0.4508560299873352,0.0023006624542176723
5,756,36,23.297874,17,6,44.79391860961914,0.002,0.5686750411987305,0.4508151412010193,0.0023006503470242023
6,773,42,24.04739,17,6,44.79393768310547,0.002,0.568625807762146,0.45077434182167053,0.002300624968484044
7,792,48,24.849851,19,6,44.7939567565918,0.002,0.5685684680938721,0.4507335424423218,0.002300598658621311
8,812,54,25.669274,20,6,44.793975830078125,0.002,0.5685121417045593,0.4506925940513611,0.0023005639668554068
9,832,60,26.505327,20,6,44.79399108886719,0.002,0.5684595108032227,0.45065176486968994,0.0023005264811217785
10,852,66,27.321158,20,6,44.79401397705078,0.002,0.5684080123901367,0.45061081647872925,0.0023004875984042883
11,873,72,28.18414,21,6,44.79403305053711,0.002,0.5683530569076538,0.4505699872970581,0.002300448715686798
12,894,78,29.135125,21,6,44.79405212402344,0.002,0.5683004260063171,0.450529009103775,0.0023004028480499983
13,916,84,30.175419,22,6,44.794071197509766,0.002,0.5682447552680969,0.4504881501197815,0.0023003590758889914
14,938,90,31.178426,22,6,44.794090270996094,0.002,0.5681917667388916,0.450447142124176,0.002300312975421548
15,961,96,32.170888,23,6,44.79410934448242,0.002,0.5681357979774475,0.45040619373321533,0.002300267107784748
16,978,102,32.928537,17,6,44.794124603271484,0.002,0.5681010484695435,0.4503653645515442,0.002300230087712407
17,999,108,33.82672,21,6,44.79414367675781,0.002,0.5680431723594666,0.4503244161605835,0.002300191204994917
18,1021,114,34.784588,22,6,44.794158935546875,0.002,0.5679868459701538,0.45028331875801086,0.002300144638866186
19,1044,120,35.759208,23,6,44.79417037963867,0.002,0.5679301023483276,0.45024240016937256,0.0023000920191407204
20,1068,126,36.741926,24,6,44.794185638427734,0.002,0.5678730607032776,0.4502013921737671,0.0023000396322458982
21,1087,132,37.571419,19,6,44.79420471191406,0.002,0.5678342580795288,0.4501603841781616,0.0023000009823590517
22,1110,138,38.464037,23,6,44.794219970703125,0.002,0.5677734613418579,0.4501194357872009,0.0022999534849077463
23,1134,144,39.420822,24,6,44.79423141479492,0.002,0.5677168369293213,0.45007839798927307,0.002299897838383913
24,1159,150,40.424787,25,6,44.794254302978516,0.002,0.5676597952842712,0.4500374495983124,0.0022998403292149305
25,1177,156,41.178764,18,6,44.79426574707031,0.002,0.5676258206367493,0.4499964118003845,0.002299804473295808
26,1199,162,42.064588,22,6,44.79427719116211,0.002,0.5675680637359619,0.4499553143978119,0.002299760701134801
27,1223,168,42.995754,24,6,44.79429626464844,0.002,0.5675089359283447,0.4499143362045288,0.0022997052874416113
28,1248,174,43.963664,25,6,44.79430389404297,0.002,0.5674520134925842,0.4498732388019562,0.0022996484767645597
29,1268,180,44.778751,20,6,44.79431915283203,0.002,0.5674124360084534,0.4498322308063507,0.0022996023762971163
30,1293,186,45.743523,25,6,44.79433822631836,0.002,0.5673477053642273,0.44979119300842285,0.0022995511535555124
31,1318,192,46.692539,25,6,44.794349670410156,0.002,0.5672943592071533,0.4497500956058502,0.0022994913160800934
32,1338,198,47.510923,20,6,44.79435729980469,0.002,0.567254900932312,0.4497089982032776,0.00229944521561265
33,1363,204,48.474022,25,6,44.79437255859375,0.002,0.5671906471252441,0.44966790080070496,0.002299395389854908
34,1388,210,49.426844,25,6,44.79438781738281,0.002,0.567137598991394,0.44962677359580994,0.0022993318270891905
35,1415,216,50.427221,27,6,44.794395446777344,0.002,0.5670782327651978,0.4495856761932373,0.002299275016412139
36,1433,222,51.201876,18,6,44.794410705566406,0.002,0.5670475363731384,0.4495445787906647,0.0022992317099124193
37,1455,228,52.084945,22,6,44.7944221496582,0.002,0.566991925239563,0.44950342178344727,0.002299188170582056
38,1480,234,53.092338,25,6,44.794429779052734,0.002,0.5669307112693787,0.44946226477622986,0.0022991271689534187
39,1506,240,54.138348,26,6,44.79444122314453,0.002,0.5668741464614868,0.44942113757133484,0.002299065003171563
40,1525,246,54.968054,19,6,44.79444885253906,0.002,0.5668392181396484,0.44937992095947266,0.0022990214638412
41,1549,252,55.938798,24,6,44.794464111328125,0.002,0.5667774081230164,0.4493388831615448,0.002298968844115734
42,1575,258,56.95253,26,6,44.794471740722656,0.002,0.5667188167572021,0.4492976665496826,0.002298906212672591
43,1602,264,57.973339,27,6,44.79448318481445,0.002,0.5666618943214417,0.4492564797401428,0.002298839157447219
44,1621,270,58.774084,19,6,44.794490814208984,0.002,0.5666285753250122,0.4492153525352478,0.0022987935226410627
45,1644,276,59.680726,23,6,44.794498443603516,0.002,0.5665712356567383,0.4491741955280304,0.0022987464908510447
46,1670,282,60.716985,26,6,44.79450988769531,0.002,0.5665102005004883,0.4491329491138458,0.002298683626577258
47,1696,288,61.692415,26,6,44.79452133178711,0.002,0.5664564371109009,0.44909173250198364,0.002298618433997035
48,1715,294,62.534363,19,6,44.794525146484375,0.002,0.5664218068122864,0.4490504860877991,0.0022985730320215225
49,1739,300,63.53478,24,6,44.794532775878906,0.002,0.566360354423523,0.4490092694759369,0.002298523671925068
50,1765,306,64.539307,26,6,44.79454040527344,0.002,0.5663019418716431,0.4489680528640747,0.0022984533570706844
51,1792,312,65.631891,27,6,44.79454803466797,0.002,0.5662453770637512,0.4489268362522125,0.0022983860690146685
