k,cum_lower_iters,cum_ad_iters,cum_runtime,lower_iters,ad_iters,L,mu,upper_obj,lower_obj,norm_upper_grad
0,523,6661,213.435419,523,6661,44.79380798339844,0.002,0.5688375234603882,0.4510197043418884,0.0023347202222794294
1,524,13322,412.732634,1,6661,44.793888092041016,0.002,0.5688372850418091,0.45098069310188293,0.00233468203805387
2,525,19983,612.136867,1,6661,44.79396438598633,0.002,0.5688368678092957,0.45094162225723267,0.002334647113457322
3,526,26644,811.501426,1,6661,44.79403305053711,0.002,0.5688361525535583,0.45090252161026,0.002334610093384981
4,527,33305,1010.830154,1,6661,44.79411315917969,0.002,0.5688352584838867,0.4508635103702545,0.0023345702793449163
5,528,39966,1210.698253,1,6661,44.794185638427734,0.002,0.5688341856002808,0.4508245289325714,0.002334530930966139
6,530,46627,1411.357982,2,6661,44.79425811767578,0.002,0.5688300728797913,0.45078542828559875,0.0023344845976680517
7,532,53288,1611.73608,2,6661,44.79433822631836,0.002,0.5688254833221436,0.45074641704559326,0.002334439195692539
8,534,59949,1812.155393,2,6661,44.794410705566406,0.002,0.5688204169273376,0.45070746541023254,0.002334390301257372
9,537,66610,2011.881865,3,6661,44.79448699951172,0.002,0.5688091516494751,0.4506683647632599,0.002334331627935171
10,540,73271,2210.934202,3,6661,44.79456329345703,0.002,0.5687974095344543,0.4506293833255768,0.0023342734202742577
11,544,79931,2411.899435,4,6660,44.79463577270508,0.002,0.5687767863273621,0.4505902826786041,0.0023341889027506113
12,548,86591,2611.158043,4,6660,44.794708251953125,0.002,0.568755567073822,0.45055118203163147,0.002334119053557515
13,552,93251,2811.310445,4,6660,44.79478454589844,0.002,0.5687335729598999,0.4505121409893036,0.0023340515326708555
14,556,99444,2996.45194,4,6193,44.794857025146484,0.002,0.5687106251716614,0.4504730701446533,0.0023244889453053474
