k,cum_lower_iters,cum_ad_iters,cum_runtime,lower_iters,ad_iters,L,mu,upper_obj,lower_obj,norm_upper_grad
0,523,188,19.914078,523,188,44.79380798339844,0.002,0.5688375234603882,0.4510197043418884,0.0024073170498013496
1,524,376,25.64249,1,188,44.79391098022461,0.002,0.5688372850418091,0.4509807825088501,0.002407277002930641
2,525,564,31.27612,1,188,44.79400634765625,0.002,0.5688368678092957,0.450941801071167,0.002407229971140623
3,526,752,36.927691,1,188,44.794097900390625,0.002,0.5688361525535583,0.4509028196334839,0.002407183637842536
4,527,940,42.678536,1,188,44.79419708251953,0.002,0.5688352584838867,0.45086389780044556,0.0024071394000202417
5,528,1128,48.38323,1,188,44.794288635253906,0.002,0.5688340663909912,0.45082494616508484,0.002407092833891511
6,530,1316,54.266179,2,188,44.79438781738281,0.002,0.5688299536705017,0.45078596472740173,0.002407034859061241
7,532,1504,60.280698,2,188,44.79447937011719,0.002,0.568825364112854,0.4507470428943634,0.002406979212537408
8,535,1692,66.368178,3,188,44.794578552246094,0.002,0.5688151717185974,0.4507081210613251,0.002406905172392726
9,538,1880,72.544573,3,188,44.794673919677734,0.002,0.5688042044639587,0.45066919922828674,0.0024068274069577456
10,541,2068,78.703379,3,188,44.794769287109375,0.002,0.5687925219535828,0.45063021779060364,0.0024067487102001905
11,545,2256,84.864154,4,188,44.794864654541016,0.002,0.56877201795578,0.45059123635292053,0.002406650921329856
12,549,2444,91.335615,4,188,44.794960021972656,0.002,0.5687508583068848,0.45055219531059265,0.0024065575562417507
13,553,2632,97.43841,4,188,44.7950553894043,0.002,0.5687287449836731,0.45051324367523193,0.0024064623285084963
14,558,2820,103.293377,5,188,44.79515075683594,0.002,0.5686948895454407,0.45047426223754883,0.002406338695436716
15,562,3008,109.140298,4,188,44.79524230957031,0.002,0.5686717629432678,0.4504353106021881,0.002406239276751876
16,567,3196,115.128308,5,188,44.79533767700195,0.002,0.5686362981796265,0.450396329164505,0.002406117506325245
17,571,3384,120.87978,4,188,44.795433044433594,0.002,0.5686120390892029,0.4503573179244995,0.002406019251793623
18,576,3572,126.599513,5,188,44.795528411865234,0.002,0.5685747265815735,0.4503183364868164,0.0024058890994638205
19,581,3760,132.5027,5,188,44.79561996459961,0.002,0.5685372948646545,0.45027926564216614,0.002405765699222684
