k,cum_lower_iters,cum_ad_iters,cum_runtime,lower_iters,ad_iters,L,mu,upper_obj,lower_obj,norm_upper_grad
0,1147,100,39.715806,1147,100,44.79380798339844,0.002,0.56885826587677,0.4510193169116974,0.00047506624832749367
1,1148,200,46.361927,1,100,44.79380798339844,0.002,0.56885826587677,0.4510193467140198,0.0009501326130703092
2,1149,300,52.411512,1,100,44.7938117980957,0.002,0.56885826587677,0.45101916790008545,0.0014252024702727795
3,1150,400,58.431709,1,100,44.7938117980957,0.002,0.56885826587677,0.45101889967918396,0.0019002649933099747
4,1151,500,64.461875,1,100,44.7938117980957,0.002,0.56885826587677,0.45101863145828247,0.002375338925048709
5,1152,600,70.509232,1,100,44.79381561279297,0.002,0.56885826587677,0.45101824402809143,0.002850404242053628
6,1154,700,76.593713,2,100,44.79381561279297,0.002,0.5688582062721252,0.45101770758628845,0.0033254672307521105
7,1160,800,83.102129,6,100,44.79381561279297,0.002,0.5688580870628357,0.45101720094680786,0.0038005285896360874
8,1166,900,89.393752,6,100,44.79381561279297,0.002,0.5688580870628357,0.4510166049003601,0.004275607410818338
9,1173,1000,95.751901,7,100,44.79381561279297,0.002,0.5688579082489014,0.4510158598423004,0.004750674590468407
10,1181,1100,102.218365,8,100,44.793819427490234,0.002,0.5688577890396118,0.45101508498191833,0.005225720349699259
11,1190,1200,108.585439,9,100,44.79381561279297,0.002,0.5688576102256775,0.4510142505168915,0.005700801033526659
12,1200,1300,115.027312,10,100,44.7938117980957,0.002,0.5688572525978088,0.4510132968425751,0.006175846327096224
13,1211,1400,121.39431,11,100,44.7938117980957,0.002,0.568856954574585,0.4510122537612915,0.006650913041085005
14,1222,1500,128.098403,11,100,44.79381561279297,0.002,0.5688565969467163,0.45101121068000793,0.007125972304493189
15,1234,1600,134.88765,12,100,44.7938117980957,0.002,0.5688561797142029,0.4510100185871124,0.007601018529385328
16,1247,1700,141.526294,13,100,44.7938117980957,0.002,0.5688557624816895,0.4510088264942169,0.008076077327132225
17,1261,1800,148.365353,14,100,44.793819427490234,0.002,0.5688551068305969,0.4510074555873871,0.008551150560379028
18,1275,1900,154.80752,14,100,44.79381561279297,0.002,0.568854570388794,0.45100605487823486,0.0090261772274971
19,1291,2000,161.286284,16,100,44.79381561279297,0.002,0.5688536167144775,0.45100462436676025,0.009501256980001926
20,1307,2100,167.661733,16,100,44.793819427490234,0.002,0.5688527822494507,0.4510030448436737,0.009976284578442574
21,1324,2200,174.279798,17,100,44.793819427490234,0.002,0.5688517689704895,0.45100146532058716,0.010451305657625198
22,1341,2300,181.369469,17,100,44.79381561279297,0.002,0.5688506960868835,0.4509997069835663,0.010926365852355957
23,1358,2400,188.363961,17,100,44.7938117980957,0.002,0.5688495635986328,0.450997918844223,0.011401411145925522
24,1376,2500,195.020176,18,100,44.793819427490234,0.002,0.568848192691803,0.450996071100235,0.011876395903527737
25,1395,2600,201.69982,19,100,44.793819427490234,0.002,0.5688467025756836,0.4509941041469574,0.01235142257064581
26,1414,2700,208.296119,19,100,44.79381561279297,0.002,0.5688451528549194,0.4509921371936798,0.012826419435441494
27,1433,2800,215.07641,19,100,44.79381561279297,0.002,0.5688436031341553,0.4509899914264679,0.013301489874720573
28,1452,2900,221.970235,19,100,44.793819427490234,0.002,0.5688419342041016,0.45098787546157837,0.013776494190096855
29,1472,3000,229.275473,20,100,44.793819427490234,0.002,0.5688400268554688,0.4509856104850769,0.014251505956053734
30,1493,3100,236.091285,21,100,44.793819427490234,0.002,0.5688380599021912,0.4509832561016083,0.014726483263075352
31,1513,3200,245.594581,20,100,44.793819427490234,0.002,0.5688360929489136,0.4509808123111725,0.015201454050838947
32,1534,3300,252.917733,21,100,44.793819427490234,0.002,0.5688338875770569,0.4509783685207367,0.015676483511924744
33,1555,3400,259.576151,21,100,44.793819427490234,0.002,0.5688316822052002,0.45097580552101135,0.016151417046785355
34,1577,3500,266.239151,22,100,44.79381561279297,0.002,0.5688291788101196,0.45097312331199646,0.016626400873064995
35,1599,3600,272.873651,22,100,44.79381561279297,0.002,0.5688266158103943,0.4509704113006592,0.01710142008960247
36,1621,3700,279.529861,22,100,44.793819427490234,0.002,0.568824052810669,0.45096760988235474,0.017576348036527634
37,1643,3800,286.781447,22,100,44.793819427490234,0.002,0.5688214302062988,0.4509648084640503,0.01805126667022705
38,1666,3900,294.019216,23,100,44.7938232421875,0.002,0.5688186287879944,0.4509618580341339,0.018526216968894005
39,1689,4000,301.18792,23,100,44.793819427490234,0.002,0.5688156485557556,0.450958788394928,0.01900118961930275
40,1712,4100,308.282868,23,100,44.793819427490234,0.002,0.5688126087188721,0.45095571875572205,0.019476087763905525
41,1736,4200,315.368767,24,100,44.7938232421875,0.002,0.5688093304634094,0.45095252990722656,0.019951002672314644
42,1759,4300,322.057922,23,100,44.793819427490234,0.002,0.5688061714172363,0.45094922184944153,0.020425880327820778
43,1783,4400,328.774492,24,100,44.793819427490234,0.002,0.5688027739524841,0.4509459435939789,0.0209007877856493
44,1807,4500,335.721446,24,100,44.7938232421875,0.002,0.5687993168830872,0.4509425163269043,0.021375685930252075
45,1832,4600,343.239074,25,100,44.793819427490234,0.002,0.5687955617904663,0.4509389400482178,0.02185055799782276
