k,cum_lower_iters,cum_ad_iters,cum_runtime,lower_iters,ad_iters,L,mu,upper_obj,lower_obj,norm_upper_grad
0,1147,100,35.218034,1147,100,44.79380798339844,0.002,0.56885826587677,0.4510193169116974,0.002415179507806897
1,1148,200,38.215056,1,100,44.79380798339844,0.002,0.56885826587677,0.4510193467140198,0.0024151792749762535
2,1149,300,41.176777,1,100,44.79380798339844,0.002,0.56885826587677,0.4510192573070526,0.002415179507806897
3,1150,400,44.200925,1,100,44.7938117980957,0.002,0.56885826587677,0.4510192573070526,0.00241517904214561
4,1151,500,47.161246,1,100,44.7938117980957,0.002,0.56885826587677,0.45101919770240784,0.00241517904214561
5,1152,600,50.136734,1,100,44.7938117980957,0.002,0.56885826587677,0.45101916790008545,0.002415178809314966
6,1153,700,53.149716,1,100,44.7938117980957,0.002,0.5688582062721252,0.4510191082954407,0.00241517904214561
7,1154,800,56.106898,1,100,44.7938117980957,0.002,0.56885826587677,0.4510191082954407,0.00241517904214561
8,1155,900,59.133847,1,100,44.7938117980957,0.002,0.56885826587677,0.4510190486907959,0.002415178809314966
9,1156,1000,62.103993,1,100,44.7938117980957,0.002,0.5688582062721252,0.4510190188884735,0.002415178809314966
10,1157,1100,65.078091,1,100,44.7938117980957,0.002,0.5688582062721252,0.45101895928382874,0.002415178809314966
11,1158,1200,68.122901,1,100,44.7938117980957,0.002,0.5688582062721252,0.45101895928382874,0.0024151785764843225
12,1159,1300,71.221606,1,100,44.7938117980957,0.002,0.5688582062721252,0.45101889967918396,0.0024151785764843225
13,1160,1400,74.210405,1,100,44.7938117980957,0.002,0.5688582062721252,0.4510188102722168,0.002415178343653679
14,1161,1500,77.220432,1,100,44.7938117980957,0.002,0.5688581466674805,0.4510187804698944,0.0024151781108230352
15,1162,1600,80.234209,1,100,44.79381561279297,0.002,0.5688582062721252,0.4510187804698944,0.002415178343653679
16,1163,1700,83.211503,1,100,44.79381561279297,0.002,0.5688582062721252,0.45101872086524963,0.0024151781108230352
17,1164,1800,86.177074,1,100,44.7938117980957,0.002,0.5688581466674805,0.45101866126060486,0.0024151778779923916
18,1165,1900,89.181678,1,100,44.79381561279297,0.002,0.5688581466674805,0.45101863145828247,0.0024151778779923916
19,1166,2000,92.180243,1,100,44.7938117980957,0.002,0.5688581466674805,0.4510185718536377,0.0024151778779923916
20,1167,2100,95.174005,1,100,44.79381561279297,0.002,0.5688581466674805,0.4510185718536377,0.002415178343653679
21,1168,2200,98.172355,1,100,44.79381561279297,0.002,0.5688581466674805,0.4510185420513153,0.0024151781108230352
22,1169,2300,101.117956,1,100,44.79381561279297,0.002,0.5688581466674805,0.4510185122489929,0.002415178809314966
23,1170,2400,104.103855,1,100,44.79381561279297,0.002,0.5688581466674805,0.45101845264434814,0.0024151778779923916
24,1171,2500,107.096542,1,100,44.79381561279297,0.002,0.5688581466674805,0.45101839303970337,0.002415178343653679
25,1172,2600,110.242636,1,100,44.79381561279297,0.002,0.5688581466674805,0.45101839303970337,0.0024151778779923916
26,1173,2700,113.552723,1,100,44.79381561279297,0.002,0.5688581466674805,0.4510182738304138,0.0024151781108230352
27,1174,2800,116.578702,1,100,44.79381561279297,0.002,0.5688581466674805,0.4510183036327362,0.0024151778779923916
28,1175,2900,119.5973,1,100,44.79381561279297,0.002,0.5688580870628357,0.4510182738304138,0.0024151781108230352
29,1176,3000,122.557556,1,100,44.79381561279297,0.002,0.5688580870628357,0.45101821422576904,0.0024151778779923916
30,1177,3100,125.537058,1,100,44.79381561279297,0.002,0.5688580870628357,0.45101815462112427,0.0024151778779923916
31,1178,3200,128.557749,1,100,44.79381561279297,0.002,0.5688580870628357,0.45101815462112427,0.002415177645161748
32,1179,3300,131.612036,1,100,44.79381561279297,0.002,0.5688580870628357,0.4510181248188019,0.0024151781108230352
33,1180,3400,134.59183,1,100,44.793819427490234,0.002,0.5688580870628357,0.4510180652141571,0.0024151778779923916
34,1181,3500,137.645659,1,100,44.793819427490234,0.002,0.5688580274581909,0.45101800560951233,0.0024151774123311043
35,1182,3600,140.71075,1,100,44.793819427490234,0.002,0.5688580274581909,0.45101797580718994,0.0024151774123311043
36,1183,3700,143.699852,1,100,44.79381561279297,0.002,0.5688580274581909,0.45101797580718994,0.0024151774123311043
37,1184,3800,146.667991,1,100,44.793819427490234,0.002,0.5688580274581909,0.45101791620254517,0.0024151778779923916
38,1185,3900,149.690453,1,100,44.793819427490234,0.002,0.5688580274581909,0.4510178565979004,0.002415177645161748
39,1186,4000,152.652608,1,100,44.79381561279297,0.002,0.5688580274581909,0.451017826795578,0.0024151774123311043
40,1187,4100,155.651428,1,100,44.793819427490234,0.002,0.5688580274581909,0.4510177671909332,0.0024151774123311043
41,1188,4200,158.658063,1,100,44.79381561279297,0.002,0.5688580274581909,0.45101773738861084,0.0024151778779923916
42,1189,4300,161.65697,1,100,44.79381561279297,0.002,0.5688580274581909,0.45101773738861084,0.0024151774123311043
43,1190,4400,164.626297,1,100,44.793819427490234,0.002,0.5688580274581909,0.45101767778396606,0.0024151774123311043
