k,cum_lower_iters,cum_ad_iters,cum_runtime,lower_iters,ad_iters,L,mu,upper_obj,lower_obj,norm_upper_grad
0,52561,100,1631.030024,52561,100,44.79380798339844,0.002,0.5688663125038147,0.45101937651634216,0.002384267980232835
1,52562,200,1637.59313,1,100,44.7938117980957,0.002,0.5688663721084595,0.45101895928382874,0.004768535494804382
2,52563,300,1643.973218,1,100,44.79381561279297,0.002,0.5688662528991699,0.45101818442344666,0.007152792066335678
3,52564,400,1650.322918,1,100,44.793819427490234,0.002,0.5688662528991699,0.4510171115398407,0.009537066332995892
4,52574,500,1656.983617,10,100,44.793819427490234,0.002,0.5688661336898804,0.45101553201675415,0.011921320110559464
5,52591,600,1663.565223,17,100,44.7938232421875,0.002,0.5688657760620117,0.4510136842727661,0.014305571094155312
6,52618,700,1670.490022,27,100,44.79383087158203,0.002,0.5688650608062744,0.4510113596916199,0.016689809039235115
7,52654,800,1677.836442,36,100,44.79383850097656,0.002,0.5688638687133789,0.45100870728492737,0.019074097275733948
8,52698,900,1685.642736,44,100,44.79384231567383,0.002,0.5688623785972595,0.45100563764572144,0.021458309143781662
9,52751,1000,1693.969612,53,100,44.793853759765625,0.002,0.5688603520393372,0.451002299785614,0.023842554539442062
10,52811,1100,1702.802062,60,100,44.79385757446289,0.002,0.5688576698303223,0.4509984850883484,0.026226742193102837
11,52878,1200,1711.986677,67,100,44.79386901855469,0.002,0.568854570388794,0.45099425315856934,0.028610959649086
12,52950,1300,1721.149552,72,100,44.793880462646484,0.002,0.5688509345054626,0.450989693403244,0.030995143577456474
13,53028,1400,1730.014899,78,100,44.79389190673828,0.002,0.5688466429710388,0.45098474621772766,0.03337925672531128
14,53111,1500,1738.638218,83,100,44.79390335083008,0.002,0.5688416957855225,0.45097941160202026,0.035763420164585114
15,53200,1600,1747.194475,89,100,44.79391860961914,0.002,0.5688361525535583,0.450973778963089,0.03814757987856865
16,53294,1700,1755.902899,94,100,44.79393005371094,0.002,0.5688300728797913,0.4509676694869995,0.040531642735004425
17,53393,1800,1765.028762,99,100,44.793949127197266,0.002,0.5688233971595764,0.4509612023830414,0.04291568696498871
18,53497,1900,1774.183354,104,100,44.793968200683594,0.002,0.5688160061836243,0.4509543776512146,0.04529973119497299
19,53606,2000,1783.377133,109,100,44.79397964477539,0.002,0.5688080787658691,0.45094719529151917,0.0476837083697319
20,53720,2100,1792.777776,114,100,44.79399871826172,0.002,0.5687994360923767,0.4509395658969879,0.05006762966513634
21,53839,2200,1802.576357,119,100,44.79402160644531,0.002,0.5687901377677917,0.4509316086769104,0.052451543509960175
