k,cum_lower_iters,cum_ad_iters,cum_runtime,lower_iters,ad_iters,L,mu,upper_obj,lower_obj,norm_upper_grad
0,52561,100,1562.172362,52561,100,44.79380798339844,0.002,0.5688663125038147,0.45101937651634216,0.0024152188561856747
1,52562,200,1565.34165,1,100,44.79380798339844,0.002,0.5688662528991699,0.4510193169116974,0.0024152195546776056
2,52563,300,1568.636389,1,100,44.79380798339844,0.002,0.5688662528991699,0.4510192573070526,0.002415219321846962
3,52564,400,1571.711143,1,100,44.7938117980957,0.002,0.5688662528991699,0.4510192573070526,0.0024152190890163183
4,52565,500,1574.822293,1,100,44.7938117980957,0.002,0.5688662528991699,0.4510192275047302,0.0024152188561856747
5,52566,600,1578.070962,1,100,44.7938117980957,0.002,0.5688662528991699,0.4510191082954407,0.0024152188561856747
6,52567,700,1581.097848,1,100,44.7938117980957,0.002,0.5688662528991699,0.45101913809776306,0.0024152190890163183
7,52568,800,1584.108128,1,100,44.7938117980957,0.002,0.5688662528991699,0.4510191082954407,0.0024152190890163183
8,52569,900,1587.201583,1,100,44.7938117980957,0.002,0.5688662528991699,0.4510190486907959,0.0024152190890163183
9,52570,1000,1590.306572,1,100,44.7938117980957,0.002,0.5688662528991699,0.4510189890861511,0.0024152188561856747
10,52571,1100,1593.464827,1,100,44.7938117980957,0.002,0.5688662528991699,0.45101895928382874,0.0024152188561856747
11,52572,1200,1596.624951,1,100,44.7938117980957,0.002,0.5688662528991699,0.45101889967918396,0.0024152188561856747
12,52573,1300,1599.819218,1,100,44.7938117980957,0.002,0.5688662528991699,0.45101889967918396,0.0024152188561856747
13,52574,1400,1603.076729,1,100,44.7938117980957,0.002,0.5688662528991699,0.4510188400745392,0.0024152188561856747
14,52575,1500,1606.354855,1,100,44.7938117980957,0.002,0.5688662528991699,0.4510188102722168,0.002415218623355031
15,52576,1600,1609.572045,1,100,44.79381561279297,0.002,0.5688661932945251,0.4510187804698944,0.0024152183905243874
16,52577,1700,1612.926757,1,100,44.79381561279297,0.002,0.5688661932945251,0.451018750667572,0.002415218623355031
17,52578,1800,1616.247826,1,100,44.7938117980957,0.002,0.5688661932945251,0.45101869106292725,0.002415218623355031
18,52579,1900,1619.580348,1,100,44.79381561279297,0.002,0.5688661932945251,0.45101863145828247,0.0024152181576937437
19,52580,2000,1622.751292,1,100,44.7938117980957,0.002,0.5688661932945251,0.4510186016559601,0.0024152183905243874
20,52581,2100,1625.917192,1,100,44.79381561279297,0.002,0.5688661932945251,0.4510186016559601,0.0024152181576937437
21,52582,2200,1629.143749,1,100,44.79381561279297,0.002,0.5688661336898804,0.45101848244667053,0.0024152183905243874
22,52583,2300,1632.198962,1,100,44.79381561279297,0.002,0.5688661932945251,0.45101848244667053,0.0024152183905243874
23,52584,2400,1635.223259,1,100,44.79381561279297,0.002,0.5688661336898804,0.45101845264434814,0.0024152179248631
24,52585,2500,1638.257711,1,100,44.79381561279297,0.002,0.5688661336898804,0.45101842284202576,0.0024152181576937437
25,52586,2600,1641.303866,1,100,44.79381561279297,0.002,0.5688661336898804,0.451018363237381,0.0024152179248631
26,52587,2700,1644.474431,1,100,44.79381561279297,0.002,0.5688661336898804,0.451018363237381,0.0024152179248631
27,52588,2800,1647.580265,1,100,44.79381561279297,0.002,0.5688661336898804,0.4510182738304138,0.0024152179248631
28,52589,2900,1650.659458,1,100,44.79381561279297,0.002,0.5688661336898804,0.4510182738304138,0.0024152179248631
29,52590,3000,1653.676763,1,100,44.79381561279297,0.002,0.5688661336898804,0.45101824402809143,0.0024152179248631
30,52591,3100,1656.660018,1,100,44.79381561279297,0.002,0.5688661336898804,0.4510181248188019,0.0024152181576937437
31,52592,3200,1659.6181,1,100,44.79381561279297,0.002,0.5688661336898804,0.4510180950164795,0.0024152174592018127
32,52593,3300,1662.643618,1,100,44.79381561279297,0.002,0.5688661336898804,0.4510180950164795,0.0024152174592018127
33,52594,3400,1665.670605,1,100,44.793819427490234,0.002,0.5688660740852356,0.4510180354118347,0.0024152176920324564
34,52595,3500,1668.735297,1,100,44.793819427490234,0.002,0.5688660740852356,0.4510180652141571,0.0024152176920324564
35,52596,3600,1671.826386,1,100,44.793819427490234,0.002,0.5688660740852356,0.45101800560951233,0.0024152174592018127
36,52597,3700,1675.011942,1,100,44.79381561279297,0.002,0.5688660740852356,0.45101791620254517,0.002415217226371169
37,52598,3800,1678.072154,1,100,44.793819427490234,0.002,0.568865954875946,0.45101791620254517,0.002415217226371169
38,52599,3900,1681.209949,1,100,44.79381561279297,0.002,0.568865954875946,0.4510178565979004,0.0024152169935405254
39,52600,4000,1684.340883,1,100,44.79381561279297,0.002,0.568865954875946,0.451017826795578,0.0024152167607098818
40,52601,4100,1687.495181,1,100,44.79381561279297,0.002,0.568865954875946,0.4510177671909332,0.0024152167607098818
41,52602,4200,1690.747008,1,100,44.79381561279297,0.002,0.568865954875946,0.45101773738861084,0.0024152167607098818
42,52603,4300,1694.009562,1,100,44.79381561279297,0.002,0.568865954875946,0.45101770758628845,0.002415216527879238
43,52604,4400,1697.297535,1,100,44.793819427490234,0.002,0.5688658952713013,0.45101770758628845,0.0024152167607098818
44,52605,4500,1700.595248,1,100,44.793819427490234,0.002,0.5688658952713013,0.4510176479816437,0.0024152167607098818
45,52606,4600,1704.050957,1,100,44.793819427490234,0.002,0.5688658952713013,0.4510175585746765,0.002415216527879238
46,52607,4700,1707.392433,1,100,44.793819427490234,0.002,0.5688658952713013,0.45101749897003174,0.002415216527879238
47,52608,4800,1710.818739,1,100,44.793819427490234,0.002,0.5688658952713013,0.45101746916770935,0.002415216527879238
48,52609,4900,1714.316049,1,100,44.793819427490234,0.002,0.5688658952713013,0.45101746916770935,0.002415216527879238
49,52610,5000,1717.828114,1,100,44.793819427490234,0.002,0.5688658356666565,0.4510173499584198,0.0024152167607098818
50,52611,5100,1721.217045,1,100,44.793819427490234,0.002,0.5688658356666565,0.4510173499584198,0.0024152162950485945
51,52612,5200,1724.48767,1,100,44.793819427490234,0.002,0.5688658356666565,0.4510173499584198,0.002415216527879238
52,52613,5300,1727.708818,1,100,44.793819427490234,0.002,0.5688658356666565,0.451017290353775,0.0024152162950485945
53,52614,5400,1730.897406,1,100,44.793819427490234,0.002,0.5688658356666565,0.451017290353775,0.0024152162950485945
54,52615,5500,1733.929256,1,100,44.793819427490234,0.002,0.5688658356666565,0.45101720094680786,0.0024152162950485945
55,52616,5600,1737.039819,1,100,44.793819427490234,0.002,0.5688657760620117,0.4510171413421631,0.002415216062217951
56,52617,5700,1740.132431,1,100,44.793819427490234,0.002,0.5688657760620117,0.4510171413421631,0.002415215829387307
57,52618,5800,1743.053109,1,100,44.793819427490234,0.002,0.5688658356666565,0.4510171413421631,0.0024152162950485945
58,52619,5900,1745.991665,1,100,44.793819427490234,0.002,0.5688657760620117,0.4510170817375183,0.002415216062217951
59,52620,6000,1749.057597,1,100,44.793819427490234,0.002,0.5688657760620117,0.45101702213287354,0.002415215829387307
60,52621,6100,1752.042707,1,100,44.793819427490234,0.002,0.5688657760620117,0.45101702213287354,0.002415215829387307
61,52622,6200,1755.123203,1,100,44.793819427490234,0.002,0.5688657760620117,0.45101696252822876,0.002415216062217951
62,52623,6300,1758.195559,1,100,44.793819427490234,0.002,0.5688657760620117,0.451016902923584,0.0024152155965566635
63,52624,6400,1761.191144,1,100,44.793819427490234,0.002,0.5688657760620117,0.4510168731212616,0.00241521536372602
64,52625,6500,1764.336934,1,100,44.793819427490234,0.002,0.5688657760620117,0.4510168135166168,0.002415215829387307
65,52626,6600,1767.443254,1,100,44.793819427490234,0.002,0.5688656568527222,0.4510168135166168,0.00241521536372602
66,52627,6700,1770.519224,1,100,44.793819427490234,0.002,0.5688657164573669,0.45101675391197205,0.002415215829387307
67,52628,6800,1773.676693,1,100,44.793819427490234,0.002,0.5688656568527222,0.45101672410964966,0.00241521536372602
68,52629,6900,1776.825586,1,100,44.79381561279297,0.002,0.5688656568527222,0.4510166645050049,0.002415215130895376
69,52630,7000,1779.987436,1,100,44.79381561279297,0.002,0.5688656568527222,0.4510166347026825,0.002415215130895376
70,52631,7100,1783.193615,1,100,44.793819427490234,0.002,0.5688655972480774,0.4510166347026825,0.002415215130895376
71,52632,7200,1786.438812,1,100,44.793819427490234,0.002,0.5688655972480774,0.4510165750980377,0.00241521536372602
72,52633,7300,1789.648752,1,100,44.7938232421875,0.002,0.5688655972480774,0.45101651549339294,0.002415215130895376
73,52634,7400,1792.931768,1,100,44.7938232421875,0.002,0.5688655972480774,0.45101645588874817,0.00241521536372602
74,52635,7500,1796.340385,1,100,44.7938232421875,0.002,0.5688655972480774,0.4510163962841034,0.002415215130895376
75,52636,7600,1799.69204,1,100,44.7938232421875,0.002,0.5688655376434326,0.4510163962841034,0.002415215130895376
76,52637,7700,1803.146228,1,100,44.793819427490234,0.002,0.5688655972480774,0.451016366481781,0.002415215130895376
77,52638,7800,1806.73687,1,100,44.7938232421875,0.002,0.5688654780387878,0.45101630687713623,0.0024152148980647326
78,52639,7900,1810.317625,1,100,44.7938232421875,0.002,0.5688654780387878,0.45101630687713623,0.0024152148980647326
79,52640,8000,1813.645817,1,100,44.7938232421875,0.002,0.5688654780387878,0.45101624727249146,0.0024152148980647326
80,52641,8100,1816.896926,1,100,44.793819427490234,0.002,0.5688654780387878,0.4510161876678467,0.0024152148980647326
81,52642,8200,1820.099027,1,100,44.793819427490234,0.002,0.5688654780387878,0.4510161876678467,0.0024152148980647326
82,52643,8300,1823.144571,1,100,44.793819427490234,0.002,0.5688654780387878,0.4510160982608795,0.0024152148980647326
83,52644,8400,1826.278597,1,100,44.793819427490234,0.002,0.5688653588294983,0.4510160982608795,0.0024152144324034452
84,52645,8500,1829.391237,1,100,44.793819427490234,0.002,0.5688653588294983,0.45101603865623474,0.002415214665234089
85,52646,8600,1832.315498,1,100,44.793819427490234,0.002,0.5688653588294983,0.45101603865623474,0.002415214665234089
86,52647,8700,1835.291299,1,100,44.793819427490234,0.002,0.5688653588294983,0.4510159492492676,0.002415214665234089
