k,cum_lower_iters,cum_ad_iters,cum_runtime,lower_iters,ad_iters,L,mu,upper_obj,lower_obj,norm_upper_grad
0,29998,100,919.616978,29998,100,44.79380798339844,0.002,0.5690273642539978,0.4510277509689331,0.0004750624066218734
1,29999,200,926.226709,1,100,44.79380798339844,0.002,0.5690273642539978,0.45102763175964355,0.0009501248714514077
2,30000,300,932.891075,1,100,44.7938117980957,0.002,0.5690273642539978,0.451027512550354,0.0014251881511881948
3,30001,400,939.611659,1,100,44.7938117980957,0.002,0.569027304649353,0.4510273039340973,0.0019002496264874935
4,30002,500,946.541464,1,100,44.7938117980957,0.002,0.5690272450447083,0.451026976108551,0.002375309355556965
5,30003,600,953.46487,1,100,44.79381561279297,0.002,0.5690271854400635,0.4510265588760376,0.0028503756038844585
6,30004,700,960.625801,1,100,44.79381561279297,0.002,0.5690271854400635,0.45102614164352417,0.003325434634461999
7,30005,800,967.617769,1,100,44.79381561279297,0.002,0.5690271854400635,0.4510255753993988,0.003800498554483056
8,30006,900,974.821662,1,100,44.79381561279297,0.002,0.5690271854400635,0.45102497935295105,0.004275556653738022
9,30007,1000,981.620855,1,100,44.79381561279297,0.002,0.5690271258354187,0.45102429389953613,0.004750615917146206
10,30008,1100,988.018842,1,100,44.793819427490234,0.002,0.5690270662307739,0.4510233998298645,0.005225683096796274
11,30009,1200,994.287187,1,100,44.79381561279297,0.002,0.5690270066261292,0.45102259516716003,0.005700749345123768
12,30010,1300,1000.567532,1,100,44.7938117980957,0.002,0.5690269470214844,0.45102164149284363,0.00617580208927393
13,30011,1400,1006.965775,1,100,44.7938117980957,0.002,0.5690269470214844,0.4510206878185272,0.0066508641466498375
14,30012,1500,1013.366275,1,100,44.79381561279297,0.002,0.5690268278121948,0.4510195851325989,0.007125945296138525
15,30013,1600,1019.852948,1,100,44.7938117980957,0.002,0.56902676820755,0.45101839303970337,0.007600987795740366
16,30014,1700,1026.462802,1,100,44.7938117980957,0.002,0.5690267086029053,0.4510171711444855,0.008076035417616367
17,30015,1800,1033.257075,1,100,44.793819427490234,0.002,0.5690266489982605,0.451015830039978,0.008551101200282574
18,30016,1900,1040.047001,1,100,44.79381561279297,0.002,0.5690265893936157,0.4510144293308258,0.009026162326335907
19,30017,2000,1046.793474,1,100,44.79381561279297,0.002,0.569026529788971,0.4510129392147064,0.009501215070486069
20,30018,2100,1053.50907,1,100,44.793819427490234,0.002,0.5690264701843262,0.45101138949394226,0.009976282715797424
21,30019,2200,1060.213872,1,100,44.793819427490234,0.002,0.5690262913703918,0.45100975036621094,0.010451345704495907
22,30020,2300,1067.127782,1,100,44.79381561279297,0.002,0.5690261721611023,0.45100802183151245,0.010926402173936367
23,30021,2400,1073.644818,1,100,44.7938117980957,0.002,0.5690261125564575,0.4510062038898468,0.011401466093957424
24,30022,2500,1080.120156,1,100,44.793819427490234,0.002,0.569025993347168,0.45100435614585876,0.011876520700752735
25,30023,2600,1086.75132,1,100,44.793819427490234,0.002,0.5690258741378784,0.45100244879722595,0.012351562269032001
26,30024,2700,1093.555454,1,100,44.793819427490234,0.002,0.5690256953239441,0.4510003328323364,0.012826628051698208
27,30025,2800,1100.281524,1,100,44.79381561279297,0.002,0.5690255761146545,0.45099830627441406,0.0133016686886549
28,30026,2900,1106.813842,1,100,44.79381561279297,0.002,0.569025456905365,0.45099613070487976,0.013776718638837337
29,30027,3000,1113.084091,1,100,44.793819427490234,0.002,0.5690253376960754,0.4509938955307007,0.014251798391342163
30,30028,3100,1119.247674,1,100,44.793819427490234,0.002,0.5690250992774963,0.45099154114723206,0.014726823195815086
31,30029,3200,1125.608202,1,100,44.793819427490234,0.002,0.5690249800682068,0.4509890675544739,0.015201875939965248
32,30030,3300,1132.056365,1,100,44.7938117980957,0.002,0.5690247416496277,0.4509866535663605,0.01567695289850235
33,30032,3400,1138.53789,2,100,44.793819427490234,0.002,0.5690243244171143,0.4509841203689575,0.01615193486213684
34,30035,3500,1145.21398,3,100,44.793819427490234,0.002,0.569023847579956,0.4509814977645874,0.016626989468932152
35,30037,3600,1151.985444,2,100,44.79381561279297,0.002,0.5690233111381531,0.4509787857532501,0.017102042213082314
36,30040,3700,1158.980096,3,100,44.793819427490234,0.002,0.5690227746963501,0.4509759545326233,0.01757705584168434
37,30043,3800,1165.961379,3,100,44.793819427490234,0.002,0.5690221786499023,0.4509730637073517,0.01805211417376995
38,30046,3900,1173.182461,3,100,44.793819427490234,0.002,0.569021463394165,0.4509701132774353,0.018527129665017128
39,30050,4000,1179.981787,4,100,44.793819427490234,0.002,0.5690204501152039,0.45096713304519653,0.019002174958586693
40,30053,4100,1187.053268,3,100,44.793819427490234,0.002,0.5690198540687561,0.4509640038013458,0.019477201625704765
41,30057,4200,1194.071605,4,100,44.793819427490234,0.002,0.5690188407897949,0.45096075534820557,0.01995219849050045
42,30061,4300,1201.007045,4,100,44.793819427490234,0.002,0.5690178871154785,0.4509575068950653,0.020427212119102478
43,30065,4400,1207.903452,4,100,44.7938232421875,0.002,0.5690168142318726,0.4509541690349579,0.020902233198285103
