k,cum_lower_iters,cum_ad_iters,cum_runtime,lower_iters,ad_iters,L,mu,upper_obj,lower_obj,norm_upper_grad
0,523,1000,85.840682,523,1000,44.79380798339844,0.002,0.5688375234603882,0.4510197043418884,0.0017946382286027074
1,524,2000,152.029395,1,1000,44.79380798339844,0.002,0.5688375234603882,0.45101961493492126,0.0035892759915441275
2,525,3000,219.672343,1,1000,44.7938117980957,0.002,0.568837583065033,0.4510195851325989,0.005383912939578295
3,526,4000,287.904514,1,1000,44.7938117980957,0.002,0.5688376426696777,0.45101943612098694,0.007178553845733404
4,527,5000,355.26453,1,1000,44.7938117980957,0.002,0.5688377022743225,0.4510193169116974,0.008973176591098309
5,528,6000,423.767856,1,1000,44.7938117980957,0.002,0.5688378214836121,0.45101916790008545,0.01076782587915659
6,529,7000,491.054117,1,1000,44.79381561279297,0.002,0.5688378214836121,0.45101895928382874,0.012562450021505356
7,530,8000,556.518946,1,1000,44.7938117980957,0.002,0.5688378214836121,0.45101866126060486,0.014357093721628189
8,531,9000,623.763766,1,1000,44.79381561279297,0.002,0.5688378810882568,0.45101848244667053,0.016151703894138336
9,532,10000,693.220535,1,1000,44.79381561279297,0.002,0.5688379406929016,0.4510181248188019,0.01794634573161602
10,533,11000,759.882025,1,1000,44.79381561279297,0.002,0.5688380002975464,0.4510178565979004,0.019740983843803406
11,534,12000,828.892027,1,1000,44.79381561279297,0.002,0.5688380002975464,0.45101749897003174,0.021535631269216537
12,535,13000,894.281462,1,1000,44.7938117980957,0.002,0.5688380599021912,0.4510171413421631,0.023330263793468475
13,536,14000,960.466763,1,1000,44.79381561279297,0.002,0.5688380599021912,0.4510166347026825,0.02512488327920437
14,537,15000,1028.790993,1,1000,44.79381561279297,0.002,0.5688381195068359,0.45101624727249146,0.026919526979327202
15,538,16000,1096.860003,1,1000,44.793819427490234,0.002,0.5688381195068359,0.45101580023765564,0.02871415764093399
16,539,17000,1163.896427,1,1000,44.793819427490234,0.002,0.5688380599021912,0.45101526379585266,0.030508803203701973
17,540,18000,1228.937627,1,1000,44.793819427490234,0.002,0.5688381195068359,0.4510147273540497,0.03230339661240578
18,541,19000,1297.467438,1,1000,44.79381561279297,0.002,0.5688381791114807,0.4510141611099243,0.03409799188375473
19,542,20000,1364.901099,1,1000,44.79381561279297,0.002,0.5688382387161255,0.4510135352611542,0.03589269518852234
20,543,21000,1431.079211,1,1000,44.793819427490234,0.002,0.5688381791114807,0.45101287961006165,0.037687309086322784
21,544,22000,1498.121793,1,1000,44.793819427490234,0.002,0.5688382387161255,0.45101219415664673,0.039481911808252335
22,545,23000,1567.432951,1,1000,44.793819427490234,0.002,0.5688381791114807,0.4510115087032318,0.04127661511301994
23,546,24000,1632.596704,1,1000,44.793819427490234,0.002,0.5688382983207703,0.4510108232498169,0.043071214109659195
24,547,25000,1702.279155,1,1000,44.793819427490234,0.002,0.5688381791114807,0.4510100781917572,0.044865932315588
25,548,26000,1768.001393,1,1000,44.793819427490234,0.002,0.5688382387161255,0.45100927352905273,0.04666051268577576
26,549,27000,1838.809343,1,1000,44.793819427490234,0.002,0.5688382387161255,0.4510084390640259,0.04845511540770531
27,550,28000,1906.343741,1,1000,44.793819427490234,0.002,0.5688381791114807,0.45100751519203186,0.050249744206666946
28,551,29000,1974.090183,1,1000,44.793819427490234,0.002,0.5688380599021912,0.4510066509246826,0.05204443633556366
29,552,30000,2040.274473,1,1000,44.793819427490234,0.002,0.5688381195068359,0.451005756855011,0.05383903160691261
30,553,31000,2107.645119,1,1000,44.7938232421875,0.002,0.5688380599021912,0.4510047733783722,0.05563357472419739
31,554,32000,2176.434319,1,1000,44.793819427490234,0.002,0.5688380002975464,0.4510037899017334,0.05742823705077171
32,555,33000,2243.125729,1,1000,44.793819427490234,0.002,0.5688380002975464,0.45100274682044983,0.05922279134392738
33,556,34000,2310.960404,1,1000,44.793819427490234,0.002,0.5688378810882568,0.45100170373916626,0.06101749464869499
34,557,35000,2378.350118,1,1000,44.7938232421875,0.002,0.5688378810882568,0.4510006010532379,0.06281211972236633
35,558,36000,2443.76158,1,1000,44.793827056884766,0.002,0.5688378214836121,0.45099952816963196,0.06460671871900558
36,559,37000,2513.132717,1,1000,44.7938232421875,0.002,0.5688378214836121,0.45099833607673645,0.06640135496854782
37,560,38000,2579.907009,1,1000,44.79383087158203,0.002,0.5688376426696777,0.45099714398384094,0.06819591671228409
38,561,39000,2649.032506,1,1000,44.7938232421875,0.002,0.568837583065033,0.4509959816932678,0.0699906200170517
39,562,40000,2716.346335,1,1000,44.79383087158203,0.002,0.5688375234603882,0.45099470019340515,0.07178517431020737
40,563,41000,2782.636688,1,1000,44.7938232421875,0.002,0.5688373446464539,0.4509933888912201,0.07357987016439438
41,564,42000,2849.475997,1,1000,44.793827056884766,0.002,0.5688372850418091,0.45099207758903503,0.0753745287656784
42,565,43000,2917.101986,1,1000,44.793827056884766,0.002,0.5688371658325195,0.4509907364845276,0.07716905325651169
43,566,44000,2983.613527,1,1000,44.793827056884766,0.002,0.5688369870185852,0.45098933577537537,0.07896362245082855
44,567,45000,3050.416751,1,1000,44.79383087158203,0.002,0.5688369274139404,0.45098793506622314,0.0807582437992096
45,568,46000,3120.386033,1,1000,44.7938346862793,0.002,0.5688367486000061,0.45098650455474854,0.082552969455719
46,569,47000,3187.099341,1,1000,44.79383087158203,0.002,0.5688366293907166,0.4509850740432739,0.08434762060642242
47,570,48000,3254.582847,1,1000,44.79383087158203,0.002,0.5688364505767822,0.45098361372947693,0.0861421748995781
48,571,49000,3320.318943,1,1000,44.7938346862793,0.002,0.5688362717628479,0.45098206400871277,0.08793676644563675
49,572,50000,3386.895769,1,1000,44.7938346862793,0.002,0.5688361525535583,0.4509804844856262,0.08973150700330734
50,573,51000,3453.872505,1,1000,44.79383850097656,0.002,0.5688360333442688,0.45097893476486206,0.09152599424123764
51,574,52000,3522.149944,1,1000,44.7938346862793,0.002,0.5688357353210449,0.45097726583480835,0.09332066029310226
52,575,53000,3587.186175,1,1000,44.7938346862793,0.002,0.5688356161117554,0.450975626707077,0.09511534869670868
53,576,54000,3655.809396,1,1000,44.7938346862793,0.002,0.568835437297821,0.45097389817237854,0.09690993279218674
54,577,55000,3723.353471,1,1000,44.7938346862793,0.002,0.5688352584838867,0.45097219944000244,0.09870434552431107
55,578,56000,3789.951402,1,1000,44.7938346862793,0.002,0.5688350200653076,0.45097044110298157,0.10049911588430405
56,579,57000,3855.117521,1,1000,44.79383850097656,0.002,0.5688347816467285,0.4509686231613159,0.10229368507862091
57,580,58000,3923.791257,1,1000,44.79384231567383,0.002,0.5688345432281494,0.45096680521965027,0.10408833622932434
58,581,59000,3990.671929,1,1000,44.79384231567383,0.002,0.5688343048095703,0.4509649872779846,0.1058826819062233
59,582,60000,4058.78764,1,1000,44.793846130371094,0.002,0.5688340663909912,0.4509630799293518,0.10767737030982971
60,583,61000,4125.286516,1,1000,44.79384994506836,0.002,0.5688337683677673,0.450961172580719,0.10947208851575851
61,584,62000,4193.731529,1,1000,44.79384994506836,0.002,0.5688334703445435,0.450959175825119,0.11126648634672165
62,585,63000,4259.770424,1,1000,44.793846130371094,0.002,0.5688332915306091,0.4509572386741638,0.11306118965148926
63,586,64000,4327.648985,1,1000,44.79384994506836,0.002,0.5688329339027405,0.45095518231391907,0.11485572159290314
64,587,65000,4393.151153,1,1000,44.793853759765625,0.002,0.5688326358795166,0.4509531259536743,0.11665035039186478
65,588,66000,4460.496768,1,1000,44.793853759765625,0.002,0.5688323974609375,0.45095106959342957,0.11844499409198761
66,589,67000,4529.44222,1,1000,44.793853759765625,0.002,0.5688320994377136,0.4509490132331848,0.12023957073688507
67,590,68000,4596.596513,1,1000,44.793853759765625,0.002,0.5688316226005554,0.4509468674659729,0.12203416973352432
68,591,69000,4662.074907,1,1000,44.793853759765625,0.002,0.5688313841819763,0.4509446620941162,0.1238286942243576
69,592,70000,4729.211173,1,1000,44.793853759765625,0.002,0.5688310265541077,0.4509424567222595,0.12562333047389984
70,593,71000,4796.787982,1,1000,44.79385757446289,0.002,0.568830668926239,0.45094025135040283,0.12741786241531372
71,594,72000,4864.129668,1,1000,44.793853759765625,0.002,0.5688302516937256,0.45093798637390137,0.1292124092578888
72,595,73000,4931.809051,1,1000,44.79385757446289,0.002,0.5688299536705017,0.4509356617927551,0.13100703060626984
73,596,74000,4997.330089,1,1000,44.793861389160156,0.002,0.5688295364379883,0.4509333372116089,0.13280166685581207
74,597,75000,5064.652324,1,1000,44.793861389160156,0.002,0.5688291192054749,0.45093101263046265,0.13459612429141998
75,598,76000,5131.86214,1,1000,44.793861389160156,0.002,0.5688287615776062,0.45092856884002686,0.13639046251773834
76,599,77000,5198.743727,1,1000,44.793861389160156,0.002,0.5688282251358032,0.45092612504959106,0.13818517327308655
77,600,78000,5264.05729,1,1000,44.79386520385742,0.002,0.5688278675079346,0.4509236812591553,0.13997989892959595
78,601,79000,5331.402577,1,1000,44.793861389160156,0.002,0.5688273310661316,0.4509212374687195,0.14177419245243073
79,602,80000,5398.060003,1,1000,44.79386901855469,0.002,0.5688269734382629,0.45091870427131653,0.14356891810894012
80,603,81000,5466.286481,1,1000,44.79386901855469,0.002,0.56882643699646,0.4509161114692688,0.14536361396312714
81,604,82000,5533.127794,1,1000,44.79386901855469,0.002,0.5688259601593018,0.45091354846954346,0.14715822041034698
