k,cum_lower_iters,cum_ad_iters,cum_runtime,lower_iters,ad_iters,L,mu,upper_obj,lower_obj,norm_upper_grad
0,523,1000,82.457811,523,1000,44.79380798339844,0.002,0.5688375234603882,0.4510197043418884,0.002415308728814125
1,524,2000,148.735459,1,1000,44.7938117980957,0.002,0.568837583065033,0.451019287109375,0.0048306165263056755
2,525,3000,214.598259,1,1000,44.79381561279297,0.002,0.568837583065033,0.4510185122489929,0.007245930377393961
3,526,4000,282.539542,1,1000,44.793819427490234,0.002,0.5688376426696777,0.451017290353775,0.009661220014095306
4,527,5000,347.513173,1,1000,44.793819427490234,0.002,0.5688376426696777,0.4510157108306885,0.012076528742909431
5,528,6000,414.013513,1,1000,44.7938232421875,0.002,0.5688377022743225,0.4510137438774109,0.014491824433207512
6,529,7000,481.064893,1,1000,44.7938346862793,0.002,0.5688377022743225,0.4510113298892975,0.016907094046473503
7,530,8000,546.549352,1,1000,44.79383850097656,0.002,0.5688377022743225,0.4510086178779602,0.01932237669825554
8,531,9000,614.262745,1,1000,44.79384994506836,0.002,0.5688377022743225,0.4510054886341095,0.021737661212682724
9,532,10000,679.234377,1,1000,44.793853759765625,0.002,0.5688375234603882,0.4510018825531006,0.024152958765625954
10,533,11000,746.895325,1,1000,44.79386520385742,0.002,0.5688375234603882,0.4509980082511902,0.026568196713924408
11,534,12000,812.447765,1,1000,44.79387664794922,0.002,0.5688372850418091,0.45099371671676636,0.02898348681628704
12,535,13000,880.137761,1,1000,44.793888092041016,0.002,0.5688372850418091,0.4509890377521515,0.031398724764585495
13,536,14000,945.772059,1,1000,44.79390335083008,0.002,0.5688371062278748,0.4509839117527008,0.03381393104791641
14,537,15000,1011.432847,1,1000,44.79391098022461,0.002,0.5688368082046509,0.45097845792770386,0.036229208111763
15,538,16000,1076.76829,1,1000,44.79393005371094,0.002,0.5688366293907166,0.4509725570678711,0.03864442929625511
16,539,17000,1144.476552,1,1000,44.793949127197266,0.002,0.5688364505767822,0.4509662687778473,0.04105962812900543
17,540,18000,1208.281304,1,1000,44.7939567565918,0.002,0.5688360929489136,0.45095962285995483,0.04347486421465874
18,541,19000,1276.96408,1,1000,44.793975830078125,0.002,0.5688356757164001,0.45095252990722656,0.04589003324508667
19,542,20000,1344.01617,1,1000,44.79399108886719,0.002,0.568835437297821,0.45094507932662964,0.048305343836545944
20,543,21000,1409.706442,1,1000,44.79401779174805,0.002,0.5688348412513733,0.45093727111816406,0.05072047561407089
21,544,22000,1476.923809,1,1000,44.79403305053711,0.002,0.5688344836235046,0.4509289860725403,0.053135596215724945
22,545,23000,1544.303719,1,1000,44.7940559387207,0.002,0.5688340067863464,0.45092034339904785,0.05555083975195885
23,546,24000,1611.182647,1,1000,44.7940788269043,0.002,0.5688333511352539,0.45091140270233154,0.05796600505709648
24,547,25000,1676.949877,1,1000,44.79410171508789,0.002,0.5688326954841614,0.45090195536613464,0.06038110330700874
25,548,26000,1743.874881,1,1000,44.79412841796875,0.002,0.5688320398330688,0.4508920907974243,0.06279624998569489
26,549,27000,1807.614051,1,1000,44.794151306152344,0.002,0.5688312649726868,0.4508819580078125,0.0652114674448967
27,550,28000,1877.634737,1,1000,44.7941780090332,0.002,0.5688305497169495,0.4508713483810425,0.06762640178203583
28,551,29000,1944.106886,1,1000,44.7942008972168,0.002,0.5688297152519226,0.4508603513240814,0.07004161179065704
29,552,30000,2009.271999,1,1000,44.79423141479492,0.002,0.5688287615776062,0.4508489966392517,0.07245665788650513
30,553,31000,2077.411597,1,1000,44.794254302978516,0.002,0.568827748298645,0.4508371651172638,0.07487180083990097
31,554,32000,2142.188661,1,1000,44.79429244995117,0.002,0.5688267350196838,0.4508250951766968,0.0772867500782013
32,555,33000,2212.345799,1,1000,44.79431915283203,0.002,0.5688256621360779,0.45081254839897156,0.07970178872346878
33,556,34000,2277.961341,1,1000,44.79435348510742,0.002,0.5688245296478271,0.4507995843887329,0.08211669325828552
34,557,35000,2344.704107,1,1000,44.79438781738281,0.002,0.5688232183456421,0.4507862329483032,0.08453191816806793
35,558,36000,2412.67041,1,1000,44.79441833496094,0.002,0.568821907043457,0.4507724940776825,0.0869467705488205
36,559,37000,2479.785316,1,1000,44.794456481933594,0.002,0.5688205361366272,0.45075833797454834,0.08936179429292679
37,560,38000,2546.924929,1,1000,44.794490814208984,0.002,0.5688190460205078,0.4507438540458679,0.09177663922309875
38,561,39000,2612.677363,1,1000,44.794525146484375,0.002,0.5688174962997437,0.4507289528846741,0.09419167786836624
39,562,40000,2680.292428,1,1000,44.79456329345703,0.002,0.5688158273696899,0.4507136642932892,0.09660661965608597
40,563,41000,2747.185187,1,1000,44.79460144042969,0.002,0.568814218044281,0.45069795846939087,0.09902141243219376
41,564,42000,2813.706862,1,1000,44.79463577270508,0.002,0.5688124299049377,0.4506818652153015,0.10143636912107468
42,565,43000,2879.631726,1,1000,44.794681549072266,0.002,0.5688105225563049,0.4506654441356659,0.10385115444660187
43,566,44000,2947.452098,1,1000,44.79472732543945,0.002,0.5688086152076721,0.45064857602119446,0.10626605898141861
44,567,45000,3013.408766,1,1000,44.79476547241211,0.002,0.568806529045105,0.4506312906742096,0.10868088901042938
45,568,46000,3079.817121,1,1000,44.794803619384766,0.002,0.5688045024871826,0.45061367750167847,0.11109555512666702
46,570,47000,3147.691657,2,1000,44.79484939575195,0.002,0.5687978267669678,0.4505956172943115,0.11351031064987183
47,572,48000,3213.245302,2,1000,44.794898986816406,0.002,0.5687911510467529,0.45057713985443115,0.11592503637075424
48,575,49000,3282.781462,3,1000,44.794944763183594,0.002,0.5687776207923889,0.45055830478668213,0.11833974719047546
49,578,50000,3349.482451,3,1000,44.79499053955078,0.002,0.5687642097473145,0.4505390524864197,0.12075424194335938
50,581,51000,3415.387225,3,1000,44.79503631591797,0.002,0.5687505602836609,0.4505193829536438,0.12316903471946716
51,584,52000,3484.083398,3,1000,44.79508972167969,0.002,0.5687367916107178,0.45049938559532166,0.12558339536190033
52,587,53000,3549.681689,3,1000,44.795135498046875,0.002,0.5687229037284851,0.4504789710044861,0.12799830734729767
53,590,54000,3616.400377,3,1000,44.79518508911133,0.002,0.5687087774276733,0.4504581689834595,0.13041256368160248
54,593,55000,3685.267493,3,1000,44.79523849487305,0.002,0.5686944127082825,0.45043689012527466,0.13282723724842072
55,596,56000,3750.637916,3,1000,44.7952880859375,0.002,0.5686798095703125,0.45041534304618835,0.13524135947227478
56,600,57000,3816.835364,4,1000,44.79534149169922,0.002,0.5686554312705994,0.4503933787345886,0.1376558095216751
57,603,58000,3884.839411,3,1000,44.795406341552734,0.002,0.5686406493186951,0.4503709077835083,0.14007000625133514
58,607,59000,3950.752114,4,1000,44.79545593261719,0.002,0.5686159133911133,0.4503481388092041,0.14248447120189667
59,610,60000,4019.314952,3,1000,44.79551315307617,0.002,0.5686009526252747,0.45032498240470886,0.14489836990833282
60,614,61000,4083.119913,4,1000,44.795570373535156,0.002,0.5685756206512451,0.4503013491630554,0.14731265604496002
61,617,62000,4150.454667,3,1000,44.795631408691406,0.002,0.5685602426528931,0.4502774477005005,0.14972685277462006
62,621,63000,4217.909821,4,1000,44.795692443847656,0.002,0.5685344338417053,0.45025306940078735,0.15214073657989502
63,625,64000,4283.913103,4,1000,44.79574966430664,0.002,0.5685086250305176,0.4502282738685608,0.15455469489097595
