k,cum_lower_iters,cum_ad_iters,cum_runtime,lower_iters,ad_iters,L,mu,upper_obj,lower_obj,norm_upper_grad
0,523,405,26.301208,523,405,44.79380798339844,0.002,0.5688375234603882,0.4510197043418884,
1,524,405,26.423629,1,0,,0.002,,,
2,525,405,26.548523,1,0,,0.002,,,
3,526,405,26.680229,1,0,,0.002,,,
4,527,405,26.796617,1,0,,0.002,,,
5,528,405,26.913996,1,0,,0.002,,,
6,529,405,27.033083,1,0,,0.002,,,
7,530,405,27.159853,1,0,,0.002,,,
8,531,405,27.272313,1,0,,0.002,,,
9,532,405,27.399536,1,0,,0.002,,,
10,533,405,27.518611,1,0,,0.002,,,
11,534,405,27.639254,1,0,,0.002,,,
12,535,405,27.756788,1,0,,0.002,,,
13,536,405,27.868693,1,0,,0.002,,,
14,537,405,27.992188,1,0,,0.002,,,
15,538,405,28.108109,1,0,,0.002,,,
16,539,405,28.227914,1,0,,0.002,,,
17,540,405,28.357746,1,0,,0.002,,,
18,541,405,28.468639,1,0,,0.002,,,
19,542,405,28.594259,1,0,,0.002,,,
20,543,405,28.712265,1,0,,0.002,,,
21,544,405,28.836048,1,0,,0.002,,,
22,545,405,28.95862,1,0,,0.002,,,
23,546,405,29.072699,1,0,,0.002,,,
24,547,405,29.19388,1,0,,0.002,,,
25,548,405,29.323194,1,0,,0.002,,,
26,549,405,29.451076,1,0,,0.002,,,
27,550,405,29.571167,1,0,,0.002,,,
28,551,405,29.700318,1,0,,0.002,,,
29,552,405,29.834274,1,0,,0.002,,,
30,553,405,29.940802,1,0,,0.002,,,
31,554,405,30.047019,1,0,,0.002,,,
32,555,405,30.149919,1,0,,0.002,,,
33,556,405,30.28531,1,0,,0.002,,,
34,557,405,30.414043,1,0,,0.002,,,
35,558,405,30.535727,1,0,,0.002,,,
36,559,405,30.661263,1,0,,0.002,,,
37,560,405,30.776493,1,0,,0.002,,,
38,561,405,30.897333,1,0,,0.002,,,
39,562,405,31.026167,1,0,,0.002,,,
40,563,405,31.154385,1,0,,0.002,,,
41,564,405,31.277589,1,0,,0.002,,,
42,565,405,31.39804,1,0,,0.002,,,
43,566,405,31.516436,1,0,,0.002,,,
44,567,405,31.64111,1,0,,0.002,,,
45,568,405,31.772253,1,0,,0.002,,,
46,569,405,31.900503,1,0,,0.002,,,
47,570,405,32.02599,1,0,,0.002,,,
48,571,405,32.140597,1,0,,0.002,,,
49,572,405,32.246034,1,0,,0.002,,,
50,573,405,32.360926,1,0,,0.002,,,
51,574,405,32.479752,1,0,,0.002,,,
52,575,405,32.595632,1,0,,0.002,,,
53,576,405,32.720863,1,0,,0.002,,,
54,577,405,32.831967,1,0,,0.002,,,
55,578,405,32.962156,1,0,,0.002,,,
56,579,405,33.083872,1,0,,0.002,,,
57,580,405,33.207382,1,0,,0.002,,,
58,581,405,33.333417,1,0,,0.002,,,
59,582,405,33.458536,1,0,,0.002,,,
60,583,405,33.567522,1,0,,0.002,,,
61,584,405,33.699101,1,0,,0.002,,,
62,585,405,33.817535,1,0,,0.002,,,
63,586,405,33.938715,1,0,,0.002,,,
64,587,405,34.058969,1,0,,0.002,,,
65,588,405,34.17318,1,0,,0.002,,,
66,589,405,34.304526,1,0,,0.002,,,
67,590,405,34.426247,1,0,,0.002,,,
68,591,405,34.560593,1,0,,0.002,,,
69,592,405,34.684993,1,0,,0.002,,,
70,593,405,34.809214,1,0,,0.002,,,
71,594,405,34.933326,1,0,,0.002,,,
72,595,405,35.05217,1,0,,0.002,,,
73,596,405,35.179741,1,0,,0.002,,,
74,597,405,35.313782,1,0,,0.002,,,
75,598,405,35.438967,1,0,,0.002,,,
76,599,405,35.561009,1,0,,0.002,,,
77,600,405,35.683365,1,0,,0.002,,,
78,601,405,35.804567,1,0,,0.002,,,
79,602,405,35.931845,1,0,,0.002,,,
80,603,405,36.047791,1,0,,0.002,,,
81,604,405,36.174477,1,0,,0.002,,,
82,605,405,36.297128,1,0,,0.002,,,
83,606,405,36.405091,1,0,,0.002,,,
84,607,405,36.528304,1,0,,0.002,,,
85,608,405,36.661007,1,0,,0.002,,,
86,609,405,36.784025,1,0,,0.002,,,
87,610,405,36.910166,1,0,,0.002,,,
88,611,405,37.040482,1,0,,0.002,,,
89,612,405,37.169253,1,0,,0.002,,,
90,613,405,37.293848,1,0,,0.002,,,
91,614,405,37.417296,1,0,,0.002,,,
92,615,405,37.535226,1,0,,0.002,,,
93,616,405,37.652679,1,0,,0.002,,,
94,617,405,37.771396,1,0,,0.002,,,
95,618,405,37.898003,1,0,,0.002,,,
96,619,405,38.014054,1,0,,0.002,,,
97,620,405,38.138436,1,0,,0.002,,,
98,621,405,38.269933,1,0,,0.002,,,
99,622,405,38.387843,1,0,,0.002,,,
100,623,405,38.511427,1,0,,0.002,,,
101,624,405,38.62965,1,0,,0.002,,,
102,625,405,38.75525,1,0,,0.002,,,
103,626,405,38.882374,1,0,,0.002,,,
104,627,405,39.005939,1,0,,0.002,,,
105,628,405,39.126349,1,0,,0.002,,,
106,629,405,39.253674,1,0,,0.002,,,
107,630,405,39.383774,1,0,,0.002,,,
108,631,405,39.509141,1,0,,0.002,,,
109,632,405,39.630054,1,0,,0.002,,,
110,633,405,39.752649,1,0,,0.002,,,
111,634,405,39.880504,1,0,,0.002,,,
112,635,405,40.013067,1,0,,0.002,,,
113,636,405,40.126619,1,0,,0.002,,,
114,637,405,40.24655,1,0,,0.002,,,
115,638,405,40.377331,1,0,,0.002,,,
116,639,405,40.491332,1,0,,0.002,,,
117,640,405,40.615242,1,0,,0.002,,,
118,641,405,40.735824,1,0,,0.002,,,
119,642,405,40.870101,1,0,,0.002,,,
120,643,405,40.986368,1,0,,0.002,,,
