k,cum_lower_iters,cum_ad_iters,cum_runtime,lower_iters,ad_iters,L,mu,upper_obj,lower_obj,norm_upper_grad
0,1147,100,35.253641,1147,100,44.79380798339844,0.002,0.56885826587677,0.4510193169116974,0.002415179507806897
1,1148,200,38.202831,1,100,44.7938117980957,0.002,0.56885826587677,0.4510189890861511,0.00241517904214561
2,1149,300,41.216446,1,100,44.79381561279297,0.002,0.56885826587677,0.4510185718536377,0.002415178343653679
3,1150,400,44.219347,1,100,44.79381561279297,0.002,0.56885826587677,0.45101818442344666,0.0024151778779923916
4,1151,500,47.312554,1,100,44.793819427490234,0.002,0.56885826587677,0.4510177969932556,0.0024151771795004606
5,1152,600,50.274537,1,100,44.793819427490234,0.002,0.56885826587677,0.45101743936538696,0.0024151767138391733
6,1156,700,53.359399,4,100,44.793819427490234,0.002,0.56885826587677,0.45101702213287354,0.002415176248177886
7,1160,800,56.447787,4,100,44.793819427490234,0.002,0.5688581466674805,0.4510166049003601,0.002415175549685955
8,1164,900,59.504845,4,100,44.793819427490234,0.002,0.5688580870628357,0.4510161876678467,0.0024151753168553114
9,1168,1000,62.555383,4,100,44.793819427490234,0.002,0.5688580274581909,0.451015830039978,0.0024151750840246677
10,1173,1100,65.652341,5,100,44.793819427490234,0.002,0.5688580274581909,0.451015442609787,0.0024151746183633804
11,1177,1200,68.711999,4,100,44.7938232421875,0.002,0.5688580274581909,0.45101502537727356,0.002415173454210162
12,1182,1300,71.843568,5,100,44.7938232421875,0.002,0.5688579082489014,0.4510146379470825,0.002415173454210162
13,1187,1400,75.034265,5,100,44.7938232421875,0.002,0.5688578486442566,0.4510142505168915,0.0024151725228875875
14,1191,1500,78.139708,4,100,44.793827056884766,0.002,0.5688577890396118,0.45101386308670044,0.002415172290056944
15,1196,1600,81.236812,5,100,44.7938232421875,0.002,0.568857729434967,0.451013445854187,0.0024151720572263002
16,1202,1700,84.546486,6,100,44.793827056884766,0.002,0.5688575506210327,0.45101305842399597,0.002415170893073082
17,1207,1800,87.665189,5,100,44.79383087158203,0.002,0.5688574910163879,0.45101267099380493,0.0024151711259037256
18,1212,1900,90.7606,5,100,44.79383087158203,0.002,0.5688574314117432,0.4510122835636139,0.0024151706602424383
19,1217,2000,93.873232,5,100,44.79383087158203,0.002,0.5688572525978088,0.4510118365287781,0.0024151699617505074
20,1223,2100,96.988204,6,100,44.7938346862793,0.002,0.5688571929931641,0.45101144909858704,0.0024151697289198637
21,1228,2200,100.105421,5,100,44.7938346862793,0.002,0.5688570737838745,0.4510110914707184,0.0024151692632585764
22,1234,2300,103.251186,6,100,44.7938346862793,0.002,0.568856954574585,0.4510107934474945,0.0024151685647666454
23,1240,2400,106.394281,6,100,44.7938346862793,0.002,0.5688568353652954,0.4510103464126587,0.002415168797597289
24,1246,2500,109.512173,6,100,44.7938346862793,0.002,0.5688567757606506,0.4510098993778229,0.002415167633444071
25,1251,2600,112.56796,5,100,44.79383850097656,0.002,0.5688566565513611,0.451009601354599,0.0024151671677827835
26,1257,2700,115.712382,6,100,44.79383850097656,0.002,0.5688564777374268,0.4510091543197632,0.00241516693495214
27,1263,2800,118.855845,6,100,44.79383850097656,0.002,0.5688563585281372,0.45100876688957214,0.0024151664692908525
28,1269,2900,121.974667,6,100,44.79383850097656,0.002,0.5688561797142029,0.4510083496570587,0.0024151653051376343
29,1276,3000,125.1281,7,100,44.79384231567383,0.002,0.5688560009002686,0.4510079622268677,0.0024151646066457033
30,1282,3100,128.27708,6,100,44.79384231567383,0.002,0.568855881690979,0.45100757479667664,0.002415164140984416
31,1288,3200,131.387598,6,100,44.79383850097656,0.002,0.5688557028770447,0.4510071277618408,0.0024151636753231287
32,1294,3300,134.596815,6,100,44.79384231567383,0.002,0.5688555240631104,0.45100677013397217,0.0024151632096618414
33,1301,3400,137.742096,7,100,44.79384994506836,0.002,0.5688554048538208,0.4510064423084259,0.002415162744000554
34,1307,3500,140.903295,6,100,44.79384994506836,0.002,0.5688551664352417,0.45100605487823486,0.0024151618126779795
35,1314,3600,144.052559,7,100,44.79384994506836,0.002,0.5688550472259521,0.45100557804107666,0.0024151618126779795
36,1320,3700,147.129803,6,100,44.79384994506836,0.002,0.5688548684120178,0.451005220413208,0.002415160881355405
37,1327,3800,150.29971,7,100,44.793846130371094,0.002,0.5688546895980835,0.45100483298301697,0.002415160182863474
38,1333,3900,153.57187,6,100,44.79384994506836,0.002,0.568854570388794,0.4510044455528259,0.002415160182863474
39,1340,4000,156.704253,7,100,44.79384994506836,0.002,0.5688542723655701,0.4510040879249573,0.002415158785879612
40,1346,4100,159.8292,6,100,44.79384994506836,0.002,0.5688540935516357,0.45100364089012146,0.002415158785879612
41,1353,4200,162.966328,7,100,44.79384994506836,0.002,0.5688538551330566,0.4510032534599304,0.0024151576217263937
42,1360,4300,166.108785,7,100,44.793853759765625,0.002,0.5688536763191223,0.451002836227417,0.002415156690403819
43,1366,4400,169.268795,6,100,44.793853759765625,0.002,0.568853497505188,0.4510025084018707,0.0024151562247425318
44,1373,4500,172.426063,7,100,44.793853759765625,0.002,0.5688533186912537,0.4510020613670349,0.0024151557590812445
45,1380,4600,175.64816,7,100,44.793853759765625,0.002,0.5688530206680298,0.45100170373916626,0.002415155293419957
46,1386,4700,178.742634,6,100,44.793853759765625,0.002,0.5688529014587402,0.45100128650665283,0.002415155526250601
47,1393,4800,181.891205,7,100,44.793853759765625,0.002,0.5688526630401611,0.451000839471817,0.0024151543620973825
48,1400,4900,185.035147,7,100,44.79385757446289,0.002,0.5688523650169373,0.45100054144859314,0.0024151536636054516
49,1407,5000,188.179444,7,100,44.79385757446289,0.002,0.5688521265983582,0.4510000944137573,0.002415153430774808
50,1413,5100,191.315423,6,100,44.793861389160156,0.002,0.5688518285751343,0.45099973678588867,0.002415152732282877
51,1420,5200,194.546399,7,100,44.79386520385742,0.002,0.5688517093658447,0.45099934935569763,0.0024151524994522333
52,1427,5300,197.724564,7,100,44.79386520385742,0.002,0.5688514113426208,0.4509989023208618,0.0024151518009603024
53,1434,5400,200.867532,7,100,44.793861389160156,0.002,0.5688512921333313,0.45099854469299316,0.0024151515681296587
54,1441,5500,204.017199,7,100,44.79386520385742,0.002,0.5688509345054626,0.45099812746047974,0.0024151504039764404
55,1448,5600,207.127088,7,100,44.79386520385742,0.002,0.5688506960868835,0.4509977400302887,0.0024151504039764404
56,1455,5700,210.285671,7,100,44.79386901855469,0.002,0.5688504576683044,0.45099738240242004,0.002415149239823222
57,1462,5800,213.422024,7,100,44.79386901855469,0.002,0.5688502192497253,0.45099693536758423,0.0024151490069925785
58,1468,5900,216.531966,6,100,44.79387283325195,0.002,0.5688499808311462,0.45099663734436035,0.0024151483085006475
59,1475,6000,219.677975,7,100,44.79387283325195,0.002,0.5688496828079224,0.45099613070487976,0.0024151476100087166
60,1482,6100,222.836577,7,100,44.79387283325195,0.002,0.5688494443893433,0.4509957432746887,0.002415146678686142
61,1489,6200,226.010255,7,100,44.79386901855469,0.002,0.5688491463661194,0.45099538564682007,0.0024151464458554983
62,1496,6300,229.148278,7,100,44.79386901855469,0.002,0.5688488483428955,0.4509950280189514,0.002415145980194211
63,1503,6400,232.31633,7,100,44.79387283325195,0.002,0.5688486695289612,0.45099467039108276,0.0024151455145329237
64,1510,6500,235.420959,7,100,44.79387283325195,0.002,0.5688483715057373,0.45099422335624695,0.0024151450488716364
65,1517,6600,238.57792,7,100,44.79387664794922,0.002,0.5688480734825134,0.4509938657283783,0.0024151443503797054
66,1524,6700,241.741021,7,100,44.79387664794922,0.002,0.5688477754592896,0.4509934186935425,0.002415143419057131
67,1531,6800,244.880298,7,100,44.793880462646484,0.002,0.5688475370407104,0.45099306106567383,0.0024151429533958435
68,1538,6900,248.021919,7,100,44.79387664794922,0.002,0.5688472986221313,0.4509926736354828,0.002415142022073269
69,1545,7000,251.161156,7,100,44.79387664794922,0.002,0.5688469409942627,0.45099225640296936,0.0024151410907506943
70,1552,7100,254.427913,7,100,44.793880462646484,0.002,0.5688466429710388,0.4509918689727783,0.002415140625089407
71,1559,7200,257.568821,7,100,44.793880462646484,0.002,0.5688463449478149,0.4509914517402649,0.002415140625089407
72,1566,7300,260.72214,7,100,44.79388427734375,0.002,0.5688460469245911,0.45099106431007385,0.002415139926597476
