k,cum_lower_iters,cum_ad_iters,cum_runtime,lower_iters,ad_iters,L,mu,upper_obj,lower_obj,norm_upper_grad
0,685,100,21.38156,685,100,44.79380798339844,0.002,0.5688523054122925,0.4510192573070526,0.002415172290056944
1,686,200,24.525085,1,100,44.7938117980957,0.002,0.5688521862030029,0.45101892948150635,0.0024151713587343693
2,687,300,27.659016,1,100,44.79381561279297,0.002,0.5688521862030029,0.4510185420513153,0.0024151706602424383
3,688,400,31.005593,1,100,44.79381561279297,0.002,0.5688521862030029,0.45101815462112427,0.0024151706602424383
4,689,500,34.225934,1,100,44.79381561279297,0.002,0.5688521265983582,0.4510177671909332,0.00241516949608922
5,690,600,37.480905,1,100,44.793819427490234,0.002,0.5688521265983582,0.4510173499584198,0.0024151683319360018
6,691,700,40.688069,1,100,44.793819427490234,0.002,0.5688521265983582,0.45101696252822876,0.002415168099105358
7,692,800,43.851781,1,100,44.793819427490234,0.002,0.5688520669937134,0.4510165750980377,0.002415167400613427
8,693,900,47.069205,1,100,44.793819427490234,0.002,0.5688520669937134,0.4510161876678467,0.0024151671677827835
9,694,1000,50.289539,1,100,44.793819427490234,0.002,0.5688520073890686,0.45101580023765564,0.0024151664692908525
10,695,1100,53.516286,1,100,44.793819427490234,0.002,0.5688520073890686,0.4510154128074646,0.002415166236460209
11,696,1200,56.868444,1,100,44.7938232421875,0.002,0.568851888179779,0.45101502537727356,0.0024151653051376343
12,697,1300,60.164791,1,100,44.7938232421875,0.002,0.568851888179779,0.4510146379470825,0.0024151643738150597
13,698,1400,64.019808,1,100,44.7938232421875,0.002,0.5688518285751343,0.4510142505168915,0.0024151639081537724
14,699,1500,67.511729,1,100,44.793827056884766,0.002,0.5688518285751343,0.45101380348205566,0.002415163442492485
15,700,1600,71.097617,1,100,44.7938232421875,0.002,0.5688518285751343,0.451013445854187,0.0024151622783392668
16,701,1700,74.674169,1,100,44.793827056884766,0.002,0.5688518285751343,0.4510130286216736,0.0024151611141860485
17,702,1800,78.207956,1,100,44.79383087158203,0.002,0.5688518285751343,0.45101264119148254,0.0024151611141860485
18,703,1900,81.580973,1,100,44.79383087158203,0.002,0.5688517093658447,0.4510122239589691,0.0024151597172021866
19,704,2000,84.868788,1,100,44.79383087158203,0.002,0.5688516497612,0.45101189613342285,0.0024151597172021866
20,705,2100,88.077727,1,100,44.7938346862793,0.002,0.5688515901565552,0.4510115385055542,0.0024151590187102556
21,706,2200,91.270994,1,100,44.7938346862793,0.002,0.5688515305519104,0.45101115107536316,0.002415158087387681
22,707,2300,94.359297,1,100,44.7938346862793,0.002,0.5688514709472656,0.45101070404052734,0.002415158087387681
23,708,2400,97.480358,1,100,44.7938346862793,0.002,0.5688514709472656,0.4510103166103363,0.00241515738889575
24,709,2500,100.659291,1,100,44.7938346862793,0.002,0.5688514113426208,0.45100992918014526,0.0024151569232344627
25,710,2600,103.918522,1,100,44.79383850097656,0.002,0.5688513517379761,0.4510095417499542,0.0024151557590812445
26,711,2700,107.132873,1,100,44.79383850097656,0.002,0.5688512921333313,0.45100918412208557,0.002415155293419957
27,712,2800,110.28026,1,100,44.79383850097656,0.002,0.5688512325286865,0.45100870728492737,0.00241515482775867
28,713,2900,113.563754,1,100,44.79383850097656,0.002,0.5688511729240417,0.45100831985473633,0.0024151543620973825
29,714,3000,116.822951,1,100,44.793846130371094,0.002,0.568851113319397,0.4510079324245453,0.0024151538964360952
30,715,3100,120.077672,1,100,44.79384231567383,0.002,0.5688510537147522,0.45100751519203186,0.0024151529651135206
31,716,3200,123.164322,1,100,44.79383850097656,0.002,0.5688510537147522,0.4510071873664856,0.002415152732282877
32,717,3300,126.406152,1,100,44.79384231567383,0.002,0.5688508152961731,0.45100679993629456,0.002415152033790946
33,718,3400,129.488121,1,100,44.793846130371094,0.002,0.5688508152961731,0.4510064125061035,0.002415151335299015
34,719,3500,132.480408,1,100,44.79384994506836,0.002,0.5688507556915283,0.4510060250759125,0.002415150636807084
35,720,3600,135.447051,1,100,44.79384994506836,0.002,0.5688507556915283,0.45100563764572144,0.002415149938315153
36,721,3700,138.460316,1,100,44.79384994506836,0.002,0.5688506364822388,0.451005220413208,0.002415149472653866
37,722,3800,141.531439,1,100,44.793846130371094,0.002,0.5688505172729492,0.45100486278533936,0.002415148541331291
38,723,3900,144.539001,1,100,44.79384994506836,0.002,0.5688504576683044,0.4510044753551483,0.0024151476100087166
39,724,4000,147.556705,1,100,44.79384994506836,0.002,0.5688503980636597,0.4510040283203125,0.002415147377178073
40,725,4100,150.720379,1,100,44.79384994506836,0.002,0.5688503384590149,0.45100364089012146,0.0024151469115167856
41,726,4200,153.810513,1,100,44.793853759765625,0.002,0.5688502788543701,0.45100322365760803,0.0024151469115167856
42,727,4300,156.937563,1,100,44.793853759765625,0.002,0.5688501596450806,0.451002836227417,0.0024151464458554983
43,728,4400,160.064713,1,100,44.793853759765625,0.002,0.5688501000404358,0.45100247859954834,0.002415145980194211
44,729,4500,163.227133,1,100,44.793853759765625,0.002,0.5688499808311462,0.4510020911693573,0.0024151450488716364
45,730,4600,166.398052,1,100,44.793853759765625,0.002,0.5688498616218567,0.45100170373916626,0.0024151443503797054
46,731,4700,169.699768,1,100,44.793853759765625,0.002,0.5688498616218567,0.4510013163089752,0.0024151441175490618
47,732,4800,173.175257,1,100,44.793853759765625,0.002,0.5688496828079224,0.4510008692741394,0.0024151436518877745
48,733,4900,176.480165,1,100,44.79385757446289,0.002,0.5688496828079224,0.45100048184394836,0.002415143186226487
49,734,5000,179.659865,1,100,44.79385757446289,0.002,0.568849503993988,0.4510000944137573,0.002415142487734556
50,735,5100,182.916112,1,100,44.793861389160156,0.002,0.5688494443893433,0.45099973678588867,0.0024151422549039125
51,736,5200,186.083519,1,100,44.79386520385742,0.002,0.5688493847846985,0.45099934935569763,0.0024151417892426252
52,737,5300,189.308065,1,100,44.79386520385742,0.002,0.5688492655754089,0.4509989023208618,0.002415140625089407
53,738,5400,192.432777,1,100,44.793861389160156,0.002,0.5688491463661194,0.45099860429763794,0.0024151403922587633
54,739,5500,195.600262,1,100,44.79386520385742,0.002,0.5688490867614746,0.4509981572628021,0.0024151396937668324
55,740,5600,198.818228,1,100,44.79386520385742,0.002,0.5688489675521851,0.4509977698326111,0.0024151389952749014
56,741,5700,202.106305,1,100,44.79386901855469,0.002,0.5688488483428955,0.45099738240242004,0.0024151382967829704
57,742,5800,205.428473,1,100,44.79386901855469,0.002,0.5688487887382507,0.450996994972229,0.0024151380639523268
58,743,5900,208.697391,1,100,44.79387283325195,0.002,0.5688486695289612,0.45099660754203796,0.002415137132629752
59,744,6000,212.180395,1,100,44.79387283325195,0.002,0.5688484907150269,0.45099616050720215,0.002415136666968465
60,745,6100,215.659821,1,100,44.79387283325195,0.002,0.5688484907150269,0.45099586248397827,0.0024151357356458902
61,746,6200,219.12019,1,100,44.79386901855469,0.002,0.5688483119010925,0.45099541544914246,0.0024151350371539593
62,747,6300,222.449784,1,100,44.79386901855469,0.002,0.568848192691803,0.45099499821662903,0.0024151348043233156
63,748,6400,225.665061,1,100,44.79387283325195,0.002,0.5688481330871582,0.4509946405887604,0.0024151341058313847
64,749,6500,228.801844,1,100,44.79387283325195,0.002,0.5688480138778687,0.45099425315856934,0.0024151334073394537
65,750,6600,231.864144,1,100,44.79387664794922,0.002,0.5688477754592896,0.4509938359260559,0.0024151327088475227
66,751,6700,234.94901,1,100,44.79387664794922,0.002,0.5688477754592896,0.45099344849586487,0.0024151320103555918
