k,cum_lower_iters,cum_ad_iters,cum_runtime,lower_iters,ad_iters,L,mu,upper_obj,lower_obj,norm_upper_grad
0,798,100,28.738901,798,100,44.79380798339844,0.002,0.5688230395317078,0.4510262906551361,0.0004751003289129585
1,799,200,34.698692,1,100,44.79380798339844,0.002,0.5688230395317078,0.4510262608528137,0.00047510029980912805
2,800,300,40.594331,1,100,44.7938117980957,0.002,0.5688230395317078,0.4510261118412018,0.0004751003289129585
3,801,400,46.589553,1,100,44.7938117980957,0.002,0.5688230395317078,0.4510260820388794,0.0004751002707052976
4,802,500,52.633122,1,100,44.7938117980957,0.002,0.5688230991363525,0.45102599263191223,0.00047510029980912805
5,803,600,58.451681,1,100,44.7938117980957,0.002,0.5688230991363525,0.45102593302726746,0.0004751004162244499
6,804,700,64.391544,1,100,44.7938117980957,0.002,0.5688230991363525,0.4510258436203003,0.00047510044532828033
7,805,800,70.373843,1,100,44.7938117980957,0.002,0.5688232779502869,0.4510257840156555,0.0004751005326397717
8,806,900,76.269945,1,100,44.7938117980957,0.002,0.5688232183456421,0.45102569460868835,0.00047510050353594124
9,807,1000,82.246362,1,100,44.7938117980957,0.002,0.5688232779502869,0.4510256052017212,0.0004751004744321108
10,808,1100,88.094582,1,100,44.7938117980957,0.002,0.5688232779502869,0.45102551579475403,0.00047510056174360216
11,809,1200,94.413102,1,100,44.7938117980957,0.002,0.5688232779502869,0.45102542638778687,0.00047510050353594124
12,810,1300,100.470571,1,100,44.79381561279297,0.002,0.5688233375549316,0.4510253667831421,0.0004751004162244499
13,811,1400,106.793588,1,100,44.79381561279297,0.002,0.5688233375549316,0.4510253071784973,0.00047510050353594124
14,812,1500,114.602434,1,100,44.79381561279297,0.002,0.5688233375549316,0.45102521777153015,0.00047510050353594124
15,813,1600,124.659239,1,100,44.79381561279297,0.002,0.5688233971595764,0.4510251581668854,0.00047510050353594124
16,814,1700,130.944207,1,100,44.79381561279297,0.002,0.5688233971595764,0.45102500915527344,0.0004751005326397717
17,815,1800,137.202803,1,100,44.79381561279297,0.002,0.5688233971595764,0.45102500915527344,0.0004751004744321108
18,816,1900,143.275341,1,100,44.7938117980957,0.002,0.5688233971595764,0.4510248899459839,0.0004751005326397717
19,817,2000,150.078578,1,100,44.79381561279297,0.002,0.5688233971595764,0.4510248005390167,0.0004751005326397717
20,818,2100,156.648319,1,100,44.79381561279297,0.002,0.5688233971595764,0.45102474093437195,0.00047510050353594124
21,819,2200,162.936541,1,100,44.79381561279297,0.002,0.5688234567642212,0.4510246813297272,0.00047510050353594124
22,820,2300,169.522981,1,100,44.79381561279297,0.002,0.5688234567642212,0.45102459192276,0.00047510050353594124
23,821,2400,175.724565,1,100,44.79381561279297,0.002,0.5688234567642212,0.4510245621204376,0.0004751005908474326
24,822,2500,182.129144,1,100,44.7938117980957,0.002,0.5688234567642212,0.45102447271347046,0.00047510056174360216
25,823,2600,188.753888,1,100,44.7938117980957,0.002,0.5688234567642212,0.4510243833065033,0.00047510061995126307
26,824,2700,195.174461,1,100,44.7938117980957,0.002,0.5688234567642212,0.4510243535041809,0.0004751006490550935
27,825,2800,201.731488,1,100,44.79380416870117,0.002,0.5688234567642212,0.45102420449256897,0.000475100678158924
28,826,2900,208.793219,1,100,44.79381561279297,0.002,0.5688234567642212,0.4510241746902466,0.0004751005326397717
29,827,3000,215.474,1,100,44.79381561279297,0.002,0.5688235759735107,0.45102405548095703,0.0004751004744321108
30,828,3100,222.289146,1,100,44.79381561279297,0.002,0.5688235759735107,0.45102396607398987,0.00047510050353594124
31,829,3200,228.653572,1,100,44.79381561279297,0.002,0.5688235759735107,0.4510239064693451,0.00047510044532828033
32,830,3300,234.916896,1,100,44.7938117980957,0.002,0.5688235759735107,0.4510238468647003,0.00047510056174360216
33,831,3400,240.838734,1,100,44.7938117980957,0.002,0.5688236951828003,0.45102375745773315,0.00047510044532828033
34,832,3500,246.738127,1,100,44.79381561279297,0.002,0.5688236951828003,0.4510236978530884,0.00047510029980912805
35,833,3600,252.607919,1,100,44.79381561279297,0.002,0.5688236951828003,0.45102357864379883,0.0004751002707052976
36,834,3700,258.510747,1,100,44.79381561279297,0.002,0.5688237547874451,0.45102357864379883,0.0004751002124976367
37,835,3800,264.372966,1,100,44.7938117980957,0.002,0.5688237547874451,0.4510234594345093,0.0004751003871206194
38,836,3900,270.412066,1,100,44.79381561279297,0.002,0.5688237547874451,0.4510233700275421,0.0004751002707052976
39,837,4000,278.146648,1,100,44.79381561279297,0.002,0.5688237547874451,0.45102331042289734,0.0004751003289129585
40,838,4100,284.422937,1,100,44.79381561279297,0.002,0.5688237547874451,0.45102325081825256,0.0004751002707052976
41,839,4200,290.593323,1,100,44.79381561279297,0.002,0.5688237547874451,0.4510231614112854,0.0004751002124976367
42,840,4300,296.825879,1,100,44.79381561279297,0.002,0.5688237547874451,0.45102304220199585,0.0004751002124976367
43,841,4400,302.703247,1,100,44.7938117980957,0.002,0.5688237547874451,0.4510229825973511,0.0004751001833938062
44,842,4500,308.769063,1,100,44.79381561279297,0.002,0.5688237547874451,0.4510228633880615,0.00047510015428997576
45,843,4600,315.116285,1,100,44.79381561279297,0.002,0.5688237547874451,0.45102280378341675,0.00047510024160146713
46,844,4700,321.014996,1,100,44.793819427490234,0.002,0.5688237547874451,0.4510226845741272,0.0004751001251861453
47,845,4800,327.18106,1,100,44.79381561279297,0.002,0.5688237547874451,0.4510226249694824,0.00047510015428997576
48,846,4900,333.480751,1,100,44.793819427490234,0.002,0.5688238143920898,0.45102253556251526,0.0004751001833938062
49,847,5000,340.135928,1,100,44.793819427490234,0.002,0.5688237547874451,0.4510224759578705,0.00047510009608231485
50,848,5100,346.59386,1,100,44.79381561279297,0.002,0.5688237547874451,0.4510223865509033,0.00047509995056316257
51,849,5200,352.893358,1,100,44.79381561279297,0.002,0.5688238739967346,0.45102226734161377,0.0004751000087708235
52,850,5300,359.136337,1,100,44.7938117980957,0.002,0.5688238739967346,0.45102226734161377,0.000475099979666993
53,851,5400,365.36183,1,100,44.793819427490234,0.002,0.5688238739967346,0.4510221481323242,0.0004751000087708235
54,852,5500,371.53264,1,100,44.793819427490234,0.002,0.5688238739967346,0.45102205872535706,0.0004751000087708235
