k,cum_lower_iters,cum_ad_iters,cum_runtime,lower_iters,ad_iters,L,mu,upper_obj,lower_obj,norm_upper_grad
0,798,1000,90.714988,798,1000,44.79380798339844,0.002,0.5688230395317078,0.4510262906551361,0.002415614202618599
1,799,2000,152.776394,1,1000,44.793907165527344,0.002,0.568822979927063,0.4509870409965515,0.002415571827441454
2,802,3000,221.029104,3,1000,44.79400634765625,0.002,0.5688226819038391,0.4509478211402893,0.0024155310820788145
3,818,4000,288.468251,16,1000,44.79410171508789,0.002,0.5688158273696899,0.4509085416793823,0.002415476832538843
4,838,5000,352.270159,20,1000,44.79419708251953,0.002,0.5688033699989319,0.45086923241615295,0.0024154186248779297
5,860,6000,423.700056,22,1000,44.79429244995117,0.002,0.5687862634658813,0.4508298933506012,0.0024153527338057756
6,884,7000,490.756267,24,1000,44.79438781738281,0.002,0.5687638521194458,0.4507905840873718,0.0024152861442416906
7,908,8000,555.53038,24,1000,44.79448318481445,0.002,0.5687392354011536,0.45075130462646484,0.0024152181576937437
8,932,9000,620.289466,24,1000,44.794578552246094,0.002,0.5687127709388733,0.4507118761539459,0.0024151508696377277
9,957,10000,680.706667,25,1000,44.794677734375,0.002,0.5686824917793274,0.45067253708839417,0.0024150784593075514
10,982,11000,742.616022,25,1000,44.79477310180664,0.002,0.5686506628990173,0.45063316822052,0.002415000693872571
11,1007,12000,803.712377,25,1000,44.794864654541016,0.002,0.5686175227165222,0.45059382915496826,0.0024149196688085794
12,1032,13000,864.063976,25,1000,44.794960021972656,0.002,0.5685831308364868,0.45055440068244934,0.0024148353841155767
13,1057,14000,925.529167,25,1000,44.7950553894043,0.002,0.5685474872589111,0.4505150020122528,0.0024147513322532177
14,1083,15000,988.528491,26,1000,44.79515075683594,0.002,0.5685083866119385,0.45047569274902344,0.002414665650576353
15,1108,16000,1051.303432,25,1000,44.79523849487305,0.002,0.5684712529182434,0.45043623447418213,0.0024145781062543392
16,1134,17000,1124.263532,26,1000,44.79533767700195,0.002,0.5684305429458618,0.45039692521095276,0.0024144845083355904
17,1159,18000,1198.42535,25,1000,44.79543685913086,0.002,0.5683918595314026,0.45035749673843384,0.0024143976625055075
18,1185,19000,1264.621085,26,1000,44.795528411865234,0.002,0.5683497190475464,0.45031818747520447,0.0024143040645867586
19,1211,20000,1336.080941,26,1000,44.795616149902344,0.002,0.5683069825172424,0.45027872920036316,0.002414208371192217
20,1236,21000,1404.71871,25,1000,44.79571533203125,0.002,0.5682666897773743,0.450239360332489,0.0024141131434589624
21,1262,22000,1469.057131,26,1000,44.795806884765625,0.002,0.5682227611541748,0.45019984245300293,0.0024140134919434786
22,1288,23000,1539.527899,26,1000,44.7958984375,0.002,0.5681785941123962,0.4501604735851288,0.002413915703073144
23,1314,24000,1606.434155,26,1000,44.795989990234375,0.002,0.568134069442749,0.4501209855079651,0.002413814654573798
24,1340,25000,1671.200516,26,1000,44.79608154296875,0.002,0.5680891871452332,0.45008155703544617,0.002413709182292223
25,1366,26000,1737.724079,26,1000,44.79617691040039,0.002,0.5680440068244934,0.45004209876060486,0.0024136099964380264
26,1392,27000,1797.579929,26,1000,44.7962646484375,0.002,0.5679984092712402,0.4500027298927307,0.0024134996347129345
27,1418,28000,1860.2977,26,1000,44.79636001586914,0.002,0.567952573299408,0.4499632716178894,0.0024133999831974506
28,1444,29000,1924.340004,26,1000,44.79644775390625,0.002,0.567906379699707,0.4499238431453705,0.0024132905527949333
29,1470,30000,1987.38562,26,1000,44.79654312133789,0.002,0.5678598880767822,0.4498843550682068,0.002413178561255336
30,1496,31000,2052.03308,26,1000,44.796630859375,0.002,0.5678131580352783,0.4498448669910431,0.002413068898022175
31,1522,32000,2117.190359,26,1000,44.796722412109375,0.002,0.567766010761261,0.4498053789138794,0.00241295900195837
32,1548,33000,2180.913796,26,1000,44.796817779541016,0.002,0.5677186250686646,0.4497658610343933,0.002412849571555853
33,1574,34000,2243.908476,26,1000,44.79690170288086,0.002,0.567671000957489,0.449726402759552,0.0024127375800162554
34,1600,35000,2308.032059,26,1000,44.7969970703125,0.002,0.5676232576370239,0.4496869444847107,0.0024126244243234396
35,1626,36000,2370.239172,26,1000,44.79708480834961,0.002,0.567575216293335,0.4496473968029022,0.0024125121999531984
36,1653,37000,2438.619417,27,1000,44.79717254638672,0.002,0.5675236582756042,0.44960787892341614,0.002412392059341073
37,1679,38000,2502.153404,26,1000,44.79726028442383,0.002,0.5674755573272705,0.44956842064857483,0.0024122779723256826
38,1705,39000,2564.814783,26,1000,44.7973518371582,0.002,0.5674272179603577,0.44952884316444397,0.002412162022665143
