k,cum_lower_iters,cum_ad_iters,cum_runtime,lower_iters,ad_iters,L,mu,upper_obj,lower_obj,norm_upper_grad
0,798,100,27.693411,798,100,44.79380798339844,0.002,0.5688230395317078,0.4510262906551361,0.0024156132712960243
1,799,200,30.902841,1,100,44.7938117980957,0.002,0.5688230395317078,0.45102596282958984,0.002415612805634737
2,800,300,34.143724,1,100,44.79381561279297,0.002,0.5688230395317078,0.45102551579475403,0.0024156123399734497
3,801,400,37.342668,1,100,44.793819427490234,0.002,0.5688230395317078,0.45102518796920776,0.0024156116414815187
4,802,500,40.617085,1,100,44.793819427490234,0.002,0.5688230991363525,0.45102474093437195,0.0024156116414815187
5,803,600,43.885483,1,100,44.793819427490234,0.002,0.5688230991363525,0.4510243833065033,0.002415610710158944
6,804,700,47.106408,1,100,44.793819427490234,0.002,0.5688230991363525,0.4510239362716675,0.002415609546005726
7,805,800,50.451006,1,100,44.793819427490234,0.002,0.5688232183456421,0.45102354884147644,0.002415609313175082
8,806,900,53.867178,1,100,44.793819427490234,0.002,0.5688232183456421,0.4510231614112854,0.0024156086146831512
9,807,1000,57.272634,1,100,44.793819427490234,0.002,0.5688232779502869,0.4510227143764496,0.0024156083818525076
10,808,1100,60.732324,1,100,44.793819427490234,0.002,0.5688232779502869,0.4510223865509033,0.002415607450529933
11,809,1200,64.193142,1,100,44.7938232421875,0.002,0.5688232779502869,0.4510219991207123,0.0024156069848686457
12,810,1300,67.705394,1,100,44.7938232421875,0.002,0.5688232779502869,0.45102158188819885,0.0024156065192073584
13,811,1400,71.29995,1,100,44.7938232421875,0.002,0.5688232779502869,0.4510212242603302,0.0024156058207154274
14,812,1500,74.878357,1,100,44.793827056884766,0.002,0.5688232779502869,0.4510208070278168,0.00241560535505414
15,813,1600,78.400085,1,100,44.7938232421875,0.002,0.5688233375549316,0.45102038979530334,0.002415604656562209
16,814,1700,82.136763,1,100,44.793827056884766,0.002,0.5688233375549316,0.4510200321674347,0.0024156044237315655
17,815,1800,85.826388,1,100,44.79383087158203,0.002,0.5688233375549316,0.45101967453956604,0.0024156037252396345
18,816,1900,89.529605,1,100,44.79383087158203,0.002,0.5688233375549316,0.4510192275047302,0.0024156037252396345
19,817,2000,93.410647,1,100,44.79383087158203,0.002,0.5688233375549316,0.4510188698768616,0.0024156025610864162
20,818,2100,97.126165,1,100,44.7938346862793,0.002,0.5688233375549316,0.45101842284202576,0.0024156023282557726
21,819,2200,100.607991,1,100,44.7938346862793,0.002,0.5688233971595764,0.4510180354118347,0.002415602095425129
22,820,2300,104.039948,1,100,44.7938346862793,0.002,0.5688233971595764,0.45101767778396606,0.0024156018625944853
23,821,2400,107.472679,1,100,44.7938346862793,0.002,0.5688233971595764,0.451017290353775,0.002415601396933198
24,822,2500,110.735014,1,100,44.7938346862793,0.002,0.5688233971595764,0.451016902923584,0.0024156009312719107
25,823,2600,114.07391,1,100,44.79383850097656,0.002,0.5688233971595764,0.45101648569107056,0.002415599999949336
26,824,2700,117.309699,1,100,44.79383850097656,0.002,0.5688233971595764,0.4510160982608795,0.002415599301457405
27,825,2800,120.511098,1,100,44.79383850097656,0.002,0.5688233971595764,0.4510157108306885,0.0024155988357961178
28,826,2900,123.620897,1,100,44.79383850097656,0.002,0.5688233971595764,0.45101532340049744,0.0024155983701348305
29,827,3000,126.798096,1,100,44.793846130371094,0.002,0.5688233971595764,0.4510149657726288,0.0024155976716428995
30,828,3100,130.030456,1,100,44.79384231567383,0.002,0.5688233971595764,0.45101451873779297,0.002415597205981612
31,829,3200,133.235509,1,100,44.79383850097656,0.002,0.5688233971595764,0.45101413130760193,0.0024155965074896812
32,830,3300,136.4243,1,100,44.79384231567383,0.002,0.5688233971595764,0.4510137438774109,0.0024155955761671066
33,831,3400,139.670452,1,100,44.79384994506836,0.002,0.5688233971595764,0.45101338624954224,0.0024155948776751757
34,832,3500,142.920936,1,100,44.79384994506836,0.002,0.5688233971595764,0.4510129988193512,0.0024155937135219574
35,833,3600,146.197477,1,100,44.79384994506836,0.002,0.5688233971595764,0.4510125517845154,0.0024155937135219574
36,834,3700,149.493801,1,100,44.79384994506836,0.002,0.5688233971595764,0.45101219415664673,0.0024155934806913137
