k,cum_lower_iters,cum_ad_iters,cum_runtime,lower_iters,ad_iters,L,mu,upper_obj,lower_obj,norm_upper_grad
0,29998,100,868.996695,29998,100,44.79380798339844,0.002,0.5690273642539978,0.4510277509689331,0.0004750624066218734
1,29999,200,874.96639,1,100,44.7938117980957,0.002,0.5690273642539978,0.451026976108551,0.0004750624066218734
2,30000,300,880.900638,1,100,44.79381561279297,0.002,0.569027304649353,0.45102620124816895,0.00047506223199889064
3,30001,400,886.838499,1,100,44.79381561279297,0.002,0.569027304649353,0.4510253965854645,0.0004750621737912297
4,30002,500,893.407314,1,100,44.79381561279297,0.002,0.5690271854400635,0.4510246813297272,0.00047506197006441653
5,30003,600,899.348816,1,100,44.79381561279297,0.002,0.5690271854400635,0.4510238766670227,0.00047506188275292516
6,30004,700,905.32102,1,100,44.7938117980957,0.002,0.5690271854400635,0.45102307200431824,0.0004750617081299424
7,30005,800,911.176846,1,100,44.79381561279297,0.002,0.5690271258354187,0.45102235674858093,0.0004750615335069597
8,30006,900,917.053819,1,100,44.7938117980957,0.002,0.5690271258354187,0.4510214924812317,0.0004750613297801465
9,30007,1000,922.996341,1,100,44.7938117980957,0.002,0.5690270066261292,0.4510207176208496,0.0004750610969495028
10,30008,1100,928.933329,1,100,44.7938117980957,0.002,0.5690270066261292,0.4510199725627899,0.00047506086411885917
11,30009,1200,934.978307,1,100,44.793819427490234,0.002,0.5690269470214844,0.4510192275047302,0.0004750603693537414
12,30010,1300,940.993202,1,100,44.7938117980957,0.002,0.5690268278121948,0.45101845264434814,0.0004750601656269282
13,30011,1400,947.161686,1,100,44.79381561279297,0.002,0.56902676820755,0.4510176479816437,0.0004750599036924541
14,30012,1500,953.1848,1,100,44.7938117980957,0.002,0.5690266489982605,0.4510168433189392,0.0004750595544464886
15,30013,1600,959.249151,1,100,44.79381561279297,0.002,0.5690266489982605,0.45101603865623474,0.0004750590887852013
16,30014,1700,965.196759,1,100,44.79381561279297,0.002,0.5690265893936157,0.45101526379585266,0.0004750586813315749
17,30015,1800,971.162377,1,100,44.79381561279297,0.002,0.569026529788971,0.4510144889354706,0.0004750582738779485
18,30016,1900,977.356591,1,100,44.793819427490234,0.002,0.5690263509750366,0.4510136842727661,0.00047505786642432213
19,30017,2000,983.660713,1,100,44.79381561279297,0.002,0.5690262913703918,0.4510129392147064,0.0004750574880745262
20,30018,2100,989.85899,1,100,44.79381561279297,0.002,0.5690261721611023,0.45101216435432434,0.00047505705151706934
21,30019,2200,996.006226,1,100,44.793819427490234,0.002,0.5690261125564575,0.4510113596916199,0.00047505658585578203
22,30020,2300,1002.230099,1,100,44.79381561279297,0.002,0.5690260529518127,0.4510105550289154,0.0004750560619868338
23,30021,2400,1008.544185,1,100,44.79381561279297,0.002,0.569025993347168,0.4510098099708557,0.0004750555381178856
24,30022,2500,1014.71652,1,100,44.79381561279297,0.002,0.5690258741378784,0.45100897550582886,0.00047505515976808965
25,30023,2600,1020.854189,1,100,44.7938117980957,0.002,0.5690257549285889,0.45100826025009155,0.0004750545776914805
26,30024,2700,1026.903392,1,100,44.79381561279297,0.002,0.5690256357192993,0.4510074853897095,0.00047505402471870184
27,30025,2800,1033.135485,1,100,44.79381561279297,0.002,0.5690255761146545,0.4510067105293274,0.0004750535299535841
28,30026,2900,1039.305784,1,100,44.793819427490234,0.002,0.569025456905365,0.4510059058666229,0.0004750530351884663
29,30027,3000,1045.452723,1,100,44.79381561279297,0.002,0.5690253973007202,0.45100516080856323,0.00047505248221568763
30,30028,3100,1051.693698,1,100,44.793819427490234,0.002,0.5690252184867859,0.45100438594818115,0.00047505187103524804
31,30029,3200,1057.797111,1,100,44.793819427490234,0.002,0.5690250992774963,0.4510035812854767,0.0004750512889586389
32,30030,3300,1064.01866,1,100,44.7938117980957,0.002,0.5690250992774963,0.4510027766227722,0.00047505070688202977
33,30031,3400,1070.426873,1,100,44.79381561279297,0.002,0.5690249800682068,0.45100200176239014,0.00047504992107860744
34,30032,3500,1076.902509,1,100,44.793819427490234,0.002,0.569024920463562,0.45100122690200806,0.00047504925169050694
35,30033,3600,1083.435939,1,100,44.7938117980957,0.002,0.5690246820449829,0.45100051164627075,0.00047504858230240643
36,30034,3700,1090.030501,1,100,44.793819427490234,0.002,0.5690245032310486,0.45099976658821106,0.0004750479129143059
37,30035,3800,1096.760455,1,100,44.793819427490234,0.002,0.5690244436264038,0.4509989321231842,0.0004750471853185445
38,30036,3900,1102.865459,1,100,44.793819427490234,0.002,0.5690243244171143,0.4509981870651245,0.000475046515930444
39,30037,4000,1109.242704,1,100,44.793819427490234,0.002,0.5690242052078247,0.4509974420070648,0.00047504581743851304
40,30038,4100,1116.234293,1,100,44.79381561279297,0.002,0.5690240263938904,0.45099663734436035,0.00047504520625807345
41,30039,4200,1122.504025,1,100,44.793819427490234,0.002,0.5690239071846008,0.45099592208862305,0.0004750446241814643
42,30040,4300,1128.881548,1,100,44.793819427490234,0.002,0.5690237283706665,0.4509950578212738,0.00047504392568953335
43,30041,4400,1135.068833,1,100,44.793819427490234,0.002,0.569023609161377,0.4509943425655365,0.00047504325630143285
44,30042,4500,1141.526788,1,100,44.793819427490234,0.002,0.5690234899520874,0.45099353790283203,0.00047504252870567143
45,30043,4600,1147.836715,1,100,44.79381561279297,0.002,0.5690233111381531,0.45099276304244995,0.00047504180110991
46,30044,4700,1154.612251,1,100,44.793819427490234,0.002,0.5690231919288635,0.4509919583797455,0.00047504116082563996
47,30045,4800,1161.05119,1,100,44.793819427490234,0.002,0.569023072719574,0.450991153717041,0.00047504049143753946
48,30046,4900,1167.200614,1,100,44.793819427490234,0.002,0.5690229535102844,0.45099037885665894,0.00047503967653028667
49,30047,5000,1173.563088,1,100,44.793819427490234,0.002,0.5690227150917053,0.45098960399627686,0.0004750389198306948
50,30048,5100,1180.157597,1,100,44.7938117980957,0.002,0.569022536277771,0.4509887993335724,0.00047503801761195064
51,30049,5200,1186.325141,1,100,44.793819427490234,0.002,0.5690223574638367,0.4509880840778351,0.00047503726091235876
52,30050,5300,1192.593659,1,100,44.793819427490234,0.002,0.5690222382545471,0.4509872496128082,0.0004750365042127669
53,30051,5400,1198.709031,1,100,44.793819427490234,0.002,0.5690221190452576,0.45098650455474854,0.00047503571840934455
54,30052,5500,1204.56501,1,100,44.793819427490234,0.002,0.569021999835968,0.45098572969436646,0.00047503490350209177
55,30053,5600,1210.669659,1,100,44.793819427490234,0.002,0.5690217614173889,0.450984925031662,0.00047503417590633035
