k,cum_lower_iters,cum_ad_iters,cum_runtime,lower_iters,ad_iters,L,mu,upper_obj,lower_obj,norm_upper_grad
0,29998,1000,990.728648,29998,1000,44.79380798339844,0.002,0.5690273642539978,0.4510277509689331,0.002415942959487438
1,29999,2000,1052.232541,1,1000,44.7938117980957,0.002,0.5690273642539978,0.45102736353874207,0.002415943192318082
2,30000,3000,1114.832746,1,1000,44.79381561279297,0.002,0.569027304649353,0.451026976108551,0.0024159420281648636
3,30001,4000,1177.525486,1,1000,44.79381561279297,0.002,0.569027304649353,0.4510265588760376,0.0024159415625035763
4,30002,5000,1240.051349,1,1000,44.793819427490234,0.002,0.5690272450447083,0.45102620124816895,0.00241594179533422
5,30003,6000,1301.560763,1,1000,44.793819427490234,0.002,0.5690271854400635,0.4510257840156555,0.0024159406311810017
6,30004,7000,1365.118798,1,1000,44.793819427490234,0.002,0.5690271854400635,0.4510253667831421,0.0024159399326890707
7,30005,8000,1425.632651,1,1000,44.793819427490234,0.002,0.5690271854400635,0.45102497935295105,0.0024159394670277834
8,30006,9000,1489.786967,1,1000,44.7938232421875,0.002,0.5690271258354187,0.4510246217250824,0.002415939001366496
9,30007,10000,1550.743075,1,1000,44.793819427490234,0.002,0.5690271258354187,0.45102423429489136,0.0024159392341971397
10,30008,11000,1614.381337,1,1000,44.793819427490234,0.002,0.5690270662307739,0.45102381706237793,0.0024159385357052088
11,30009,12000,1675.281354,1,1000,44.7938232421875,0.002,0.5690270662307739,0.4510233700275421,0.0024159380700439215
12,30010,13000,1738.28531,1,1000,44.7938232421875,0.002,0.5690270066261292,0.45102304220199585,0.0024159373715519905
13,30011,14000,1801.230786,1,1000,44.7938232421875,0.002,0.5690270066261292,0.45102259516716003,0.002415937138721347
14,30012,15000,1862.307051,1,1000,44.793827056884766,0.002,0.5690269470214844,0.4510222375392914,0.0024159359745681286
15,30013,16000,1924.014218,1,1000,44.7938232421875,0.002,0.5690269470214844,0.45102182030677795,0.002415935043245554
16,30014,17000,1986.645233,1,1000,44.793827056884766,0.002,0.5690268278121948,0.4510214030742645,0.002415935043245554
17,30015,18000,2050.389071,1,1000,44.79383087158203,0.002,0.56902676820755,0.4510209858417511,0.0024159338790923357
18,30016,19000,2113.290351,1,1000,44.79383087158203,0.002,0.5690267086029053,0.45102062821388245,0.0024159331806004047
19,30017,20000,2174.16115,1,1000,44.79383087158203,0.002,0.5690266489982605,0.4510202407836914,0.0024159334134310484
20,30018,21000,2236.089595,1,1000,44.7938346862793,0.002,0.5690266489982605,0.451019823551178,0.0024159331806004047
21,30019,22000,2296.764816,1,1000,44.7938346862793,0.002,0.5690266489982605,0.4510194659233093,0.0024159331806004047
22,30020,23000,2359.956144,1,1000,44.7938346862793,0.002,0.5690265893936157,0.4510190486907959,0.002415931783616543
23,30021,24000,2423.672329,1,1000,44.7938346862793,0.002,0.569026529788971,0.45101866126060486,0.002415930852293968
24,30022,25000,2483.9783,1,1000,44.7938346862793,0.002,0.5690264105796814,0.4510182738304138,0.002415930386632681
25,30023,26000,2545.652854,1,1000,44.79383850097656,0.002,0.5690264105796814,0.4510178565979004,0.002415930386632681
26,30024,27000,2606.714978,1,1000,44.79383850097656,0.002,0.5690263509750366,0.45101746916770935,0.0024159301538020372
27,30025,28000,2669.014441,1,1000,44.79383850097656,0.002,0.5690262913703918,0.4510170817375183,0.0024159287568181753
28,30026,29000,2732.03321,1,1000,44.79383850097656,0.002,0.5690262317657471,0.4510166347026825,0.002415928989648819
29,30027,30000,2793.06224,1,1000,44.793846130371094,0.002,0.5690261721611023,0.45101627707481384,0.002415928291156888
30,30028,31000,2854.521477,1,1000,44.79384231567383,0.002,0.5690261125564575,0.451015830039978,0.002415928291156888
31,30029,32000,2915.990709,1,1000,44.79383850097656,0.002,0.5690260529518127,0.4510154724121094,0.002415926894173026
32,30030,33000,2978.869051,1,1000,44.79384231567383,0.002,0.569025993347168,0.45101508498191833,0.0024159264285117388
33,30031,34000,3041.679817,1,1000,44.79384994506836,0.002,0.5690259337425232,0.4510146379470825,0.002415926195681095
34,30032,35000,3101.899068,1,1000,44.79384994506836,0.002,0.5690258741378784,0.45101433992385864,0.002415925497189164
35,30033,36000,3164.262422,1,1000,44.79384994506836,0.002,0.5690257549285889,0.4510139226913452,0.002415924333035946
36,30034,37000,3226.76296,1,1000,44.79384994506836,0.002,0.5690257549285889,0.45101356506347656,0.002415924333035946
37,30035,38000,3287.655973,1,1000,44.793846130371094,0.002,0.5690256953239441,0.4510132074356079,0.0024159241002053022
38,30036,39000,3349.496543,1,1000,44.79384994506836,0.002,0.5690256357192993,0.4510127604007721,0.002415922936052084
39,30037,40000,3417.2854,1,1000,44.79384994506836,0.002,0.5690255165100098,0.45101240277290344,0.0024159227032214403
40,30038,41000,3478.312989,1,1000,44.79384994506836,0.002,0.5690253973007202,0.45101198554039,0.0024159217718988657
41,30039,42000,3540.219848,1,1000,44.793853759765625,0.002,0.5690253973007202,0.4510115683078766,0.002415921539068222
42,30040,43000,3602.175385,1,1000,44.793853759765625,0.002,0.5690253376960754,0.45101118087768555,0.0024159210734069347
43,30041,44000,3663.59434,1,1000,44.793853759765625,0.002,0.5690252780914307,0.4510108232498169,0.0024159199092537165
44,30042,45000,3726.032832,1,1000,44.793853759765625,0.002,0.5690252184867859,0.45101043581962585,0.00241592014208436
45,30043,46000,3788.802256,1,1000,44.793853759765625,0.002,0.5690251588821411,0.4510100483894348,0.002415919443592429
46,30044,47000,3850.371324,1,1000,44.793853759765625,0.002,0.5690250992774963,0.4510096609592438,0.002415918977931142
47,30045,48000,3912.932821,1,1000,44.793853759765625,0.002,0.5690249800682068,0.4510093033313751,0.002415918279439211
48,30046,49000,3974.259294,1,1000,44.79385757446289,0.002,0.5690248608589172,0.45100879669189453,0.0024159173481166363
49,30047,50000,4035.754108,1,1000,44.79385757446289,0.002,0.5690248012542725,0.4510084390640259,0.002415916183963418
50,30048,51000,4097.472021,1,1000,44.793861389160156,0.002,0.5690246820449829,0.45100805163383484,0.0024159164167940617
51,30049,52000,4160.545156,1,1000,44.79386520385742,0.002,0.5690246820449829,0.4510076344013214,0.0024159157183021307
52,30050,53000,4223.024238,1,1000,44.793861389160156,0.002,0.5690246224403381,0.45100730657577515,0.002415915485471487
53,30051,54000,4284.570482,1,1000,44.793861389160156,0.002,0.5690245032310486,0.4510069191455841,0.0024159152526408434
54,30052,55000,4345.990236,1,1000,44.79386520385742,0.002,0.5690244436264038,0.4510064721107483,0.002415913389995694
55,30053,56000,4407.264249,1,1000,44.79386520385742,0.002,0.5690243244171143,0.45100608468055725,0.002415913622826338
56,30054,57000,4471.850966,1,1000,44.79386901855469,0.002,0.5690242052078247,0.4510056972503662,0.0024159131571650505
57,30055,58000,4532.486654,1,1000,44.79386901855469,0.002,0.5690242052078247,0.45100530982017517,0.002415912691503763
58,30056,59000,4595.001364,1,1000,44.79387283325195,0.002,0.5690241456031799,0.45100489258766174,0.0024159124586731195
59,30057,60000,4656.129899,1,1000,44.79387283325195,0.002,0.5690240263938904,0.4510045647621155,0.0024159119930118322
60,30058,61000,4717.666259,1,1000,44.79387283325195,0.002,0.569023847579956,0.45100411772727966,0.0024159112945199013
61,30059,62000,4782.450141,1,1000,44.79386901855469,0.002,0.5690237879753113,0.451003760099411,0.0024159110616892576
62,30060,63000,4843.730791,1,1000,44.79387283325195,0.002,0.5690237283706665,0.4510033130645752,0.0024159103631973267
63,30061,64000,4906.518283,1,1000,44.79387283325195,0.002,0.569023609161377,0.45100289583206177,0.0024159096647053957
64,30062,65000,4966.914995,1,1000,44.79387283325195,0.002,0.5690235495567322,0.4510025680065155,0.0024159091990441084
65,30063,66000,5029.246582,1,1000,44.79387283325195,0.002,0.5690235495567322,0.4510021507740021,0.0024159091990441084
66,30064,67000,5093.738417,1,1000,44.793880462646484,0.002,0.5690233707427979,0.45100170373916626,0.0024159078020602465
67,30065,68000,5155.316088,1,1000,44.793880462646484,0.002,0.5690233111381531,0.45100128650665283,0.002415907569229603
