k,cum_lower_iters,cum_ad_iters,cum_runtime,lower_iters,ad_iters,L,mu,upper_obj,lower_obj,norm_upper_grad
0,29998,100,911.868872,29998,100,44.79380798339844,0.002,0.5690273642539978,0.4510277509689331,0.002415943890810013
1,29999,200,915.15406,1,100,44.7938117980957,0.002,0.5690273642539978,0.45102736353874207,0.002415943657979369
2,30000,300,918.443887,1,100,44.79381561279297,0.002,0.569027304649353,0.451026976108551,0.002415942959487438
3,30001,400,921.624013,1,100,44.79381561279297,0.002,0.569027304649353,0.4510265588760376,0.002415942493826151
4,30002,500,924.832174,1,100,44.793819427490234,0.002,0.5690272450447083,0.45102620124816895,0.0024159420281648636
5,30003,600,927.948771,1,100,44.793819427490234,0.002,0.5690271854400635,0.4510257840156555,0.0024159415625035763
6,30004,700,931.101496,1,100,44.793819427490234,0.002,0.5690271854400635,0.4510253667831421,0.002415941096842289
7,30005,800,934.302651,1,100,44.793819427490234,0.002,0.5690271854400635,0.45102497935295105,0.0024159406311810017
8,30006,900,937.512144,1,100,44.7938232421875,0.002,0.5690271258354187,0.4510246217250824,0.002415939699858427
9,30007,1000,940.832706,1,100,44.793819427490234,0.002,0.5690271258354187,0.45102423429489136,0.0024159392341971397
10,30008,1100,944.106747,1,100,44.793819427490234,0.002,0.5690270662307739,0.45102381706237793,0.002415938302874565
11,30009,1200,947.40015,1,100,44.7938232421875,0.002,0.5690270662307739,0.4510233700275421,0.002415937604382634
12,30010,1300,950.675195,1,100,44.7938232421875,0.002,0.5690270066261292,0.45102304220199585,0.002415937604382634
13,30011,1400,954.014959,1,100,44.7938232421875,0.002,0.5690270066261292,0.45102259516716003,0.0024159373715519905
14,30012,1500,957.415305,1,100,44.793827056884766,0.002,0.5690269470214844,0.4510222375392914,0.002415936440229416
15,30013,1600,960.787635,1,100,44.7938232421875,0.002,0.5690269470214844,0.45102182030677795,0.002415935741737485
16,30014,1700,963.995583,1,100,44.793827056884766,0.002,0.5690268278121948,0.4510214030742645,0.0024159352760761976
17,30015,1800,967.150137,1,100,44.79383087158203,0.002,0.56902676820755,0.4510209858417511,0.0024159348104149103
18,30016,1900,970.3263,1,100,44.79383087158203,0.002,0.5690267086029053,0.45102062821388245,0.002415933646261692
19,30017,2000,973.575931,1,100,44.79383087158203,0.002,0.5690266489982605,0.4510202407836914,0.0024159331806004047
20,30018,2100,976.84012,1,100,44.7938346862793,0.002,0.5690266489982605,0.451019823551178,0.0024159331806004047
21,30019,2200,980.141233,1,100,44.7938346862793,0.002,0.5690266489982605,0.4510194659233093,0.0024159324821084738
22,30020,2300,983.511868,1,100,44.7938346862793,0.002,0.5690265893936157,0.4510190486907959,0.0024159320164471865
23,30021,2400,986.931699,1,100,44.7938346862793,0.002,0.569026529788971,0.45101866126060486,0.002415931550785899
24,30022,2500,990.328153,1,100,44.7938346862793,0.002,0.5690264105796814,0.4510182738304138,0.0024159313179552555
25,30023,2600,993.523424,1,100,44.79383850097656,0.002,0.5690264105796814,0.4510178565979004,0.002415930386632681
26,30024,2700,996.722785,1,100,44.79383850097656,0.002,0.5690263509750366,0.45101746916770935,0.0024159301538020372
27,30025,2800,999.968125,1,100,44.79383850097656,0.002,0.5690262913703918,0.4510170817375183,0.0024159292224794626
28,30026,2900,1003.019932,1,100,44.79383850097656,0.002,0.5690262317657471,0.4510166347026825,0.0024159287568181753
29,30027,3000,1006.028977,1,100,44.793846130371094,0.002,0.5690261721611023,0.45101627707481384,0.0024159285239875317
30,30028,3100,1008.998655,1,100,44.79384231567383,0.002,0.5690261125564575,0.451015830039978,0.0024159278254956007
31,30029,3200,1011.967974,1,100,44.79383850097656,0.002,0.5690260529518127,0.4510154724121094,0.0024159273598343134
32,30030,3300,1014.857652,1,100,44.79384231567383,0.002,0.569025993347168,0.45101508498191833,0.002415926195681095
33,30031,3400,1017.801393,1,100,44.79384994506836,0.002,0.5690259337425232,0.4510146379470825,0.002415926195681095
34,30032,3500,1020.743074,1,100,44.79384994506836,0.002,0.5690258741378784,0.45101433992385864,0.002415925730019808
35,30033,3600,1023.643629,1,100,44.79384994506836,0.002,0.5690257549285889,0.4510139226913452,0.002415924333035946
36,30034,3700,1026.551645,1,100,44.79384994506836,0.002,0.5690257549285889,0.45101356506347656,0.0024159238673746586
37,30035,3800,1029.490419,1,100,44.793846130371094,0.002,0.5690256953239441,0.4510132074356079,0.0024159238673746586
38,30036,3900,1032.490675,1,100,44.79384994506836,0.002,0.5690256357192993,0.4510127604007721,0.002415922936052084
39,30037,4000,1035.574583,1,100,44.79384994506836,0.002,0.5690255165100098,0.45101240277290344,0.0024159224703907967
40,30038,4100,1038.591987,1,100,44.79384994506836,0.002,0.5690253973007202,0.45101198554039,0.0024159220047295094
41,30039,4200,1041.783123,1,100,44.793853759765625,0.002,0.5690253973007202,0.4510115683078766,0.0024159213062375784
42,30040,4300,1045.041136,1,100,44.793853759765625,0.002,0.5690253376960754,0.45101118087768555,0.0024159210734069347
43,30041,4400,1048.15407,1,100,44.793853759765625,0.002,0.5690252780914307,0.4510108232498169,0.0024159203749150038
44,30042,4500,1051.245669,1,100,44.793853759765625,0.002,0.5690252184867859,0.45101043581962585,0.0024159199092537165
45,30043,4600,1054.43116,1,100,44.793853759765625,0.002,0.5690251588821411,0.4510100483894348,0.00241592014208436
46,30044,4700,1057.612547,1,100,44.793853759765625,0.002,0.5690250992774963,0.4510096609592438,0.002415918745100498
47,30045,4800,1060.799779,1,100,44.793853759765625,0.002,0.5690249800682068,0.4510093033313751,0.002415918745100498
48,30046,4900,1064.092482,1,100,44.79385757446289,0.002,0.5690248608589172,0.45100879669189453,0.0024159180466085672
49,30047,5000,1067.38541,1,100,44.79385757446289,0.002,0.5690248012542725,0.4510084390640259,0.002415916882455349
50,30048,5100,1070.683277,1,100,44.793861389160156,0.002,0.5690246820449829,0.45100805163383484,0.0024159173481166363
51,30049,5200,1074.233644,1,100,44.79386520385742,0.002,0.5690246820449829,0.4510076344013214,0.0024159157183021307
52,30050,5300,1077.759523,1,100,44.793861389160156,0.002,0.5690246224403381,0.45100730657577515,0.002415915485471487
53,30051,5400,1081.249865,1,100,44.793861389160156,0.002,0.5690245032310486,0.4510069191455841,0.002415914786979556
54,30052,5500,1084.749777,1,100,44.79386520385742,0.002,0.5690244436264038,0.4510064721107483,0.0024159143213182688
55,30053,5600,1088.29041,1,100,44.79386520385742,0.002,0.5690243244171143,0.45100608468055725,0.002415913622826338
56,30054,5700,1091.757061,1,100,44.79386901855469,0.002,0.5690242052078247,0.4510056972503662,0.002415912924334407
57,30055,5800,1095.07899,1,100,44.79386901855469,0.002,0.5690242052078247,0.45100530982017517,0.002415912691503763
58,30056,5900,1098.305979,1,100,44.79387283325195,0.002,0.5690241456031799,0.45100489258766174,0.0024159119930118322
59,30057,6000,1101.507715,1,100,44.79387283325195,0.002,0.5690240263938904,0.4510045647621155,0.0024159117601811886
60,30058,6100,1104.754872,1,100,44.79387283325195,0.002,0.569023847579956,0.45100411772727966,0.002415911527350545
61,30059,6200,1107.839448,1,100,44.79386901855469,0.002,0.5690237879753113,0.451003760099411,0.0024159110616892576
