k,cum_lower_iters,cum_ad_iters,cum_runtime,lower_iters,ad_iters,L,mu,upper_obj,lower_obj,norm_upper_grad
0,685,1000,83.486616,685,1000,44.79380798339844,0.002,0.5688523054122925,0.4510192573070526,0.0024151732213795185
1,686,2000,142.791118,1,1000,44.793819427490234,0.002,0.5688521862030029,0.4510154128074646,0.002415168099105358
2,687,3000,205.262591,1,1000,44.7938346862793,0.002,0.5688521265983582,0.45101144909858704,0.0024151632096618414
3,688,4000,265.443313,1,1000,44.79384231567383,0.002,0.5688520073890686,0.45100754499435425,0.0024151590187102556
4,689,5000,330.215817,1,1000,44.79384994506836,0.002,0.5688519477844238,0.45100364089012146,0.00241515482775867
5,691,6000,390.972295,2,1000,44.793861389160156,0.002,0.5688515305519104,0.4509997069835663,0.0024151501711457968
6,692,7000,451.702363,1,1000,44.79387283325195,0.002,0.5688514113426208,0.4509958028793335,0.0024151455145329237
7,694,8000,512.212568,2,1000,44.793880462646484,0.002,0.5688508749008179,0.4509918987751007,0.0024151396937668324
8,697,9000,574.885019,3,1000,44.793888092041016,0.002,0.5688496828079224,0.4509879946708679,0.00241513317450881
9,700,10000,635.724832,3,1000,44.79389953613281,0.002,0.5688486099243164,0.4509839713573456,0.0024151268880814314
10,703,11000,698.511478,3,1000,44.793907165527344,0.002,0.5688474178314209,0.45098012685775757,0.0024151194375008345
11,707,12000,758.731563,4,1000,44.79391860961914,0.002,0.568845272064209,0.4509761929512024,0.0024151138495653868
12,711,13000,819.836784,4,1000,44.79393005371094,0.002,0.5688431262969971,0.4509722590446472,0.0024151054676622152
13,715,14000,882.065252,4,1000,44.79393768310547,0.002,0.5688409209251404,0.45096835494041443,0.0024150987155735493
14,719,15000,943.026942,4,1000,44.7939453125,0.002,0.5688385367393494,0.45096445083618164,0.0024150938261300325
15,724,16000,1005.254543,5,1000,44.79396057128906,0.002,0.5688350200653076,0.45096051692962646,0.0024150852113962173
16,728,17000,1063.301551,4,1000,44.79396438598633,0.002,0.5688325762748718,0.4509565532207489,0.0024150789249688387
17,733,18000,1128.360455,5,1000,44.793975830078125,0.002,0.5688288807868958,0.4509526491165161,0.002415071241557598
18,737,19000,1186.240825,4,1000,44.79398727416992,0.002,0.5688263177871704,0.4509487450122833,0.002415063325315714
19,742,20000,1250.702754,5,1000,44.79399108886719,0.002,0.56882244348526,0.45094481110572815,0.0024150549434125423
20,747,21000,1309.849592,5,1000,44.79400634765625,0.002,0.5688185095787048,0.45094090700149536,0.002415046328678727
21,752,22000,1372.670759,5,1000,44.79401397705078,0.002,0.5688145756721497,0.4509370028972626,0.002415039809420705
22,757,23000,1433.780809,5,1000,44.79402160644531,0.002,0.5688106417655945,0.4509330689907074,0.0024150293320417404
23,762,24000,1493.488855,5,1000,44.79403305053711,0.002,0.5688067078590393,0.45092907547950745,0.002415022114291787
24,767,25000,1557.058888,5,1000,44.794044494628906,0.002,0.5688027143478394,0.45092517137527466,0.002415014896541834
25,772,26000,1619.530131,5,1000,44.79404830932617,0.002,0.5687986612319946,0.4509212374687195,0.0024150058161467314
26,777,27000,1678.788048,5,1000,44.794063568115234,0.002,0.5687946081161499,0.4509173631668091,0.002414998598396778
27,782,28000,1741.7299,5,1000,44.79407501220703,0.002,0.5687905550003052,0.4509134590625763,0.0024149897508323193
28,788,29000,1802.70013,6,1000,44.7940788269043,0.002,0.5687848329544067,0.45090946555137634,0.0024149816017597914
29,793,30000,1864.639184,5,1000,44.79409408569336,0.002,0.5687808394432068,0.45090553164482117,0.00241497321985662
30,798,31000,1922.538886,5,1000,44.79410171508789,0.002,0.5687767863273621,0.4509016275405884,0.002414965070784092
31,804,32000,1986.789646,6,1000,44.79411315917969,0.002,0.5687710642814636,0.4508976936340332,0.002414955059066415
32,809,33000,2047.469722,5,1000,44.79411697387695,0.002,0.5687670111656189,0.4508937895298004,0.0024149473756551743
33,815,34000,2107.984869,6,1000,44.79412841796875,0.002,0.56876140832901,0.4508898854255676,0.002414937596768141
34,820,35000,2170.295047,5,1000,44.79413986206055,0.002,0.5687574148178101,0.4508860409259796,0.0024149292148649693
35,826,36000,2230.855635,6,1000,44.79414749145508,0.002,0.5687518119812012,0.4508820176124573,0.00241491780616343
36,832,37000,2291.068653,6,1000,44.794158935546875,0.002,0.5687463283538818,0.4508780837059021,0.002414907794445753
37,837,38000,2353.285951,5,1000,44.794166564941406,0.002,0.5687423944473267,0.4508742094039917,0.002414899645373225
38,843,39000,2415.05138,6,1000,44.7941780090332,0.002,0.5687368512153625,0.4508702754974365,0.002414888935163617
39,849,40000,2474.306309,6,1000,44.794185638427734,0.002,0.5687313675880432,0.45086631178855896,0.0024148791562765837
40,855,41000,2537.225439,6,1000,44.79419708251953,0.002,0.5687260031700134,0.4508623778820038,0.0024148679804056883
41,860,42000,2596.981107,5,1000,44.79420471191406,0.002,0.568722128868103,0.450858473777771,0.0024148598313331604
42,866,43000,2659.18837,6,1000,44.794212341308594,0.002,0.5687166452407837,0.45085451006889343,0.0024148463271558285
