k,cum_lower_iters,cum_ad_iters,cum_runtime,lower_iters,ad_iters,L,mu,upper_obj,lower_obj,norm_upper_grad
0,685,238,27.967485,685,238,44.79380798339844,0.002,0.5688523054122925,0.4510192573070526,0.002415172290056944
1,686,476,35.419113,1,238,44.7938117980957,0.002,0.5688521862030029,0.45101892948150635,0.0024151713587343693
2,687,713,42.93812,1,237,44.79381561279297,0.002,0.5688521862030029,0.4510185420513153,0.002415170893073082
3,688,952,50.7139,1,239,44.79381561279297,0.002,0.5688521862030029,0.45101815462112427,0.0024151699617505074
4,689,1191,59.099043,1,239,44.79381561279297,0.002,0.5688521265983582,0.4510177671909332,0.0024151690304279327
5,690,1426,67.26628,1,235,44.793819427490234,0.002,0.5688521265983582,0.4510173499584198,0.002415168099105358
6,691,1664,75.585645,1,238,44.793819427490234,0.002,0.5688521265983582,0.45101696252822876,0.002415167633444071
7,692,1901,84.058896,1,237,44.793819427490234,0.002,0.5688520669937134,0.4510165750980377,0.002415167400613427
8,693,2138,92.594876,1,237,44.793819427490234,0.002,0.5688520669937134,0.4510161876678467,0.00241516693495214
9,694,2372,101.100876,1,234,44.793819427490234,0.002,0.5688520073890686,0.45101580023765564,0.002415166236460209
10,695,2610,109.609148,1,238,44.793819427490234,0.002,0.5688520073890686,0.4510154128074646,0.0024151657707989216
11,696,2846,118.398304,1,236,44.7938232421875,0.002,0.568851888179779,0.45101502537727356,0.002415164839476347
12,697,3084,126.595594,1,238,44.7938232421875,0.002,0.568851888179779,0.4510146379470825,0.0024151646066457033
13,698,3319,134.45825,1,235,44.7938232421875,0.002,0.5688518285751343,0.4510142505168915,0.0024151636753231287
14,699,3557,142.014505,1,238,44.793827056884766,0.002,0.5688518285751343,0.45101380348205566,0.0024151632096618414
15,700,3795,149.707273,1,238,44.7938232421875,0.002,0.5688518285751343,0.451013445854187,0.002415162045508623
16,701,4032,157.428128,1,237,44.793827056884766,0.002,0.5688518285751343,0.4510130286216736,0.0024151611141860485
17,702,4269,165.481442,1,237,44.79383087158203,0.002,0.5688518285751343,0.45101264119148254,0.002415161347016692
18,703,4504,173.57845,1,235,44.79383087158203,0.002,0.5688517093658447,0.4510122239589691,0.0024151597172021866
19,704,4741,182.215949,1,237,44.79383087158203,0.002,0.5688516497612,0.45101189613342285,0.0024151597172021866
20,705,4975,190.88658,1,234,44.7938346862793,0.002,0.5688515901565552,0.4510115385055542,0.0024151592515408993
