k,cum_lower_iters,cum_ad_iters,cum_runtime,lower_iters,ad_iters,L,mu,upper_obj,lower_obj,norm_upper_grad
0,523,1000,78.383285,523,1000,44.79380798339844,0.002,0.5688375234603882,0.4510197043418884,0.0017946382286027074
1,524,2000,142.152581,1,1000,44.79381561279297,0.002,0.5688375234603882,0.45101645588874817,0.0017946365987882018
2,525,3000,205.512202,1,1000,44.793819427490234,0.002,0.5688375234603882,0.4510132670402527,0.0017946348525583744
3,526,4000,270.16268,1,1000,44.793819427490234,0.002,0.5688375234603882,0.4510101079940796,0.0017946333391591907
4,527,5000,330.225557,1,1000,44.793819427490234,0.002,0.5688375234603882,0.45100685954093933,0.0017946303123608232
5,528,6000,394.530964,1,1000,44.7938232421875,0.002,0.5688374638557434,0.45100364089012146,0.0017946279840543866
6,529,7000,457.940869,1,1000,44.7938232421875,0.002,0.5688373446464539,0.451000452041626,0.0017946268199011683
7,530,8000,522.057488,1,1000,44.79383087158203,0.002,0.5688373446464539,0.4509972631931305,0.001794625772163272
8,531,9000,583.018175,1,1000,44.793827056884766,0.002,0.5688372254371643,0.450994074344635,0.0017946237931028008
9,532,10000,645.826561,1,1000,44.793827056884766,0.002,0.5688369870185852,0.4509909152984619,0.0017946218140423298
10,533,11000,709.865889,1,1000,44.79383087158203,0.002,0.5688369870185852,0.45098769664764404,0.001794620300643146
11,534,12000,771.302181,1,1000,44.7938346862793,0.002,0.5688368082046509,0.45098447799682617,0.001794618321582675
12,535,13000,834.125258,1,1000,44.7938346862793,0.002,0.568836510181427,0.4509813189506531,0.0017946166917681694
13,536,14000,898.994951,1,1000,44.7938346862793,0.002,0.5688363313674927,0.4509780704975128,0.0017946150619536638
14,537,15000,962.394601,1,1000,44.79383850097656,0.002,0.5688362121582031,0.4509749114513397,0.001794612966477871
15,538,16000,1026.415874,1,1000,44.7938346862793,0.002,0.5688359141349792,0.4509717524051666,0.0017946114530786872
16,539,17000,1088.134339,1,1000,44.79384231567383,0.002,0.5688356161117554,0.45096856355667114,0.0017946091247722507
17,540,18000,1151.851425,1,1000,44.79384231567383,0.002,0.5688353776931763,0.45096537470817566,0.0017946066800504923
18,541,19000,1216.03082,1,1000,44.79384231567383,0.002,0.5688350796699524,0.4509621560573578,0.0017946047009900212
19,542,20000,1277.709915,1,1000,44.79384994506836,0.002,0.5688348412513733,0.4509589374065399,0.0017946029547601938
20,543,21000,1342.225602,1,1000,44.79384994506836,0.002,0.5688345432281494,0.4509557783603668,0.00179460016079247
21,544,22000,1406.626683,1,1000,44.79384994506836,0.002,0.5688341856002808,0.45095252990722656,0.001794598065316677
22,545,23000,1468.466388,1,1000,44.793853759765625,0.002,0.5688337683677673,0.45094940066337585,0.0017945958534255624
23,546,24000,1530.911023,1,1000,44.793853759765625,0.002,0.5688334703445435,0.45094621181488037,0.0017945938743650913
24,547,25000,1596.254643,1,1000,44.793853759765625,0.002,0.5688331723213196,0.4509430527687073,0.0017945910803973675
25,548,26000,1655.889635,1,1000,44.793853759765625,0.002,0.5688326954841614,0.4509398341178894,0.0017945877043530345
26,549,27000,1722.50551,1,1000,44.793853759765625,0.002,0.5688323378562927,0.4509366750717163,0.0017945840954780579
27,550,28000,1785.423694,1,1000,44.793861389160156,0.002,0.5688318610191345,0.45093345642089844,0.001794580603018403
28,551,29000,1848.109111,1,1000,44.793861389160156,0.002,0.5688314437866211,0.4509302079677582,0.0017945787403732538
29,552,30000,1913.387811,1,1000,44.793861389160156,0.002,0.5688310265541077,0.4509270489215851,0.0017945758299902081
30,553,31000,1974.993715,1,1000,44.79386520385742,0.002,0.5688304901123047,0.450923889875412,0.0017945729196071625
31,554,32000,2038.622379,1,1000,44.79386901855469,0.002,0.5688300132751465,0.4509206712245941,0.0017945700092241168
32,555,33000,2102.985686,1,1000,44.79386901855469,0.002,0.5688294768333435,0.4509175419807434,0.0017945681465789676
33,556,34000,2164.484412,1,1000,44.79386901855469,0.002,0.5688289999961853,0.45091429352760315,0.0017945643048733473
34,557,35000,2230.225899,1,1000,44.79387283325195,0.002,0.5688285231590271,0.45091110467910767,0.0017945616273209453
35,558,36000,2292.660546,1,1000,44.79387283325195,0.002,0.5688279271125793,0.4509078562259674,0.0017945583676919341
36,559,37000,2353.203052,1,1000,44.79387283325195,0.002,0.5688274502754211,0.4509046971797943,0.0017945548752322793
37,560,38000,2418.770732,1,1000,44.79387283325195,0.002,0.5688267946243286,0.45090144872665405,0.0017945520812645555
38,561,39000,2482.306674,1,1000,44.793880462646484,0.002,0.5688261985778809,0.45089831948280334,0.0017945481231436133
39,562,40000,2546.62717,1,1000,44.793880462646484,0.002,0.5688256621360779,0.4508950710296631,0.0017945452127605677
40,563,41000,2609.441338,1,1000,44.793880462646484,0.002,0.5688249468803406,0.45089191198349,0.001794542302377522
41,564,42000,2673.668993,1,1000,44.793888092041016,0.002,0.568824291229248,0.45088866353034973,0.0017945397412404418
42,565,43000,2734.771048,1,1000,44.793888092041016,0.002,0.5688236951828003,0.450885534286499,0.001794536248780787
43,566,44000,2800.425251,1,1000,44.79388427734375,0.002,0.5688230395317078,0.4508823752403259,0.0017945332219824195
44,567,45000,2862.120793,1,1000,44.793888092041016,0.002,0.5688223838806152,0.45087915658950806,0.0017945303115993738
45,568,46000,2926.081667,1,1000,44.793888092041016,0.002,0.5688216686248779,0.4508759677410126,0.001794526819139719
46,569,47000,2991.816849,1,1000,44.79389572143555,0.002,0.5688210129737854,0.4508728086948395,0.001794522744603455
47,570,48000,3053.467406,1,1000,44.79389572143555,0.002,0.5688202977180481,0.4508695900440216,0.001794519484974444
48,571,49000,3116.132222,1,1000,44.79389572143555,0.002,0.5688196420669556,0.4508664011955261,0.0017945162253454328
49,572,50000,3180.870861,1,1000,44.79389953613281,0.002,0.5688188076019287,0.45086321234703064,0.0017945135477930307
50,573,51000,3245.879258,1,1000,44.79389953613281,0.002,0.5688180327415466,0.45086002349853516,0.0017945097060874104
51,574,52000,3308.307595,1,1000,44.79389953613281,0.002,0.5688172578811646,0.4508568048477173,0.001794506679289043
52,575,53000,3372.300957,1,1000,44.79390335083008,0.002,0.5688164830207825,0.4508535861968994,0.0017945037689059973
53,576,54000,3432.385362,1,1000,44.79390335083008,0.002,0.5688157081604004,0.4508504271507263,0.0017945005092769861
54,577,55000,3501.178322,1,1000,44.79391098022461,0.002,0.5688149333000183,0.45084717869758606,0.0017944959690794349
55,578,56000,3562.764862,1,1000,44.793907165527344,0.002,0.5688140988349915,0.45084404945373535,0.0017944925930351019
56,579,57000,3627.53362,1,1000,44.79391098022461,0.002,0.5688132643699646,0.45084086060523987,0.001794488518498838
57,580,58000,3690.011724,1,1000,44.793907165527344,0.002,0.5688124299049377,0.4508375823497772,0.0017944845603778958
58,581,59000,3752.708797,1,1000,44.793914794921875,0.002,0.5688115358352661,0.4508344531059265,0.001794481067918241
59,582,60000,3817.925267,1,1000,44.79391860961914,0.002,0.5688107013702393,0.45083123445510864,0.0017944758292287588
60,583,61000,3877.778351,1,1000,44.793914794921875,0.002,0.5688098073005676,0.45082810521125793,0.0017944717546924949
61,584,62000,3944.068173,1,1000,44.79391860961914,0.002,0.5688089728355408,0.4508248567581177,0.0017944691935554147
62,585,63000,4007.437522,1,1000,44.793922424316406,0.002,0.5688078999519348,0.4508216679096222,0.0017944653518497944
63,586,64000,4068.961613,1,1000,44.793922424316406,0.002,0.5688071846961975,0.4508184790611267,0.0017944605788215995
64,587,65000,4133.293939,1,1000,44.79391860961914,0.002,0.5688061714172363,0.450815349817276,0.0017944567371159792
65,588,66000,4197.608101,1,1000,44.793922424316406,0.002,0.5688052773475647,0.45081213116645813,0.0017944533610716462
66,589,67000,4258.422545,1,1000,44.79392623901367,0.002,0.5688043236732483,0.45080894231796265,0.0017944491701200604
67,590,68000,4323.497871,1,1000,44.79393005371094,0.002,0.5688033103942871,0.4508056938648224,0.001794445444829762
68,591,69000,4384.934711,1,1000,44.79393005371094,0.002,0.5688023567199707,0.4508025050163269,0.0017944412538781762
69,592,70000,4447.756009,1,1000,44.7939338684082,0.002,0.5688013434410095,0.4507993161678314,0.001794436713680625
70,593,71000,4512.425136,1,1000,44.79393768310547,0.002,0.5688003301620483,0.4507961869239807,0.0017944332212209702
71,594,72000,4575.197637,1,1000,44.79393768310547,0.002,0.5687993168830872,0.45079296827316284,0.0017944300780072808
72,595,73000,4637.417445,1,1000,44.79393768310547,0.002,0.568798303604126,0.4507896900177002,0.0017944255378097296
73,596,74000,4699.468097,1,1000,44.79393768310547,0.002,0.5687972903251648,0.4507865309715271,0.001794421230442822
74,597,75000,4764.050451,1,1000,44.793941497802734,0.002,0.5687962174415588,0.4507833421230316,0.0017944162245839834
75,598,76000,4826.702844,1,1000,44.793941497802734,0.002,0.5687951445579529,0.45078009366989136,0.0017944121500477195
76,599,77000,4889.706475,1,1000,44.7939453125,0.002,0.5687940716743469,0.45077696442604065,0.0017944087740033865
77,600,78000,4953.414612,1,1000,44.7939453125,0.002,0.5687929391860962,0.45077377557754517,0.0017944038845598698
78,601,79000,5017.766417,1,1000,44.793949127197266,0.002,0.5687918663024902,0.4507705867290497,0.0017943992279469967
79,602,80000,5077.802549,1,1000,44.7939453125,0.002,0.5687907934188843,0.4507673382759094,0.0017943946877494454
80,603,81000,5142.534978,1,1000,44.793949127197266,0.002,0.5687897205352783,0.45076414942741394,0.0017943906132131815
81,604,82000,5203.825075,1,1000,44.79395294189453,0.002,0.5687885880470276,0.45076102018356323,0.0017943846760317683
82,605,83000,5266.369841,1,1000,44.7939567565918,0.002,0.5687873959541321,0.45075780153274536,0.0017943799030035734
83,606,84000,5328.110268,1,1000,44.7939567565918,0.002,0.5687862038612366,0.4507546126842499,0.0017943758284673095
84,607,85000,5391.593169,1,1000,44.7939567565918,0.002,0.5687850713729858,0.4507514238357544,0.0017943726852536201
85,608,86000,5456.57709,1,1000,44.79396057128906,0.002,0.5687838792800903,0.4507482051849365,0.0017943679122254252
86,609,87000,5517.631758,1,1000,44.79396057128906,0.002,0.5687826871871948,0.4507450461387634,0.001794363372027874
87,610,88000,5582.012592,1,1000,44.79396057128906,0.002,0.5687814950942993,0.45074179768562317,0.0017943591810762882
88,611,89000,5641.834528,1,1000,44.79396438598633,0.002,0.5687803030014038,0.4507386088371277,0.0017943544080480933
89,612,90000,5708.362996,1,1000,44.79396438598633,0.002,0.5687791705131531,0.4507354199886322,0.0017943495186045766
90,613,91000,5769.796445,1,1000,44.79397201538086,0.002,0.568777859210968,0.4507322609424591,0.0017943441634997725
91,614,92000,5831.850934,1,1000,44.79397201538086,0.002,0.5687766671180725,0.4507290720939636,0.0017943393904715776
92,615,93000,5893.802748,1,1000,44.79397201538086,0.002,0.5687754154205322,0.45072582364082336,0.0017943334532901645
93,616,94000,5957.328125,1,1000,44.79397201538086,0.002,0.5687741041183472,0.45072266459465027,0.0017943285638466477
94,617,95000,6020.338587,1,1000,44.79397201538086,0.002,0.5687728524208069,0.4507195055484772,0.001794322393834591
95,618,96000,6082.602827,1,1000,44.79397201538086,0.002,0.5687716007232666,0.4507163166999817,0.001794317620806396
96,619,97000,6147.010629,1,1000,44.793975830078125,0.002,0.5687702894210815,0.45071306824684143,0.0017943126149475574
97,620,98000,6210.628736,1,1000,44.793983459472656,0.002,0.5687689185142517,0.45070990920066833,0.0017943077255040407
98,621,99000,6271.817274,1,1000,44.793983459472656,0.002,0.5687676072120667,0.45070672035217285,0.0017943023703992367
99,622,99378,6295.574747,1,378,44.793983459472656,0.002,0.5687662959098816,0.450703501701355,0.0011908587766811252
